1'上半场比赛开始！！                   1'热刺第1分钟展开积极攻势，阿里禁区内的射门被加布里埃尔挡出
1'首先开球的是热刺                   1'热刺第1分钟展开积极攻势，阿里禁区内的射门被加布里埃尔挡出
2'阿森纳中场拿球被断                   1'热刺第1分钟展开积极攻势，阿里禁区内的射门被加布里埃尔挡出
3'热刺前场界外球给到禁区内                   1'热刺第1分钟展开积极攻势，阿里禁区内的射门被加布里埃尔挡出
3'队友接球后没有形成打门的机会                   1'热刺第1分钟展开积极攻势，阿里禁区内的射门被加布里埃尔挡出
3'热刺这边角球机会                   1'热刺第1分钟展开积极攻势，阿里禁区内的射门被加布里埃尔挡出
3'角球送前点被解围                   1'热刺第1分钟展开积极攻势，阿里禁区内的射门被加布里埃尔挡出
3'角球给到太低了                   1'热刺第1分钟展开积极攻势，阿里禁区内的射门被加布里埃尔挡出
3'热刺这边中场断抢下来                   1'热刺第1分钟展开积极攻势，阿里禁区内的射门被加布里埃尔挡出
4'默特萨克滑铲破坏                   1'热刺第1分钟展开积极攻势，阿里禁区内的射门被加布里埃尔挡出
4'阿里禁区外围远射被门将得到                   1'热刺第1分钟展开积极攻势，阿里禁区内的射门被加布里埃尔挡出
4'阿里中场拿球，回敲                   1'热刺第1分钟展开积极攻势，阿里禁区内的射门被加布里埃尔挡出
40'阿森纳中场界外球给到前场，维尔贝克停球转身后到了禁区，横敲给到后点，贝莱林这边接球后形成空挡，最后给了一个传球，拉姆塞中路脚后跟破门！！                   39'持续被动中的阿森纳第39分钟打破僵局，维尔贝克禁区左侧传中，贝莱林第一时间低传，无人防守的拉姆塞10码处脚后跟妙射破门
40'此时此刻值得来杯嘉士伯                   39'持续被动中的阿森纳第39分钟打破僵局，维尔贝克禁区左侧传中，贝莱林第一时间低传，无人防守的拉姆塞10码处脚后跟妙射破门
40'阿里中场停球没有停好                   39'持续被动中的阿森纳第39分钟打破僵局，维尔贝克禁区左侧传中，贝莱林第一时间低传，无人防守的拉姆塞10码处脚后跟妙射破门
40'阿森纳这边反击又来了                   39'持续被动中的阿森纳第39分钟打破僵局，维尔贝克禁区左侧传中，贝莱林第一时间低传，无人防守的拉姆塞10码处脚后跟妙射破门
40'维尔贝克禁区内拿球                   39'持续被动中的阿森纳第39分钟打破僵局，维尔贝克禁区左侧传中，贝莱林第一时间低传，无人防守的拉姆塞10码处脚后跟妙射破门
40'有些拖泥带水                   39'持续被动中的阿森纳第39分钟打破僵局，维尔贝克禁区左侧传中，贝莱林第一时间低传，无人防守的拉姆塞10码处脚后跟妙射破门
41'阿森纳左路再次策动攻势                   39'持续被动中的阿森纳第39分钟打破僵局，维尔贝克禁区左侧传中，贝莱林第一时间低传，无人防守的拉姆塞10码处脚后跟妙射破门
41'桑切斯这边处在了越位的位置                   39'持续被动中的阿森纳第39分钟打破僵局，维尔贝克禁区左侧传中，贝莱林第一时间低传，无人防守的拉姆塞10码处脚后跟妙射破门
41'阿森纳这边反击又来了                   39'持续被动中的阿森纳第39分钟打破僵局，维尔贝克禁区左侧传中，贝莱林第一时间低传，无人防守的拉姆塞10码处脚后跟妙射破门
41'厄齐尔中路送直塞                   39'持续被动中的阿森纳第39分钟打破僵局，维尔贝克禁区左侧传中，贝莱林第一时间低传，无人防守的拉姆塞10码处脚后跟妙射破门
41'队友底线横敲到中路                   39'持续被动中的阿森纳第39分钟打破僵局，维尔贝克禁区左侧传中，贝莱林第一时间低传，无人防守的拉姆塞10码处脚后跟妙射破门
41'这球传过了                   39'持续被动中的阿森纳第39分钟打破僵局，维尔贝克禁区左侧传中，贝莱林第一时间低传，无人防守的拉姆塞10码处脚后跟妙射破门
42'送出助攻的是桑切斯                   39'持续被动中的阿森纳第39分钟打破僵局，维尔贝克禁区左侧传中，贝莱林第一时间低传，无人防守的拉姆塞10码处脚后跟妙射破门
55'科奎林这边再得一张黄牌！！！                   55'阿森纳第55分钟遭遇打击，科奎林边路飞铲哈里-凯恩累计两张黄牌被罚下
55'这样科奎林两黄变一红被罚下！！！                   55'阿森纳第55分钟遭遇打击，科奎林边路飞铲哈里-凯恩累计两张黄牌被罚下
55'这会不会成为比赛的转折点？？？                   55'阿森纳第55分钟遭遇打击，科奎林边路飞铲哈里-凯恩累计两张黄牌被罚下
55'热刺任意球发出                   55'阿森纳第55分钟遭遇打击，科奎林边路飞铲哈里-凯恩累计两张黄牌被罚下
56'远射被挡了出去                   55'阿森纳第55分钟遭遇打击，科奎林边路飞铲哈里-凯恩累计两张黄牌被罚下
56'温格这边着急了                   55'阿森纳第55分钟遭遇打击，科奎林边路飞铲哈里-凯恩累计两张黄牌被罚下
56'两队今天的比赛都不能输啊                   55'阿森纳第55分钟遭遇打击，科奎林边路飞铲哈里-凯恩累计两张黄牌被罚下
56'阿里禁区外围打远射！！                   55'阿森纳第55分钟遭遇打击，科奎林边路飞铲哈里-凯恩累计两张黄牌被罚下
57'中间有一个变线被挡了出去！！                   55'阿森纳第55分钟遭遇打击，科奎林边路飞铲哈里-凯恩累计两张黄牌被罚下
57'热刺的角球机会                   55'阿森纳第55分钟遭遇打击，科奎林边路飞铲哈里-凯恩累计两张黄牌被罚下
57'角球送后点                   55'阿森纳第55分钟遭遇打击，科奎林边路飞铲哈里-凯恩累计两张黄牌被罚下
58'乱战中，哈里-凯恩劲射被奥斯皮纳在门线上挡了出去！！！                   55'阿森纳第55分钟遭遇打击，科奎林边路飞铲哈里-凯恩累计两张黄牌被罚下
58'门线技术也是还原了刚才的打门，球整体没有越过门线！！                   55'阿森纳第55分钟遭遇打击，科奎林边路飞铲哈里-凯恩累计两张黄牌被罚下
48'热刺左路拿球被顶了出去                   48'热刺3分钟连入2球反超比分，第60分钟，拉梅拉开出角球，阿尔德韦雷尔德小禁区左侧劲射破门
48'热刺中场回敲                   48'热刺3分钟连入2球反超比分，第60分钟，拉梅拉开出角球，阿尔德韦雷尔德小禁区左侧劲射破门
48'洛里大脚将球打到前场                   48'热刺3分钟连入2球反超比分，第60分钟，拉梅拉开出角球，阿尔德韦雷尔德小禁区左侧劲射破门
49'热刺中场长传打到前场                   48'热刺3分钟连入2球反超比分，第60分钟，拉梅拉开出角球，阿尔德韦雷尔德小禁区左侧劲射破门
49'维默尔右路传中到后点                   48'热刺3分钟连入2球反超比分，第60分钟，拉梅拉开出角球，阿尔德韦雷尔德小禁区左侧劲射破门
49'阿里这球没有拿到                   48'热刺3分钟连入2球反超比分，第60分钟，拉梅拉开出角球，阿尔德韦雷尔德小禁区左侧劲射破门
50'热刺右侧远射被奥斯皮纳挡了一下                   48'热刺3分钟连入2球反超比分，第60分钟，拉梅拉开出角球，阿尔德韦雷尔德小禁区左侧劲射破门
50'二点被加布里埃尔解围出来                   48'热刺3分钟连入2球反超比分，第60分钟，拉梅拉开出角球，阿尔德韦雷尔德小禁区左侧劲射破门
50'贝莱林中场拿球被踢倒                   48'热刺3分钟连入2球反超比分，第60分钟，拉梅拉开出角球，阿尔德韦雷尔德小禁区左侧劲射破门
