1'国际米兰球员米利托大禁区外右脚射门,被防守球员封堵.                   1'第1分钟，阿加齐未能击出国米角球，米利托禁区内左脚打高
1'皮萨诺将球处理出底线,国际米兰获得角球.                   1'第1分钟，阿加齐未能击出国米角球，米利托禁区内左脚打高
1'国际米兰球员米利托大禁区中央尝试左脚射门,可惜皮球高出球门.                   1'第1分钟，阿加齐未能击出国米角球，米利托禁区内左脚打高
4'萨穆埃尔将球处理出底线,卡利亚里获得角球.                   1'第1分钟，阿加齐未能击出国米角球，米利托禁区内左脚打高
4'卡利亚里球员阿斯托里大禁区中央头球,被防守球员封堵.给他传球的是D-孔蒂.                   1'第1分钟，阿加齐未能击出国米角球，米利托禁区内左脚打高
4'萨穆埃尔将球处理出底线,卡利亚里获得角球.                   1'第1分钟，阿加齐未能击出国米角球，米利托禁区内左脚打高
7'国际米兰球员胡安大禁区中央尝试头球,可惜皮球稍稍偏出了右球门.给他传球的是卡萨诺.                   7'第7分钟，萨内蒂与卡萨诺配合后被孔蒂铲倒，卡萨诺右侧开出角球，胡安前点距门8米处冲顶偏出近门柱
8'射门!!!卡利亚里球员内内大禁区右侧右脚射门,被对方守门员横身扑出.给他传球的是埃夫勒.                   7'第7分钟，萨内蒂与卡萨诺配合后被孔蒂铲倒，卡萨诺右侧开出角球，胡安前点距门8米处冲顶偏出近门柱
10'进球啦！！！国际米兰球员帕拉西奥大禁区中央头球,球从左下角飞进球门,球进了!助攻的是卡萨诺. 国际米兰 1-0 卡利亚里.                   7'第7分钟，萨内蒂与卡萨诺配合后被孔蒂铲倒，卡萨诺右侧开出角球，胡安前点距门8米处冲顶偏出近门柱
10'进球啦！！！国际米兰球员帕拉西奥大禁区中央头球,球从左下角飞进球门,球进了!助攻的是卡萨诺. 国际米兰 1-0 卡利亚里.                   10'国米第10分钟首开纪录
12'卡利亚里球员纳因格兰一脚直塞球给马克-苏,但是边裁举旗显示后者已经越位.                   10'国米第10分钟首开纪录
18'卡利亚里球员纳因格兰大禁区外尝试右脚射门,可惜皮球高出右上角球门.给他传球的是埃夫勒.                   18'第18分钟，纳英戈兰远射偏出
19'卡利亚里球员D-孔蒂一脚直塞球给马克-苏,但是边裁举旗显示后者已经越位.                   18'第18分钟，纳英戈兰远射偏出
29'加尔加诺将球处理出底线,卡利亚里获得角球.                   29'第29分钟，孔蒂左侧开出角球，阿斯托里前点小角度头球一蹭被汉达诺维奇单手托出横梁
29'射门!!!卡利亚里球员阿斯托里小禁区左侧头球,被对方守门员横身扑出.给他传球的是D-孔蒂.                   29'第29分钟，孔蒂左侧开出角球，阿斯托里前点小角度头球一蹭被汉达诺维奇单手托出横梁
30'汉达诺维奇将球处理出底线,卡利亚里获得角球.                   29'第29分钟，孔蒂左侧开出角球，阿斯托里前点小角度头球一蹭被汉达诺维奇单手托出横梁
43'进球啦！！！卡利亚里球员马克-苏大禁区中央右脚射门,球从左下角飞进球门,球进了!助攻的是安德烈-科苏. 国际米兰 1-1 卡利亚里.                   43'卡利亚里第43分钟追平比分，科苏左路传中，萨乌在门前7米处飞身铲射入左下角，1比1
44'射门!!!国际米兰球员米利托大禁区中央左脚射门,被对方守门员横身扑出.给他传球的是卡萨诺.                   43'卡利亚里第43分钟追平比分，科苏左路传中，萨乌在门前7米处飞身铲射入左下角，1比1
45'国际米兰球员帕拉西奥拼抢犯规,对手获得控球权.                   43'卡利亚里第43分钟追平比分，科苏左路传中，萨乌在门前7米处飞身铲射入左下角，1比1
45'拉米雷斯为卡利亚里赢得一个任意球.                   43'卡利亚里第43分钟追平比分，科苏左路传中，萨乌在门前7米处飞身铲射入左下角，1比1
45'+1'长友佑都为国际米兰赢得一个任意球.                   43'卡利亚里第43分钟追平比分，科苏左路传中，萨乌在门前7米处飞身铲射入左下角，1比1
45'+1'卡利亚里球员拉米雷斯拼抢犯规,对手获得控球权.                   43'卡利亚里第43分钟追平比分，科苏左路传中，萨乌在门前7米处飞身铲射入左下角，1比1
45'+2'国际米兰球员萨穆埃尔一脚直塞球给萨内蒂,但是边裁举旗显示后者已经越位.                   43'卡利亚里第43分钟追平比分，科苏左路传中，萨乌在门前7米处飞身铲射入左下角，1比1
45'+2'上半场结束,国际米兰 1-1 卡利亚里,稍事休息,我们一会来看看下半场两队的表现.                   43'卡利亚里第43分钟追平比分，科苏左路传中，萨乌在门前7米处飞身铲射入左下角，1比1
52'国际米兰球员卡萨诺大禁区外右脚射门,被防守球员封堵.                   52'第52分钟，阿斯托里绊倒帕拉西奥，也吃到黄牌，卡萨诺在门前22米处主罚任意球打在人墙上
53'国际米兰球员萨穆埃尔拼抢犯规,对手获得控球权.                   52'第52分钟，阿斯托里绊倒帕拉西奥，也吃到黄牌，卡萨诺在门前22米处主罚任意球打在人墙上
53'埃夫勒为卡利亚里赢得一个任意球.                   52'第52分钟，阿斯托里绊倒帕拉西奥，也吃到黄牌，卡萨诺在门前22米处主罚任意球打在人墙上
54'国际米兰球员米利托球门线跟前尝试右脚射门,可惜皮球高出球门.给他传球的是长友佑都.                   52'第52分钟，阿斯托里绊倒帕拉西奥，也吃到黄牌，卡萨诺在门前22米处主罚任意球打在人墙上
55'卡利亚里球员马克-苏小禁区左侧尝试左脚射门,可惜皮球稍稍高出球门.给他传球的是D-孔蒂.                   52'第52分钟，阿斯托里绊倒帕拉西奥，也吃到黄牌，卡萨诺在门前22米处主罚任意球打在人墙上
48'长友佑都为国际米兰在对方半场,赢得一个任意球.                   46'1分钟后，孔蒂直传禁区左侧，萨乌在门前7米处左脚铲射偏出近门柱
48'卡利亚里球员拉米雷斯拼抢犯规,对手获得控球权.                   46'1分钟后，孔蒂直传禁区左侧，萨乌在门前7米处左脚铲射偏出近门柱
