3'赫尔城禁区内有些乱                   3'马夏尔传球，博格巴开场仅3分钟的远射偏出
3'后卫这边先出一脚将球解围                   3'马夏尔传球，博格巴开场仅3分钟的远射偏出
3'博格巴中场拿球                   3'马夏尔传球，博格巴开场仅3分钟的远射偏出
3'中场附近尝试远射将球打偏                   3'马夏尔传球，博格巴开场仅3分钟的远射偏出
3'伊布之前在禁区内也是有一个蝎子摆尾的助攻                   3'马夏尔传球，博格巴开场仅3分钟的远射偏出
6'赫尔城前场拿球被侵犯                   3'马夏尔传球，博格巴开场仅3分钟的远射偏出
6'赫尔城获得一个位置还算不错的任意球机会                   3'马夏尔传球，博格巴开场仅3分钟的远射偏出
6'艾莫哈马蒂和斯多德格拉斯站在球前                   3'马夏尔传球，博格巴开场仅3分钟的远射偏出
6'斯多德格拉斯直接打门                   3'马夏尔传球，博格巴开场仅3分钟的远射偏出
6'这球打在了人墙上                   3'马夏尔传球，博格巴开场仅3分钟的远射偏出
6'禁区外围赫尔城再补，这球也是打偏了                   3'马夏尔传球，博格巴开场仅3分钟的远射偏出
25'斯多德格拉斯任意球直接打门                   25'胡尔城第25分钟险些破门，费莱尼禁区前犯规，斯诺德格拉斯25码处任意球直接射门，皮球绕过人墙后擦右侧立柱偏出，德赫亚毫无反应
25'球绕过人墙后直窜球门右下角                   25'胡尔城第25分钟险些破门，费莱尼禁区前犯规，斯诺德格拉斯25码处任意球直接射门，皮球绕过人墙后擦右侧立柱偏出，德赫亚毫无反应
25'这球转的有些多了，直接出了底线                   25'胡尔城第25分钟险些破门，费莱尼禁区前犯规，斯诺德格拉斯25码处任意球直接射门，皮球绕过人墙后擦右侧立柱偏出，德赫亚毫无反应
25'我们看到现场的雨变大了                   25'胡尔城第25分钟险些破门，费莱尼禁区前犯规，斯诺德格拉斯25码处任意球直接射门，皮球绕过人墙后擦右侧立柱偏出，德赫亚毫无反应
25'双方也应该加强远射                   25'胡尔城第25分钟险些破门，费莱尼禁区前犯规，斯诺德格拉斯25码处任意球直接射门，皮球绕过人墙后擦右侧立柱偏出，德赫亚毫无反应
25'赫尔城左路拿球到底线                   25'胡尔城第25分钟险些破门，费莱尼禁区前犯规，斯诺德格拉斯25码处任意球直接射门，皮球绕过人墙后擦右侧立柱偏出，德赫亚毫无反应
26'左路起球送禁区后点                   25'胡尔城第25分钟险些破门，费莱尼禁区前犯规，斯诺德格拉斯25码处任意球直接射门，皮球绕过人墙后擦右侧立柱偏出，德赫亚毫无反应
26'卢克肖这边的干扰也是让对方没有顶好来球                   25'胡尔城第25分钟险些破门，费莱尼禁区前犯规，斯诺德格拉斯25码处任意球直接射门，皮球绕过人墙后擦右侧立柱偏出，德赫亚毫无反应
