1'上半场比赛开始！                   1'赛前为兰佩杜萨沉船遇难者默哀1分钟
1'首先开球的是AC米兰！                   1'赛前为兰佩杜萨沉船遇难者默哀1分钟
1'米兰进球了！！！                   1'赛前为兰佩杜萨沉船遇难者默哀1分钟
1'蒙塔里！！                   1'赛前为兰佩杜萨沉船遇难者默哀1分钟
2'米兰的第一次进攻便敲开尤文的防线                   1'赛前为兰佩杜萨沉船遇难者默哀1分钟
3'米兰右路进攻到禁区内，队友回做到禁区弧顶，诺切里诺似传似射的打门被禁区内左侧的蒙塔里轻轻一档将球打进！                   1'赛前为兰佩杜萨沉船遇难者默哀1分钟
3'诺切里诺中场防守的时候犯规                   1'赛前为兰佩杜萨沉船遇难者默哀1分钟
4'尤文右路策动攻势，失误                   1'赛前为兰佩杜萨沉船遇难者默哀1分钟
4'阿巴特将球打到中场                   1'赛前为兰佩杜萨沉船遇难者默哀1分钟
4'队友没有接到                   1'赛前为兰佩杜萨沉船遇难者默哀1分钟
4'蒙塔里中场抢球犯规                   1'赛前为兰佩杜萨沉船遇难者默哀1分钟
19'尤文获得角球机会                   19'开场19秒，诺切里诺在门前25米处抽射打呲，蒙塔里禁区左侧距门10米处用不擅长的右脚推射入近角，1比0，这是2012年11月比达尔18秒破门后意甲最快进球，AC米兰上次在尤文主场1分钟内进球要追溯到49年前(1964年4月5日阿马里尔多)
19'角球给前点，队友头球一蹭                   19'开场19秒，诺切里诺在门前25米处抽射打呲，蒙塔里禁区左侧距门10米处用不擅长的右脚推射入近角，1比0，这是2012年11月比达尔18秒破门后意甲最快进球，AC米兰上次在尤文主场1分钟内进球要追溯到49年前(1964年4月5日阿马里尔多)
19'后点的特维斯想将球勾回来，但边裁先举旗了                   19'开场19秒，诺切里诺在门前25米处抽射打呲，蒙塔里禁区左侧距门10米处用不擅长的右脚推射入近角，1比0，这是2012年11月比达尔18秒破门后意甲最快进球，AC米兰上次在尤文主场1分钟内进球要追溯到49年前(1964年4月5日阿马里尔多)
20'米兰中场横传被帕多因碰出边线                   19'开场19秒，诺切里诺在门前25米处抽射打呲，蒙塔里禁区左侧距门10米处用不擅长的右脚推射入近角，1比0，这是2012年11月比达尔18秒破门后意甲最快进球，AC米兰上次在尤文主场1分钟内进球要追溯到49年前(1964年4月5日阿马里尔多)
20'康斯坦特之前防守撞倒特维斯的时候得到一张黄牌！                   19'开场19秒，诺切里诺在门前25米处抽射打呲，蒙塔里禁区左侧距门10米处用不擅长的右脚推射入近角，1比0，这是2012年11月比达尔18秒破门后意甲最快进球，AC米兰上次在尤文主场1分钟内进球要追溯到49年前(1964年4月5日阿马里尔多)
21'诺切里诺右路拿球被博努奇放倒                   19'开场19秒，诺切里诺在门前25米处抽射打呲，蒙塔里禁区左侧距门10米处用不擅长的右脚推射入近角，1比0，这是2012年11月比达尔18秒破门后意甲最快进球，AC米兰上次在尤文主场1分钟内进球要追溯到49年前(1964年4月5日阿马里尔多)
21'米兰前场右边路获得任意球机会                   19'开场19秒，诺切里诺在门前25米处抽射打呲，蒙塔里禁区左侧距门10米处用不擅长的右脚推射入近角，1比0，这是2012年11月比达尔18秒破门后意甲最快进球，AC米兰上次在尤文主场1分钟内进球要追溯到49年前(1964年4月5日阿马里尔多)
21'蒙托利沃任意球做了一个战术配合                   19'开场19秒，诺切里诺在门前25米处抽射打呲，蒙塔里禁区左侧距门10米处用不擅长的右脚推射入近角，1比0，这是2012年11月比达尔18秒破门后意甲最快进球，AC米兰上次在尤文主场1分钟内进球要追溯到49年前(1964年4月5日阿马里尔多)
22'但没有成功                   19'开场19秒，诺切里诺在门前25米处抽射打呲，蒙塔里禁区左侧距门10米处用不擅长的右脚推射入近角，1比0，这是2012年11月比达尔18秒破门后意甲最快进球，AC米兰上次在尤文主场1分钟内进球要追溯到49年前(1964年4月5日阿马里尔多)
22'尤文想打快速反击也是没有打成                   19'开场19秒，诺切里诺在门前25米处抽射打呲，蒙塔里禁区左侧距门10米处用不擅长的右脚推射入近角，1比0，这是2012年11月比达尔18秒破门后意甲最快进球，AC米兰上次在尤文主场1分钟内进球要追溯到49年前(1964年4月5日阿马里尔多)
22'蒙托利沃中场拿球往前走                   19'开场19秒，诺切里诺在门前25米处抽射打呲，蒙塔里禁区左侧距门10米处用不擅长的右脚推射入近角，1比0，这是2012年11月比达尔18秒破门后意甲最快进球，AC米兰上次在尤文主场1分钟内进球要追溯到49年前(1964年4月5日阿马里尔多)
22'没有机会将球横敲                   19'开场19秒，诺切里诺在门前25米处抽射打呲，蒙塔里禁区左侧距门10米处用不擅长的右脚推射入近角，1比0，这是2012年11月比达尔18秒破门后意甲最快进球，AC米兰上次在尤文主场1分钟内进球要追溯到49年前(1964年4月5日阿马里尔多)
22'罗比尼奥禁区前沿拿球被放倒                   19'开场19秒，诺切里诺在门前25米处抽射打呲，蒙塔里禁区左侧距门10米处用不擅长的右脚推射入近角，1比0，这是2012年11月比达尔18秒破门后意甲最快进球，AC米兰上次在尤文主场1分钟内进球要追溯到49年前(1964年4月5日阿马里尔多)
53'马特里左路拿球直塞，罗比尼奥插上后挑射远角没有打进！！                   53'第8分钟，比达尔直传禁区右侧，夸利亚雷拉在门前9米处转身抽射高出
54'尤文禁区外围远射被阿巴特挡了下来                   53'第8分钟，比达尔直传禁区右侧，夸利亚雷拉在门前9米处转身抽射高出
54'蒙塔里前场拿球被侵犯                   53'第8分钟，比达尔直传禁区右侧，夸利亚雷拉在门前9米处转身抽射高出
55'尤文换人，帕多因下，博格巴上！                   53'第8分钟，比达尔直传禁区右侧，夸利亚雷拉在门前9米处转身抽射高出
55'米兰任意球开出，马特里接球越位                   53'第8分钟，比达尔直传禁区右侧，夸利亚雷拉在门前9米处转身抽射高出
57'博格巴右路得球后传中                   56'第11分钟，基耶利尼左侧距门25米处左脚劲射又被阿比亚蒂单手托出
58'禁区内，梅克斯大脚将球解围                   56'第11分钟，基耶利尼左侧距门25米处左脚劲射又被阿比亚蒂单手托出
58'尤文前场右路赢得一个定位球机会                   56'第11分钟，基耶利尼左侧距门25米处左脚劲射又被阿比亚蒂单手托出
58'皮尔洛来主罚                   56'第11分钟，基耶利尼左侧距门25米处左脚劲射又被阿比亚蒂单手托出
58'任意球转门前，前点被德容飞身解围                   56'第11分钟，基耶利尼左侧距门25米处左脚劲射又被阿比亚蒂单手托出
59'阿萨莫阿左路突破后内切                   56'第11分钟，基耶利尼左侧距门25米处左脚劲射又被阿比亚蒂单手托出
