7'帕齐尼前场底线得球将球回敲                   7'开场7分钟，德容远射偏出左门柱
7'德容禁区外围稍作调整，一脚远射稍稍打偏                   7'开场7分钟，德容远射偏出左门柱
8'卢利奇前场左路突破，阿巴特将球解围出边线                   7'开场7分钟，德容远射偏出左门柱
8'拉齐奥左路起球，没有传好啊                   7'开场7分钟，德容远射偏出左门柱
9'上半场比赛打了10分钟，两队的节奏并不是很快                   7'开场7分钟，德容远射偏出左门柱
9'克洛泽前场拿球将球回敲                   7'开场7分钟，德容远射偏出左门柱
10'埃尔纳内斯挑传送到禁区内，阿梅利亚将球得到                   7'开场7分钟，德容远射偏出左门柱
10'米兰后场送直塞给到博阿滕                   7'开场7分钟，德容远射偏出左门柱
10'博阿滕停球后没有处理好被断了                   7'开场7分钟，德容远射偏出左门柱
15'迪亚斯前场抢球对诺切里诺犯规                   15'第15分钟，克洛泽回做，孔科禁区外打高
15'迪亚斯也是得到一张黄牌！                   15'第15分钟，克洛泽回做，孔科禁区外打高
15'拉齐奥获得角球机会                   15'第15分钟，克洛泽回做，孔科禁区外打高
15'角球送到禁区内，德容将球顶了出来                   15'第15分钟，克洛泽回做，孔科禁区外打高
16'禁区外围比亚瓦的回做，队友的远射是打偏了                   15'第15分钟，克洛泽回做，孔科禁区外打高
16'诺切里诺左路拿球给到沙拉维                   15'第15分钟，克洛泽回做，孔科禁区外打高
17'沙拉维底线带球突破，可惜在最后一传的时候先出了底线                   15'第15分钟，克洛泽回做，孔科禁区外打高
18'莱德斯马中场拿球将球回敲                   15'第15分钟，克洛泽回做，孔科禁区外打高
18'拉齐奥前场中路渗透被断                   15'第15分钟，克洛泽回做，孔科禁区外打高
18'阿梅利亚禁区内拿球有些玩火啊                   15'第15分钟，克洛泽回做，孔科禁区外打高
18'好在他是先将球踢出了边线                   15'第15分钟，克洛泽回做，孔科禁区外打高
22'拉齐奥左路传球送到禁区内，毛里禁区内抢点的时候犯规了                   22'第22分钟，诺切里诺在门前27米处射门偏出右门柱
23'耶佩斯中场长传打到前场，沙拉维没有抢到点                   22'第22分钟，诺切里诺在门前27米处射门偏出右门柱
23'诺切里诺禁区外围得球，一脚远射稍稍打偏                   22'第22分钟，诺切里诺在门前27米处射门偏出右门柱
24'博内拉中场拿球将球给到边路                   22'第22分钟，诺切里诺在门前27米处射门偏出右门柱
24'帕齐尼中场背身拿球被对方顶倒                   22'第22分钟，诺切里诺在门前27米处射门偏出右门柱
24'蒙托利沃任意球做了一个战术的配合                   22'第22分钟，诺切里诺在门前27米处射门偏出右门柱
