35'裁判将摩纳哥的华莱士直接红牌罚下.                   35'第35分钟，摩纳哥后卫华莱士恶劣犯规被红牌直接罚下
36'暂停结束,球员们重新开始比赛.                   35'第35分钟，摩纳哥后卫华莱士恶劣犯规被红牌直接罚下
37'朗斯球员格巴明大禁区外右脚射门,被防守球员封堵.                   35'第35分钟，摩纳哥后卫华莱士恶劣犯规被红牌直接罚下
38'朗斯球员Benjamin Bourigeaud大禁区外右脚射门,被防守球员封堵.给他传球的是Pierrick Valdivia.                   35'第35分钟，摩纳哥后卫华莱士恶劣犯规被红牌直接罚下
38'朗斯球员Benjamin Bourigeaud拼抢犯规,对手获得控球权.                   35'第35分钟，摩纳哥后卫华莱士恶劣犯规被红牌直接罚下
38'巴卡约科为摩纳哥赢得一个任意球.                   35'第35分钟，摩纳哥后卫华莱士恶劣犯规被红牌直接罚下
70'朗斯球员Pierrick Valdivia大禁区中央尝试左脚射门,可惜皮球高出球门.                   70'朗斯第70分钟错过扳平良机，库利巴里禁区内对瓦尔迪维亚犯规，但后者亲自主罚点球却被苏巴西奇扑出
70'朗斯换人,Lalaïna Nomenjanahary换下Jerome Le Moigne                   70'朗斯第70分钟错过扳平良机，库利巴里禁区内对瓦尔迪维亚犯规，但后者亲自主罚点球却被苏巴西奇扑出
71'摩纳哥球员穆蒂尼奥一脚直塞球给贝尔巴托夫,但是边裁举旗显示后者已经越位.                   70'朗斯第70分钟错过扳平良机，库利巴里禁区内对瓦尔迪维亚犯规，但后者亲自主罚点球却被苏巴西奇扑出
72'朗斯球员Yoann Touzghar大禁区右侧尝试头球,可惜皮球稍稍偏出了右球门.给他传球的是Alharbi El Jadeyaoui.                   70'朗斯第70分钟错过扳平良机，库利巴里禁区内对瓦尔迪维亚犯规，但后者亲自主罚点球却被苏巴西奇扑出
72'摩纳哥换人,蒂拉尔换下贝尔巴托夫                   70'朗斯第70分钟错过扳平良机，库利巴里禁区内对瓦尔迪维亚犯规，但后者亲自主罚点球却被苏巴西奇扑出
73'摩纳哥球员A-马歇尔手球犯规,对手获得球权.                   70'朗斯第70分钟错过扳平良机，库利巴里禁区内对瓦尔迪维亚犯规，但后者亲自主罚点球却被苏巴西奇扑出
