3'舒波莫廷前插接应，带球进禁区！！                   3'开场仅3分钟，巴特兰德大脚开球，赫塞插入禁区右侧低射滑门而出
3'强突下底横传球，被防守球员挡出了底线！！                   3'开场仅3分钟，巴特兰德大脚开球，赫塞插入禁区右侧低射滑门而出
3'斯托克城获得右侧角球机会，没能形成威胁！！                   3'开场仅3分钟，巴特兰德大脚开球，赫塞插入禁区右侧低射滑门而出
3'曼联的进攻，中场过顶到右路                   3'开场仅3分钟，巴特兰德大脚开球，赫塞插入禁区右侧低射滑门而出
3'拉什福德拿球强突，内切横传到门前                   3'开场仅3分钟，巴特兰德大脚开球，赫塞插入禁区右侧低射滑门而出
4'卢卡库插上抢点，和防守球员相撞倒地！！                   3'开场仅3分钟，巴特兰德大脚开球，赫塞插入禁区右侧低射滑门而出
4'边裁举旗，原来卢卡库越位在先了！！                   3'开场仅3分钟，巴特兰德大脚开球，赫塞插入禁区右侧低射滑门而出
4'斯托克城前场的进攻，赫塞拿球                   3'开场仅3分钟，巴特兰德大脚开球，赫塞插入禁区右侧低射滑门而出
5'赫塞内切往中路走，横传门前                   3'开场仅3分钟，巴特兰德大脚开球，赫塞插入禁区右侧低射滑门而出
5'可惜跟进的队友慢了点，球先出底线！！                   3'开场仅3分钟，巴特兰德大脚开球，赫塞插入禁区右侧低射滑门而出
5'斯托克城首发：巴特兰德；卡梅伦、祖玛、维默尔；迪乌夫、弗莱彻、乔-阿伦、皮特斯；沙奇里、赫塞；舒波莫廷                   3'开场仅3分钟，巴特兰德大脚开球，赫塞插入禁区右侧低射滑门而出
5'斯托克城前场的进攻，再次赢得角球机会！！                   3'开场仅3分钟，巴特兰德大脚开球，赫塞插入禁区右侧低射滑门而出
6'右侧角球开出到禁区，直接被德赫亚出击拿到！                   3'开场仅3分钟，巴特兰德大脚开球，赫塞插入禁区右侧低射滑门而出
6'曼联首发：德赫亚；瓦伦西亚、拜利、琼斯、达米安；马蒂奇、博格巴、埃雷拉；姆希塔良、拉什福德、卢卡库                   3'开场仅3分钟，巴特兰德大脚开球，赫塞插入禁区右侧低射滑门而出
43'斯托克城进球了！！                   43'斯托克城第43分钟打破僵局，弗莱彻斜传转移，迪乌夫禁区右侧边缘传中，舒波-莫廷小禁区边缘抢在拜利之前扫射入网
43'舒波莫廷的进球！！                   43'斯托克城第43分钟打破僵局，弗莱彻斜传转移，迪乌夫禁区右侧边缘传中，舒波-莫廷小禁区边缘抢在拜利之前扫射入网
45'乔-阿伦中场的斜传转移球到右路给迪乌夫，迪乌夫强突横传门前，舒波莫廷插上抢点铲射进网！！                   43'斯托克城第43分钟打破僵局，弗莱彻斜传转移，迪乌夫禁区右侧边缘传中，舒波-莫廷小禁区边缘抢在拜利之前扫射入网
45'曼联的前场进攻，赢得左侧角球机会！！                   43'斯托克城第43分钟打破僵局，弗莱彻斜传转移，迪乌夫禁区右侧边缘传中，舒波-莫廷小禁区边缘抢在拜利之前扫射入网
46'上半场比赛补时2分钟！！                   43'斯托克城第43分钟打破僵局，弗莱彻斜传转移，迪乌夫禁区右侧边缘传中，舒波-莫廷小禁区边缘抢在拜利之前扫射入网
46'曼联扳平了比分！！！                   43'斯托克城第43分钟打破僵局，弗莱彻斜传转移，迪乌夫禁区右侧边缘传中，舒波-莫廷小禁区边缘抢在拜利之前扫射入网
46'博格巴的进球！！                   43'斯托克城第43分钟打破僵局，弗莱彻斜传转移，迪乌夫禁区右侧边缘传中，舒波-莫廷小禁区边缘抢在拜利之前扫射入网
46'下半场比赛开始！！                   43'斯托克城第43分钟打破僵局，弗莱彻斜传转移，迪乌夫禁区右侧边缘传中，舒波-莫廷小禁区边缘抢在拜利之前扫射入网
46'曼联开球，从画面的右侧向左进攻！！                   43'斯托克城第43分钟打破僵局，弗莱彻斜传转移，迪乌夫禁区右侧边缘传中，舒波-莫廷小禁区边缘抢在拜利之前扫射入网
46'瓦伦西亚右路的过顶球，被威默解围出边线！！                   43'斯托克城第43分钟打破僵局，弗莱彻斜传转移，迪乌夫禁区右侧边缘传中，舒波-莫廷小禁区边缘抢在拜利之前扫射入网
57'曼联前场的进攻，赢得右侧角球！！                   57'曼联第57分钟反超比分，姆希塔良直传，反越位成功的卢卡库单刀低射被扑出，他12码处补射入网，2-1
57'战术角球开出，失误了！！                   57'曼联第57分钟反超比分，姆希塔良直传，反越位成功的卢卡库单刀低射被扑出，他12码处补射入网，2-1
57'赫塞拿球，反击了！！                   57'曼联第57分钟反超比分，姆希塔良直传，反越位成功的卢卡库单刀低射被扑出，他12码处补射入网，2-1
57'带球到前场，等待队友上来接应                   57'曼联第57分钟反超比分，姆希塔良直传，反越位成功的卢卡库单刀低射被扑出，他12码处补射入网，2-1
57'斯托克城中场失误，曼联的进攻！！                   57'曼联第57分钟反超比分，姆希塔良直传，反越位成功的卢卡库单刀低射被扑出，他12码处补射入网，2-1
58'曼联反超了比分！！                   57'曼联第57分钟反超比分，姆希塔良直传，反越位成功的卢卡库单刀低射被扑出，他12码处补射入网，2-1
58'卢卡库的进球！！                   57'曼联第57分钟反超比分，姆希塔良直传，反越位成功的卢卡库单刀低射被扑出，他12码处补射入网，2-1
59'马蒂奇中场抢断，左路反击，横传姆希塔扬，姆希塔扬再突，一个变向，送出直塞打上身后，卢卡库插上单刀赴会，推射被门将封堵，自己跟进再补，打进！！                   57'曼联第57分钟反超比分，姆希塔良直传，反越位成功的卢卡库单刀低射被扑出，他12码处补射入网，2-1
59'不过这球卢卡库在姆希塔扬直塞球时有越位嫌疑                   57'曼联第57分钟反超比分，姆希塔良直传，反越位成功的卢卡库单刀低射被扑出，他12码处补射入网，2-1
60'斯托克城右路的进攻，球出界了！                   57'曼联第57分钟反超比分，姆希塔良直传，反越位成功的卢卡库单刀低射被扑出，他12码处补射入网，2-1
60'沙奇里前场抢断，右路反击                   57'曼联第57分钟反超比分，姆希塔良直传，反越位成功的卢卡库单刀低射被扑出，他12码处补射入网，2-1
81'马蒂奇中场的过顶长传找前插的马塔                   81'曼联第81分钟错过机会，马夏尔右路斜传，无人贴防的卢卡库小禁区边缘垫射高出
81'可惜力量太大，布特兰德出击将球拿到！                   81'曼联第81分钟错过机会，马夏尔右路斜传，无人贴防的卢卡库小禁区边缘垫射高出
82'斯托克城之前的换人：9号贝拉赫诺上，换下11号赫塞！！                   81'曼联第81分钟错过机会，马夏尔右路斜传，无人贴防的卢卡库小禁区边缘垫射高出
82'曼联前场再攻，马夏尔的强突分球                   81'曼联第81分钟错过机会，马夏尔右路斜传，无人贴防的卢卡库小禁区边缘垫射高出
83'卢卡库停球，转身打门，踢飞！！                   81'曼联第81分钟错过机会，马夏尔右路斜传，无人贴防的卢卡库小禁区边缘垫射高出
83'斯托克城前场的进攻，乔-阿伦强突，被回防的博格巴拉倒在地！                   81'曼联第81分钟错过机会，马夏尔右路斜传，无人贴防的卢卡库小禁区边缘垫射高出
83'博格巴被主裁判口头警告一翻！！                   81'曼联第81分钟错过机会，马夏尔右路斜传，无人贴防的卢卡库小禁区边缘垫射高出
84'斯托克城前场失误，曼联的反击                   81'曼联第81分钟错过机会，马夏尔右路斜传，无人贴防的卢卡库小禁区边缘垫射高出
84'可惜马蒂奇的传球，出界了！！                   81'曼联第81分钟错过机会，马夏尔右路斜传，无人贴防的卢卡库小禁区边缘垫射高出
84'曼联换人：14号林加德上，换下22号姆希塔扬！！                   81'曼联第81分钟错过机会，马夏尔右路斜传，无人贴防的卢卡库小禁区边缘垫射高出
92'曼联前场进攻，赢得右侧角球机会！                   92'第92分钟，祖马角球防守时险些自摆乌龙，巴特兰德神勇扑出
93'角球开出到后点，琼斯前点一顶！                   92'第92分钟，祖马角球防守时险些自摆乌龙，巴特兰德神勇扑出
93'没顶好，到了后点                   92'第92分钟，祖马角球防守时险些自摆乌龙，巴特兰德神勇扑出
93'祖玛的解围差点乌龙！！                   92'第92分钟，祖马角球防守时险些自摆乌龙，巴特兰德神勇扑出
93'布特兰德倒地将球扑出，威默出脚将球解围                   92'第92分钟，祖马角球防守时险些自摆乌龙，巴特兰德神勇扑出
93'威默这次也受伤了，曼联将球踢出界外                   92'第92分钟，祖马角球防守时险些自摆乌龙，巴特兰德神勇扑出
94'裁判坠球重新开始比赛！！                   92'第92分钟，祖马角球防守时险些自摆乌龙，巴特兰德神勇扑出
94'裁判坠球，迪乌夫大脚开出到了曼联的后场                   92'第92分钟，祖马角球防守时险些自摆乌龙，巴特兰德神勇扑出
94'曼联的进攻，马夏尔和博格巴的配合                   92'第92分钟，祖马角球防守时险些自摆乌龙，巴特兰德神勇扑出
95'马夏尔禁区内停球横拨，博格巴跟进起脚打门，踢飞！                   92'第92分钟，祖马角球防守时险些自摆乌龙，巴特兰德神勇扑出
95'双方中场争抢，裁判鸣哨了！！                   92'第92分钟，祖马角球防守时险些自摆乌龙，巴特兰德神勇扑出
