3'这个球，登巴巴错失空门，没想到幸福来的太突然啊                   3'第3分钟崔仁和张璐中场附近相撞，两人一时都无法起身
3'延边右路前场拿到定位球机会                   3'第3分钟崔仁和张璐中场附近相撞，两人一时都无法起身
3'尼古拉来主罚，给到前点，被解围出去                   3'第3分钟崔仁和张璐中场附近相撞，两人一时都无法起身
3'申花的反击，中路秦升给到瓜林，再分右侧张璐，送直塞丢掉了                   3'第3分钟崔仁和张璐中场附近相撞，两人一时都无法起身
4'双方开场节奏很快啊                   3'第3分钟崔仁和张璐中场附近相撞，两人一时都无法起身
4'崔仁和张璐两个人中场绞杀纷纷倒在地上，对铲啊                   3'第3分钟崔仁和张璐中场附近相撞，两人一时都无法起身
5'镜头又给到了登巴巴，萌萌的表情。结合刚才空门的慢镜头                   3'第3分钟崔仁和张璐中场附近相撞，两人一时都无法起身
5'秦升后场定位球交给李建滨，中路给王赟                   3'第3分钟崔仁和张璐中场附近相撞，两人一时都无法起身
5'长距离的送一个身后球，被崔民挡出                   3'第3分钟崔仁和张璐中场附近相撞，两人一时都无法起身
5'中场给到尹比加兰，在给李浩杰，分给池忠国                   3'第3分钟崔仁和张璐中场附近相撞，两人一时都无法起身
6'池忠国拼抢被吹犯规                   3'第3分钟崔仁和张璐中场附近相撞，两人一时都无法起身
6'延边右路推进，尹比加兰稳一下节奏，在给后面上来的同伴                   3'第3分钟崔仁和张璐中场附近相撞，两人一时都无法起身
6'右侧裴育文插上助攻，底线传中，碰到柏佳骏腿上变向                   3'第3分钟崔仁和张璐中场附近相撞，两人一时都无法起身
10'1对1，在回给身后张璐                   10'第10分钟尹比加兰中路直传，河太均带球扛住李建滨，强行杀入禁区怒射也打中边网
10'斜吊到禁区内，头球解围不远，后点登巴巴凌空扫射                   10'第10分钟尹比加兰中路直传，河太均带球扛住李建滨，强行杀入禁区怒射也打中边网
10'裴育文用头挡出了这个球                   10'第10分钟尹比加兰中路直传，河太均带球扛住李建滨，强行杀入禁区怒射也打中边网
10'申花左侧在吊向禁区，后点莫雷诺勉强一顶，出了底线                   10'第10分钟尹比加兰中路直传，河太均带球扛住李建滨，强行杀入禁区怒射也打中边网
10'延边反击，速度非常快啊，找河神                   10'第10分钟尹比加兰中路直传，河太均带球扛住李建滨，强行杀入禁区怒射也打中边网
11'秦升中场失位，让尹比加兰送出一个过顶球                   10'第10分钟尹比加兰中路直传，河太均带球扛住李建滨，强行杀入禁区怒射也打中边网
11'河太均扛过李建斌杀入禁区内，右脚爆射击中边网                   10'第10分钟尹比加兰中路直传，河太均带球扛住李建滨，强行杀入禁区怒射也打中边网
11'双方对攻，比赛很好看                   10'第10分钟尹比加兰中路直传，河太均带球扛住李建滨，强行杀入禁区怒射也打中边网
12'莫雷诺前场面对尼古拉，转身假动作没有骗过对手，尼古拉把球解围出去                   10'第10分钟尹比加兰中路直传，河太均带球扛住李建滨，强行杀入禁区怒射也打中边网
12'左侧长传找斯蒂夫，停出了边线                   10'第10分钟尹比加兰中路直传，河太均带球扛住李建滨，强行杀入禁区怒射也打中边网
13'秦升中路拿球，转移左侧找王赟，直接给出边线                   10'第10分钟尹比加兰中路直传，河太均带球扛住李建滨，强行杀入禁区怒射也打中边网
13'申花失误有点多啊，秦教授今天有点迷糊                   10'第10分钟尹比加兰中路直传，河太均带球扛住李建滨，强行杀入禁区怒射也打中边网
13'申花前场交给瓜林，瓜林中圈刚过，直接就射了，打了飞机                   10'第10分钟尹比加兰中路直传，河太均带球扛住李建滨，强行杀入禁区怒射也打中边网
17'把球停好之后，传中进来，找斯蒂夫，后点球到了崔仁面前                   17'第17分钟河太均在申花禁区内和李建滨发生肢体接触后倒地不起，还好紧急治疗后河坚持再战
17'崔仁步点没有调整好，凌空打门没射上力量，被李帅没收                   17'第17分钟河太均在申花禁区内和李建滨发生肢体接触后倒地不起，还好紧急治疗后河坚持再战
17'尹比加兰中路又送一个精妙直塞                   17'第17分钟河太均在申花禁区内和李建滨发生肢体接触后倒地不起，还好紧急治疗后河坚持再战
18'崔仁前插到禁区内，和张璐有一个身体接触倒地没有拿到球                   17'第17分钟河太均在申花禁区内和李建滨发生肢体接触后倒地不起，还好紧急治疗后河坚持再战
18'延边持续的进攻，让申花透不过气                   17'第17分钟河太均在申花禁区内和李建滨发生肢体接触后倒地不起，还好紧急治疗后河坚持再战
19'又是尹比加兰，左侧反击，半高球送到禁区                   17'第17分钟河太均在申花禁区内和李建滨发生肢体接触后倒地不起，还好紧急治疗后河坚持再战
19'河太均扛住李建滨摆脱时候脚下交待不清楚，踩到球上倒地                   17'第17分钟河太均在申花禁区内和李建滨发生肢体接触后倒地不起，还好紧急治疗后河坚持再战
20'河太均崴脚了好像，被抬到场外治疗                   17'第17分钟河太均在申花禁区内和李建滨发生肢体接触后倒地不起，还好紧急治疗后河坚持再战
20'申花前场界外球，秦升大力手榴弹扔进去                   17'第17分钟河太均在申花禁区内和李建滨发生肢体接触后倒地不起，还好紧急治疗后河坚持再战
20'禁区内被尼古拉顶出                   17'第17分钟河太均在申花禁区内和李建滨发生肢体接触后倒地不起，还好紧急治疗后河坚持再战
20'外围申花还有球权                   17'第17分钟河太均在申花禁区内和李建滨发生肢体接触后倒地不起，还好紧急治疗后河坚持再战
26'延边进攻到弧顶内，斯蒂夫推给身旁的崔仁，崔仁禁区内调整一下，再射，被李建滨挡出                   26'第26分钟金承大换下难以坚持的河太均
26'崔仁这个球有点慢，给了对方充分的准备时间                   26'第26分钟金承大换下难以坚持的河太均
27'申花右路长传过顶找吕征，直接出了底线                   26'第26分钟金承大换下难以坚持的河太均
27'延边换人了，金承大替下了河太均                   26'第26分钟金承大换下难以坚持的河太均
27'锋线尖刀河神，受伤被动下场啊，这给延边的打击可是不小                   26'第26分钟金承大换下难以坚持的河太均
27'莫雷诺前场紧逼，尼古拉一脚踢出边线                   26'第26分钟金承大换下难以坚持的河太均
28'秦升大力界外球扔到禁区                   26'第26分钟金承大换下难以坚持的河太均
28'吕征禁区内头球顶出一个吊射，偏出底线                   26'第26分钟金承大换下难以坚持的河太均
29'上半场不知不觉踢了半小时，双方虽然没进球，但场面还是挺精彩的                   26'第26分钟金承大换下难以坚持的河太均
29'瓜林外围给到秦升，吊向禁区，第一点还是没有争到                   26'第26分钟金承大换下难以坚持的河太均
29'金基熙横拨李建滨，在走左路柏佳骏这边                   26'第26分钟金承大换下难以坚持的河太均
29'推进给王赟，王赟摔倒，裁判没有理会                   26'第26分钟金承大换下难以坚持的河太均
31'柏佳骏后场长传，给到登巴巴，护好球在给王赟                   31'第31分钟登巴巴禁区外转身大力射门高出
31'没有机会，选择回敲一下，秦升梳理，在给莫雷诺                   31'第31分钟登巴巴禁区外转身大力射门高出
31'边路金基熙上去，搓到禁区前沿                   31'第31分钟登巴巴禁区外转身大力射门高出
32'登巴巴胸部一停，转身横向一带，直接远射，势大力沉，偏了一些                   31'第31分钟登巴巴禁区外转身大力射门高出
32'今天申花禁区外的远射很多                   31'第31分钟登巴巴禁区外转身大力射门高出
32'崔仁无球状态下倒在地上，什么情况，莫非又要被动换人了?                   31'第31分钟登巴巴禁区外转身大力射门高出
33'朴泰夏在场边也是一脸无奈啊                   31'第31分钟登巴巴禁区外转身大力射门高出
33'镜头给到替补上场的金承大，替补河神上来之后他还没有什么表现                   31'第31分钟登巴巴禁区外转身大力射门高出
