25'不好意思，之前后台故障                   22'第22分钟，马蒂厄传球，梅西禁区边缘内低射被卡西利亚斯没收
26'目前上半场进行到了25分钟，比分0-1，巴萨领先，内马尔进球                   26'第26分钟，C-罗纳尔多切入禁区边缘内在布斯克茨防守下摔倒，裁判未予理会
26'C罗前场拿球，左侧强突到禁区，摔倒啦                   26'第26分钟，C-罗纳尔多切入禁区边缘内在布斯克茨防守下摔倒，裁判未予理会
26'主裁判并无表示，球被巴萨球员解围                   26'第26分钟，C-罗纳尔多切入禁区边缘内在布斯克茨防守下摔倒，裁判未予理会
27'布斯克茨上去，对着C罗嚷嚷着，估计认为C罗假摔吧                   26'第26分钟，C-罗纳尔多切入禁区边缘内在布斯克茨防守下摔倒，裁判未予理会
27'C罗也是不含糊，回敬两句，双方继续往前走                   26'第26分钟，C-罗纳尔多切入禁区边缘内在布斯克茨防守下摔倒，裁判未予理会
27'马蒂厄左路拿球，直塞找内马尔                   26'第26分钟，C-罗纳尔多切入禁区边缘内在布斯克茨防守下摔倒，裁判未予理会
27'内马尔拿球，面对卡瓦哈尔，回传马蒂厄                   26'第26分钟，C-罗纳尔多切入禁区边缘内在布斯克茨防守下摔倒，裁判未予理会
28'马蒂厄横传交给哈维，哈维斜传球到右路                   26'第26分钟，C-罗纳尔多切入禁区边缘内在布斯克茨防守下摔倒，裁判未予理会
28'苏亚雷斯拿球直塞禁区，内马尔停球                   26'第26分钟，C-罗纳尔多切入禁区边缘内在布斯克茨防守下摔倒，裁判未予理会
28'内马尔起脚抽射，被卡瓦哈尔用身体挡出                   26'第26分钟，C-罗纳尔多切入禁区边缘内在布斯克茨防守下摔倒，裁判未予理会
29'莫德里奇中圈拿球，挑传左侧给伊斯科                   26'第26分钟，C-罗纳尔多切入禁区边缘内在布斯克茨防守下摔倒，裁判未予理会
29'伊斯科拿球直塞找C罗，被阿尔维斯抢先一步破坏                   26'第26分钟，C-罗纳尔多切入禁区边缘内在布斯克茨防守下摔倒，裁判未予理会
34'J罗主罚，开出到禁区，直接被布拉沃拿到                   34'皇马第34分钟扳平比分，马塞洛禁区左侧传中，皮克手球犯规被罚黄牌，C-罗纳尔多主罚点球命中，1-1
34'皇马前场抢断，马塞洛左路下底倒三角传球到门前                   34'皇马第34分钟扳平比分，马塞洛禁区左侧传中，皮克手球犯规被罚黄牌，C-罗纳尔多主罚点球命中，1-1
35'皮克解围时球打在手臂上                   34'皇马第34分钟扳平比分，马塞洛禁区左侧传中，皮克手球犯规被罚黄牌，C-罗纳尔多主罚点球命中，1-1
35'皇马获得点球！！1                   34'皇马第34分钟扳平比分，马塞洛禁区左侧传中，皮克手球犯规被罚黄牌，C-罗纳尔多主罚点球命中，1-1
35'C罗主罚，命中！！！！                   34'皇马第34分钟扳平比分，马塞洛禁区左侧传中，皮克手球犯规被罚黄牌，C-罗纳尔多主罚点球命中，1-1
36'皮克的手球，还被主裁判出了黄牌警告！！！                   34'皇马第34分钟扳平比分，马塞洛禁区左侧传中，皮克手球犯规被罚黄牌，C-罗纳尔多主罚点球命中，1-1
36'C罗的点球攻破巴萨城池，这也是布拉沃镇守的球门，本赛季西甲赛场第一个失球                   34'皇马第34分钟扳平比分，马塞洛禁区左侧传中，皮克手球犯规被罚黄牌，C-罗纳尔多主罚点球命中，1-1
37'马塞洛左路拿球，强突下底，被阿尔维斯抢断                   34'皇马第34分钟扳平比分，马塞洛禁区左侧传中，皮克手球犯规被罚黄牌，C-罗纳尔多主罚点球命中，1-1
37'上半场比赛进行到了37分钟，比分1-1                   34'皇马第34分钟扳平比分，马塞洛禁区左侧传中，皮克手球犯规被罚黄牌，C-罗纳尔多主罚点球命中，1-1
85'梅西前场拿球，斜塞分给左侧的内马尔                   85'第40分钟，哈维开出角球，皮克头球攻门被佩佩挡出
85'内马尔左路拿球，强行内切，禁区角上被卡瓦哈尔解围                   85'第40分钟，哈维开出角球，皮克头球攻门被佩佩挡出
86'皇马再次换人：6号赫迪拉上，换下9号本泽马                   85'第40分钟，哈维开出角球，皮克头球攻门被佩佩挡出
86'伯纳乌现场，又是掌声雷动                   85'第40分钟，哈维开出角球，皮克头球攻门被佩佩挡出
86'本泽马下场后，替补席上的助教膜拜本泽马                   85'第40分钟，哈维开出角球，皮克头球攻门被佩佩挡出
88'下半场比赛已经进入尾声，比分3-1，皇马领先                   85'第40分钟，哈维开出角球，皮克头球攻门被佩佩挡出
88'皇马第三次换人：17号阿韦洛亚上，换下19号莫德里奇                   85'第40分钟，哈维开出角球，皮克头球攻门被佩佩挡出
88'安切洛蒂这三个换人，都是防守型球员                   85'第40分钟，哈维开出角球，皮克头球攻门被佩佩挡出
95'C罗被主裁判出示了黄牌警告！！！                   95'皇马第50分钟反超比分，本泽马传球，C-罗纳尔多禁区右侧的射门被皮克挡出
95'这是皇马的第二张黄牌！！！                   95'皇马第50分钟反超比分，本泽马传球，C-罗纳尔多禁区右侧的射门被皮克挡出
