41'维纳尔杜姆往前带！直塞禁区！被后卫一脚解围出去！                   41'第41分钟，沃特福德解围角球，拉拉纳左路外围凌空抽射憾中横梁
41'后场左侧洛夫伦拿到！再分右路奥里吉！                   41'第41分钟，沃特福德解围角球，拉拉纳左路外围凌空抽射憾中横梁
41'传中至禁区！禁区左侧米尔纳拿到！                   41'第41分钟，沃特福德解围角球，拉拉纳左路外围凌空抽射憾中横梁
41'再分身旁詹！                   41'第41分钟，沃特福德解围角球，拉拉纳左路外围凌空抽射憾中横梁
42'往里带！被放倒了！                   41'第41分钟，沃特福德解围角球，拉拉纳左路外围凌空抽射憾中横梁
42'直接被解围出底线！                   41'第41分钟，沃特福德解围角球，拉拉纳左路外围凌空抽射憾中横梁
42'左侧角球！                   41'第41分钟，沃特福德解围角球，拉拉纳左路外围凌空抽射憾中横梁
42'外围拉拉纳来一脚！                   41'第41分钟，沃特福德解围角球，拉拉纳左路外围凌空抽射憾中横梁
42'横梁啊！！                   41'第41分钟，沃特福德解围角球，拉拉纳左路外围凌空抽射憾中横梁
43'外围左侧詹继续拿到！被迪尼补防拦截！                   41'第41分钟，沃特福德解围角球，拉拉纳左路外围凌空抽射憾中横梁
43'一脚长传前场！                   41'第41分钟，沃特福德解围角球，拉拉纳左路外围凌空抽射憾中横梁
43'后场中路马蒂普拿到！长传禁区！直接被门将拿到！                   41'第41分钟，沃特福德解围角球，拉拉纳左路外围凌空抽射憾中横梁
44'右路卢卡斯大禁区前沿突破！                   41'第41分钟，沃特福德解围角球，拉拉纳左路外围凌空抽射憾中横梁
44'进禁区了！摔倒了！                   41'第41分钟，沃特福德解围角球，拉拉纳左路外围凌空抽射憾中横梁
44'裁判给了一张黄牌！假摔！                   41'第41分钟，沃特福德解围角球，拉拉纳左路外围凌空抽射憾中横梁
76'禁区右侧争顶！卢卡斯顶出底线！                   76'利物浦第76分钟错过机会，埃姆雷-詹反击中右路斜传，拉拉纳停球稍大错过单刀机会，阿姆拉巴特及时回防捅出皮球解围
76'右侧角球！                   76'利物浦第76分钟错过机会，埃姆雷-詹反击中右路斜传，拉拉纳停球稍大错过单刀机会，阿姆拉巴特及时回防捅出皮球解围
76'中路门将出来双拳击出！                   76'利物浦第76分钟错过机会，埃姆雷-詹反击中右路斜传，拉拉纳停球稍大错过单刀机会，阿姆拉巴特及时回防捅出皮球解围
76'前场右侧詹直塞！拉拉纳前插拿到！                   76'利物浦第76分钟错过机会，埃姆雷-詹反击中右路斜传，拉拉纳停球稍大错过单刀机会，阿姆拉巴特及时回防捅出皮球解围
77'突入禁区！右脚推射！                   76'利物浦第76分钟错过机会，埃姆雷-詹反击中右路斜传，拉拉纳停球稍大错过单刀机会，阿姆拉巴特及时回防捅出皮球解围
77'单刀啊！                   76'利物浦第76分钟错过机会，埃姆雷-詹反击中右路斜传，拉拉纳停球稍大错过单刀机会，阿姆拉巴特及时回防捅出皮球解围
77'直接出了左侧底线。。。                   76'利物浦第76分钟错过机会，埃姆雷-詹反击中右路斜传，拉拉纳停球稍大错过单刀机会，阿姆拉巴特及时回防捅出皮球解围
