19'科斯塔拿球，给罗本，被大脚破坏出来                   19'拜仁第19分钟取得领先
19'罗本拿球，横传科斯塔                   19'拜仁第19分钟取得领先
20'再给边路拉姆，传球禁区，球被新特雷格断掉                   19'拜仁第19分钟取得领先
20'长传球，拜仁将球控制下来                   19'拜仁第19分钟取得领先
21'莱万禁区拿球，一个转身过来，直接打门了                   19'拜仁第19分钟取得领先
21'进了！！！！！！！！！！！！                   19'拜仁第19分钟取得领先
21'莱万率先为拜仁打破僵局                   19'拜仁第19分钟取得领先
22'莱万终于在德甲进球了                   19'拜仁第19分钟取得领先
47'拜仁依靠罗本和莱万的进球，2比0领先                   47'仅过2分钟，罗本右肋突破直传禁区，莱万停球左脚似传似射，费尔哈赫中路解围不远，莱万右侧底线回敲，罗本在门前5米处左脚推射入网，2比0
47'拜仁中场控制球权                   47'仅过2分钟，罗本右肋突破直传禁区，莱万停球左脚似传似射，费尔哈赫中路解围不远，莱万右侧底线回敲，罗本在门前5米处左脚推射入网，2比0
47'科斯塔传球阿拉巴，球被断了                   47'仅过2分钟，罗本右肋突破直传禁区，莱万停球左脚似传似射，费尔哈赫中路解围不远，莱万右侧底线回敲，罗本在门前5米处左脚推射入网，2比0
47'不过奥格斯堡的长传球，被拜仁控制下来                   47'仅过2分钟，罗本右肋突破直传禁区，莱万停球左脚似传似射，费尔哈赫中路解围不远，莱万右侧底线回敲，罗本在门前5米处左脚推射入网，2比0
48'莱万传球罗本，加速突破，突然停球，被拉住了                   47'仅过2分钟，罗本右肋突破直传禁区，莱万停球左脚似传似射，费尔哈赫中路解围不远，莱万右侧底线回敲，罗本在门前5米处左脚推射入网，2比0
48'但是裁判没有任何表示                   47'仅过2分钟，罗本右肋突破直传禁区，莱万停球左脚似传似射，费尔哈赫中路解围不远，莱万右侧底线回敲，罗本在门前5米处左脚推射入网，2比0
48'中场拜仁将球断下来                   47'仅过2分钟，罗本右肋突破直传禁区，莱万停球左脚似传似射，费尔哈赫中路解围不远，莱万右侧底线回敲，罗本在门前5米处左脚推射入网，2比0
48'罗本传球莱万，单刀球了                   47'仅过2分钟，罗本右肋突破直传禁区，莱万停球左脚似传似射，费尔哈赫中路解围不远，莱万右侧底线回敲，罗本在门前5米处左脚推射入网，2比0
49'过掉门将，推射空门将球打进                   47'仅过2分钟，罗本右肋突破直传禁区，莱万停球左脚似传似射，费尔哈赫中路解围不远，莱万右侧底线回敲，罗本在门前5米处左脚推射入网，2比0
49'3比0了                   47'仅过2分钟，罗本右肋突破直传禁区，莱万停球左脚似传似射，费尔哈赫中路解围不远，莱万右侧底线回敲，罗本在门前5米处左脚推射入网，2比0
50'拜仁这场比赛基本上拿下了                   47'仅过2分钟，罗本右肋突破直传禁区，莱万停球左脚似传似射，费尔哈赫中路解围不远，莱万右侧底线回敲，罗本在门前5米处左脚推射入网，2比0
45'上半场马上到常规时间了                   45'奥格斯堡第45分钟错过机会，阿隆索解围不远，具滋哲禁区边缘低射被诺伊尔封出左门柱
46'阿隆索传球，失误了                   45'奥格斯堡第45分钟错过机会，阿隆索解围不远，具滋哲禁区边缘低射被诺伊尔封出左门柱
46'具滋哲拿球，单刀了                   45'奥格斯堡第45分钟错过机会，阿隆索解围不远，具滋哲禁区边缘低射被诺伊尔封出左门柱
46'诺伊尔倒地将球抱住                   45'奥格斯堡第45分钟错过机会，阿隆索解围不远，具滋哲禁区边缘低射被诺伊尔封出左门柱
46'上半场比赛结束                   45'奥格斯堡第45分钟错过机会，阿隆索解围不远，具滋哲禁区边缘低射被诺伊尔封出左门柱
47'拜仁依靠罗本和莱万的进球，2比0领先                   45'奥格斯堡第45分钟错过机会，阿隆索解围不远，具滋哲禁区边缘低射被诺伊尔封出左门柱
46'奥格斯堡率先开球                   45'奥格斯堡第45分钟错过机会，阿隆索解围不远，具滋哲禁区边缘低射被诺伊尔封出左门柱
46'长传球，拜仁将球权控制下来                   45'奥格斯堡第45分钟错过机会，阿隆索解围不远，具滋哲禁区边缘低射被诺伊尔封出左门柱
47'拜仁中场控制球权                   45'奥格斯堡第45分钟错过机会，阿隆索解围不远，具滋哲禁区边缘低射被诺伊尔封出左门柱
47'科斯塔传球阿拉巴，球被断了                   45'奥格斯堡第45分钟错过机会，阿隆索解围不远，具滋哲禁区边缘低射被诺伊尔封出左门柱
47'不过奥格斯堡的长传球，被拜仁控制下来                   45'奥格斯堡第45分钟错过机会，阿隆索解围不远，具滋哲禁区边缘低射被诺伊尔封出左门柱
48'莱万传球罗本，加速突破，突然停球，被拉住了                   45'奥格斯堡第45分钟错过机会，阿隆索解围不远，具滋哲禁区边缘低射被诺伊尔封出左门柱
48'但是裁判没有任何表示                   45'奥格斯堡第45分钟错过机会，阿隆索解围不远，具滋哲禁区边缘低射被诺伊尔封出左门柱
48'中场拜仁将球断下来                   45'奥格斯堡第45分钟错过机会，阿隆索解围不远，具滋哲禁区边缘低射被诺伊尔封出左门柱
48'罗本传球莱万，单刀球了                   45'奥格斯堡第45分钟错过机会，阿隆索解围不远，具滋哲禁区边缘低射被诺伊尔封出左门柱
