1'上半场比赛开始！！                   1'巴萨第1分钟控制比赛，埃瓦尔回收防线沉稳应对
1'首先开球的是埃瓦尔                   1'巴萨第1分钟控制比赛，埃瓦尔回收防线沉稳应对
1'巴萨后场横向转移                   1'巴萨第1分钟控制比赛，埃瓦尔回收防线沉稳应对
1'来到了边路                   1'巴萨第1分钟控制比赛，埃瓦尔回收防线沉稳应对
2'阿尔巴接球回敲                   1'巴萨第1分钟控制比赛，埃瓦尔回收防线沉稳应对
2'巴萨右路攻上来                   1'巴萨第1分钟控制比赛，埃瓦尔回收防线沉稳应对
2'苏亚雷斯拿球往禁区里分                   1'巴萨第1分钟控制比赛，埃瓦尔回收防线沉稳应对
2'拉基蒂奇带一下被捅出去                   1'巴萨第1分钟控制比赛，埃瓦尔回收防线沉稳应对
2'巴萨的角球                   1'巴萨第1分钟控制比赛，埃瓦尔回收防线沉稳应对
2'战术角球开出                   1'巴萨第1分钟控制比赛，埃瓦尔回收防线沉稳应对
2'右路传球给到禁区                   1'巴萨第1分钟控制比赛，埃瓦尔回收防线沉稳应对
2'里斯戈将球拿到                   1'巴萨第1分钟控制比赛，埃瓦尔回收防线沉稳应对
3'埃瓦尔拿球给到左路                   1'巴萨第1分钟控制比赛，埃瓦尔回收防线沉稳应对
3'底线下底被挡了下来                   1'巴萨第1分钟控制比赛，埃瓦尔回收防线沉稳应对
3'巴萨在后场横向的转移                   1'巴萨第1分钟控制比赛，埃瓦尔回收防线沉稳应对
3'看着要被断啊                   1'巴萨第1分钟控制比赛，埃瓦尔回收防线沉稳应对
3'库蒂尼奥边路上抢拉人                   1'巴萨第1分钟控制比赛，埃瓦尔回收防线沉稳应对
4'埃瓦尔中场分球到边路                   1'巴萨第1分钟控制比赛，埃瓦尔回收防线沉稳应对
4'皮克将球解围出边线                   1'巴萨第1分钟控制比赛，埃瓦尔回收防线沉稳应对
19'撞墙配合失误了                   19'巴萨第19分钟取得领先，库蒂尼奥传球，苏亚雷斯突入禁区左肋12码处射入远角
19'1-0！！！                   19'巴萨第19分钟取得领先，库蒂尼奥传球，苏亚雷斯突入禁区左肋12码处射入远角
19'苏亚雷斯！！！                   19'巴萨第19分钟取得领先，库蒂尼奥传球，苏亚雷斯突入禁区左肋12码处射入远角
20'巴萨中场拿球连续的一脚传递，库蒂尼奥跟苏亚雷斯做一个撞墙，最后禁区内由苏亚雷斯推射远角破门！！                   19'巴萨第19分钟取得领先，库蒂尼奥传球，苏亚雷斯突入禁区左肋12码处射入远角
20'埃瓦尔这次防守没有碰到球啊                   19'巴萨第19分钟取得领先，库蒂尼奥传球，苏亚雷斯突入禁区左肋12码处射入远角
22'巴萨中场送直塞打身后                   19'巴萨第19分钟取得领先，库蒂尼奥传球，苏亚雷斯突入禁区左肋12码处射入远角
22'苏亚雷斯启动的速度很快啊                   19'巴萨第19分钟取得领先，库蒂尼奥传球，苏亚雷斯突入禁区左肋12码处射入远角
22'但边裁举旗示意越位了                   19'巴萨第19分钟取得领先，库蒂尼奥传球，苏亚雷斯突入禁区左肋12码处射入远角
53'2-0！！！                   53'巴萨第53分钟扩大比分，苏亚雷斯前场抢断后同库蒂尼奥踢墙配合后传球，梅西禁区左肋10码处低射远角入网，2-0
53'梅西！！！                   53'巴萨第53分钟扩大比分，苏亚雷斯前场抢断后同库蒂尼奥踢墙配合后传球，梅西禁区左肋10码处低射远角入网，2-0
54'苏亚雷斯前场断球后快速到了禁区前沿，分出来给到梅西，梅西禁区内带一步后推射远角破门！！                   53'巴萨第53分钟扩大比分，苏亚雷斯前场抢断后同库蒂尼奥踢墙配合后传球，梅西禁区左肋10码处低射远角入网，2-0
54'梅西完成西甲400球里程碑                   53'巴萨第53分钟扩大比分，苏亚雷斯前场抢断后同库蒂尼奥踢墙配合后传球，梅西禁区左肋10码处低射远角入网，2-0
55'恭喜梅西啊！！                   53'巴萨第53分钟扩大比分，苏亚雷斯前场抢断后同库蒂尼奥踢墙配合后传球，梅西禁区左肋10码处低射远角入网，2-0
55'苏亚雷斯目前是一传一射                   53'巴萨第53分钟扩大比分，苏亚雷斯前场抢断后同库蒂尼奥踢墙配合后传球，梅西禁区左肋10码处低射远角入网，2-0
55'埃瓦尔左路拿球                   53'巴萨第53分钟扩大比分，苏亚雷斯前场抢断后同库蒂尼奥踢墙配合后传球，梅西禁区左肋10码处低射远角入网，2-0
55'给到底线                   53'巴萨第53分钟扩大比分，苏亚雷斯前场抢断后同库蒂尼奥踢墙配合后传球，梅西禁区左肋10码处低射远角入网，2-0
55'没有控制好                   53'巴萨第53分钟扩大比分，苏亚雷斯前场抢断后同库蒂尼奥踢墙配合后传球，梅西禁区左肋10码处低射远角入网，2-0
59'巴萨左路低平球给到禁区弧顶                   59'巴萨第59分钟锁定胜局，罗伯托掷出界外球，苏亚雷斯切入禁区右侧小角度捅射入网，3-0
59'苏亚雷斯脚后跟做球                   59'巴萨第59分钟锁定胜局，罗伯托掷出界外球，苏亚雷斯切入禁区右侧小角度捅射入网，3-0
59'梅西无人看防了                   59'巴萨第59分钟锁定胜局，罗伯托掷出界外球，苏亚雷斯切入禁区右侧小角度捅射入网，3-0
59'推射被里斯戈压在身下                   59'巴萨第59分钟锁定胜局，罗伯托掷出界外球，苏亚雷斯切入禁区右侧小角度捅射入网，3-0
59'3-0！！！                   59'巴萨第59分钟锁定胜局，罗伯托掷出界外球，苏亚雷斯切入禁区右侧小角度捅射入网，3-0
59'苏亚雷斯！！！                   59'巴萨第59分钟锁定胜局，罗伯托掷出界外球，苏亚雷斯切入禁区右侧小角度捅射入网，3-0
60'巴萨前场界外球快速发出，苏亚雷斯禁区内接球，面对门将和后卫的夹击，一个巧射将球打进！！                   59'巴萨第59分钟锁定胜局，罗伯托掷出界外球，苏亚雷斯切入禁区右侧小角度捅射入网，3-0
61'这球从门将和后卫之间的缝隙中打进                   59'巴萨第59分钟锁定胜局，罗伯托掷出界外球，苏亚雷斯切入禁区右侧小角度捅射入网，3-0
61'巴萨锁定了胜局                   59'巴萨第59分钟锁定胜局，罗伯托掷出界外球，苏亚雷斯切入禁区右侧小角度捅射入网，3-0
