3'阿森纳球员埃尔内尼大禁区中央左脚射门,命中门柱右侧立柱.给他传球的是吉鲁.                   3'开场仅3分钟，吉鲁头球摆渡，埃尔内尼禁区右肋的左脚抽射憾中近角立柱弹出
47'奈尔斯将球处理出底线,鲍里索夫获得角球.                   47'2分钟后，奈尔斯左路传中，吉鲁小禁区边缘头球顶高
47'鲍里索夫球员斯塔西维奇大禁区外右脚射门,被防守球员封堵.                   47'2分钟后，奈尔斯左路传中，吉鲁小禁区边缘头球顶高
48'鲍里索夫球员里奥斯拼抢犯规,对手获得控球权.                   47'2分钟后，奈尔斯左路传中，吉鲁小禁区边缘头球顶高
48'威尔谢尔为阿森纳在对方半场,赢得一个任意球.                   47'2分钟后，奈尔斯左路传中，吉鲁小禁区边缘头球顶高
37'进球啦！！！阿森纳球员沃尔科特大禁区中央右脚射门,球从左下角飞进球门,球进了! 阿森纳 2-0 鲍里索夫.                   37'阿森纳第37分钟扩大比分，维尔贝克突入禁区被对方后卫勉强铲球解围，沃尔科特小禁区边缘推射入网，2-0
39'阿森纳球员沃尔科特大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是埃尔内尼.                   37'阿森纳第37分钟扩大比分，维尔贝克突入禁区被对方后卫勉强铲球解围，沃尔科特小禁区边缘推射入网，2-0
40'阿森纳球员沃尔科特大禁区中央右脚射门,被防守球员封堵.给他传球的是威尔谢尔.                   37'阿森纳第37分钟扩大比分，维尔贝克突入禁区被对方后卫勉强铲球解围，沃尔科特小禁区边缘推射入网，2-0
43'进球啦！！！阿森纳球员威尔谢尔大禁区中央左脚射门,球从右上角飞进球门,球进了!助攻的是沃尔科特. 阿森纳 3-0 鲍里索夫.                   43'阿森纳第43分钟锁定胜局，沃尔科特传球，威尔希尔闪过防守后15码处劲射破门，3-0
45'鲍里索夫球员Stanislav Dragun一脚直塞球给罗季奥诺夫,但是边裁举旗显示后者已经越位.                   43'阿森纳第43分钟锁定胜局，沃尔科特传球，威尔希尔闪过防守后15码处劲射破门，3-0
45'+2'上半场结束,阿森纳 3-0 鲍里索夫,稍事休息,我们一会来看看下半场两队的表现.                   43'阿森纳第43分钟锁定胜局，沃尔科特传球，威尔希尔闪过防守后15码处劲射破门，3-0
64'进球啦！！！阿森纳球员吉鲁左脚射门,球从右下角飞进球门,球进了! 阿森纳 5-0 鲍里索夫.                   64'第64分钟，沃尔科特禁区右侧被米卢诺维奇绊倒，吉鲁罚中点球后被判重罚，他再次射相同角度命中，5-0
65'波利亚科夫为鲍里索夫赢得一个任意球.                   64'第64分钟，沃尔科特禁区右侧被米卢诺维奇绊倒，吉鲁罚中点球后被判重罚，他再次射相同角度命中，5-0
65'阿森纳球员吉鲁拼抢犯规,对手获得控球权.                   64'第64分钟，沃尔科特禁区右侧被米卢诺维奇绊倒，吉鲁罚中点球后被判重罚，他再次射相同角度命中，5-0
66'鲍里索夫球员Stanislav Dragun大禁区外尝试右脚射门,可惜皮球高出右上角球门.给他传球的是斯塔西维奇.                   64'第64分钟，沃尔科特禁区右侧被米卢诺维奇绊倒，吉鲁罚中点球后被判重罚，他再次射相同角度命中，5-0
67'鲍里索夫球员Mikhail Gordeychuk大禁区右侧右脚射门,被防守球员封堵.                   64'第64分钟，沃尔科特禁区右侧被米卢诺维奇绊倒，吉鲁罚中点球后被判重罚，他再次射相同角度命中，5-0
74'进球啦！！！阿森纳球员埃尔内尼大禁区左侧右脚射门,球从右下角飞进球门,球进了!助攻的是威尔谢尔. 阿森纳 6-0 鲍里索夫.                   74'第74分钟，威尔希尔传球，埃尔内尼禁区左侧12码处弧线球射入远角，6-0
76'鲍里索夫球员Stanislav Dragun拼抢犯规,对手获得控球权.                   74'第74分钟，威尔希尔传球，埃尔内尼禁区左侧12码处弧线球射入远角，6-0
76'威尔谢尔为阿森纳在对方半场,赢得一个任意球.                   74'第74分钟，威尔希尔传球，埃尔内尼禁区左侧12码处弧线球射入远角，6-0
76'鲍里索夫换人,亚布隆斯基上,伊万尼奇因伤下场.                   74'第74分钟，威尔希尔传球，埃尔内尼禁区左侧12码处弧线球射入远角，6-0
77'阿森纳换人,威尔考克换下埃尔内尼                   74'第74分钟，威尔希尔传球，埃尔内尼禁区左侧12码处弧线球射入远角，6-0
77'阿森纳换人,恩科提亚换下维尔贝克                   74'第74分钟，威尔希尔传球，埃尔内尼禁区左侧12码处弧线球射入远角，6-0
