3'右路梅西拿球转出来                   3'开场仅3分钟，拉基蒂奇长传，梅西小禁区右上角外斜射擦远角立柱偏出
3'阿拉维斯中场断球给到右路                   3'开场仅3分钟，拉基蒂奇长传，梅西小禁区右上角外斜射擦远角立柱偏出
3'没什么威胁                   3'开场仅3分钟，拉基蒂奇长传，梅西小禁区右上角外斜射擦远角立柱偏出
3'巴萨长传给到禁区                   3'开场仅3分钟，拉基蒂奇长传，梅西小禁区右上角外斜射擦远角立柱偏出
4'梅西小角度低射远角打偏了                   3'开场仅3分钟，拉基蒂奇长传，梅西小禁区右上角外斜射擦远角立柱偏出
4'巴萨开场后的第一脚打门                   3'开场仅3分钟，拉基蒂奇长传，梅西小禁区右上角外斜射擦远角立柱偏出
4'质量还是可以的                   3'开场仅3分钟，拉基蒂奇长传，梅西小禁区右上角外斜射擦远角立柱偏出
5'阿拉维斯左路反击过来                   3'开场仅3分钟，拉基蒂奇长传，梅西小禁区右上角外斜射擦远角立柱偏出
5'左路低平球给到禁区                   3'开场仅3分钟，拉基蒂奇长传，梅西小禁区右上角外斜射擦远角立柱偏出
5'特尔施特根侧扑将球压在身下                   3'开场仅3分钟，拉基蒂奇长传，梅西小禁区右上角外斜射擦远角立柱偏出
6'苏亚雷斯中场拿球给到左路                   3'开场仅3分钟，拉基蒂奇长传，梅西小禁区右上角外斜射擦远角立柱偏出
6'禁区外围斜传没有给过去                   3'开场仅3分钟，拉基蒂奇长传，梅西小禁区右上角外斜射擦远角立柱偏出
38'看看巴萨能不能通过这次定位球打破场上的僵局                   38'第38分钟，梅西右路横切赢得任意球机会，阿根廷人25码处直接射门憾中横梁，皮克小禁区前头球攻门高出
38'梅西站在球前                   38'第38分钟，梅西右路横切赢得任意球机会，阿根廷人25码处直接射门憾中横梁，皮克小禁区前头球攻门高出
38'瞄了瞄                   38'第38分钟，梅西右路横切赢得任意球机会，阿根廷人25码处直接射门憾中横梁，皮克小禁区前头球攻门高出
38'直接起左脚远射，球击中了横梁下沿！！！                   38'第38分钟，梅西右路横切赢得任意球机会，阿根廷人25码处直接射门憾中横梁，皮克小禁区前头球攻门高出
38'球并没有往里弹，可惜了！！                   38'第38分钟，梅西右路横切赢得任意球机会，阿根廷人25码处直接射门憾中横梁，皮克小禁区前头球攻门高出
39'巴萨已经完成了8脚打门                   38'第38分钟，梅西右路横切赢得任意球机会，阿根廷人25码处直接射门憾中横梁，皮克小禁区前头球攻门高出
39'但射在门框里的只有2脚                   38'第38分钟，梅西右路横切赢得任意球机会，阿根廷人25码处直接射门憾中横梁，皮克小禁区前头球攻门高出
39'巴萨反击又来了                   38'第38分钟，梅西右路横切赢得任意球机会，阿根廷人25码处直接射门憾中横梁，皮克小禁区前头球攻门高出
39'登贝莱禁区内几乎是单刀的情况下推射                   38'第38分钟，梅西右路横切赢得任意球机会，阿根廷人25码处直接射门憾中横梁，皮克小禁区前头球攻门高出
39'帕切科将球封出了啊                   38'第38分钟，梅西右路横切赢得任意球机会，阿根廷人25码处直接射门憾中横梁，皮克小禁区前头球攻门高出
40'阿拉维斯右路进攻上来                   38'第38分钟，梅西右路横切赢得任意球机会，阿根廷人25码处直接射门憾中横梁，皮克小禁区前头球攻门高出
41'直接传出了底线                   38'第38分钟，梅西右路横切赢得任意球机会，阿根廷人25码处直接射门憾中横梁，皮克小禁区前头球攻门高出
41'苏亚雷斯禁区内拿球又是被破坏                   38'第38分钟，梅西右路横切赢得任意球机会，阿根廷人25码处直接射门憾中横梁，皮克小禁区前头球攻门高出
41'巴萨继续角球                   38'第38分钟，梅西右路横切赢得任意球机会，阿根廷人25码处直接射门憾中横梁，皮克小禁区前头球攻门高出
64'1-0！！！！                   64'巴萨第64分钟打破僵局，梅西突破赢得禁区边缘外任意球，梅西直接低射，人墙跃起让出空间，皮球贴地入网
64'梅西！！！                   64'巴萨第64分钟打破僵局，梅西突破赢得禁区边缘外任意球，梅西直接低射，人墙跃起让出空间，皮球贴地入网
65'梅西任意球打了一个低平球，贴地斩，人墙起跳后直接从下面过去了，帕切科做出了扑救但是没有碰到！！                   64'巴萨第64分钟打破僵局，梅西突破赢得禁区边缘外任意球，梅西直接低射，人墙跃起让出空间，皮球贴地入网
65'巴萨总算是打破了场上的僵局                   64'巴萨第64分钟打破僵局，梅西突破赢得禁区边缘外任意球，梅西直接低射，人墙跃起让出空间，皮球贴地入网
66'巴萨右路进攻又来了                   64'巴萨第64分钟打破僵局，梅西突破赢得禁区边缘外任意球，梅西直接低射，人墙跃起让出空间，皮球贴地入网
66'帕切科做出关键扑救啊                   64'巴萨第64分钟打破僵局，梅西突破赢得禁区边缘外任意球，梅西直接低射，人墙跃起让出空间，皮球贴地入网
67'这球帕切科没有碰到                   64'巴萨第64分钟打破僵局，梅西突破赢得禁区边缘外任意球，梅西直接低射，人墙跃起让出空间，皮球贴地入网
67'梅西起左脚的打门击中了立柱外侧弹出                   64'巴萨第64分钟打破僵局，梅西突破赢得禁区边缘外任意球，梅西直接低射，人墙跃起让出空间，皮球贴地入网
67'梅西今天是1个进球两个门框                   64'巴萨第64分钟打破僵局，梅西突破赢得禁区边缘外任意球，梅西直接低射，人墙跃起让出空间，皮球贴地入网
47'巴萨右路起球送禁区                   47'2分钟后，苏亚雷斯传球，梅西12码处射门又憾中左侧立柱外侧弹出
47'苏亚雷斯禁区内前点没有拿到                   47'2分钟后，苏亚雷斯传球，梅西12码处射门又憾中左侧立柱外侧弹出
