8'孔卡中场拿球给到后场的金周荣                   8'第8分钟埃弗拉左路得球高速冲击到禁区，随后挑传后点球稍稍高出横梁
8'于海拿球给左侧的石柯                   8'第8分钟埃弗拉左路得球高速冲击到禁区，随后挑传后点球稍稍高出横梁
9'于海拿球外脚背直塞，埃弗拉拿去禁区左侧打门高出横梁                   8'第8分钟埃弗拉左路得球高速冲击到禁区，随后挑传后点球稍稍高出横梁
10'莫洛维奇长传球被孙祥破坏出边线                   8'第8分钟埃弗拉左路得球高速冲击到禁区，随后挑传后点球稍稍高出横梁
10'边线球掷出给到费尔南多                   8'第8分钟埃弗拉左路得球高速冲击到禁区，随后挑传后点球稍稍高出横梁
10'回传后场，邓小飞大脚开上来                   8'第8分钟埃弗拉左路得球高速冲击到禁区，随后挑传后点球稍稍高出横梁
11'徐洋左路斜传禁区，皮球被解围出去                   8'第8分钟埃弗拉左路得球高速冲击到禁区，随后挑传后点球稍稍高出横梁
11'外围右侧，费尔南多拿球被石柯推倒                   8'第8分钟埃弗拉左路得球高速冲击到禁区，随后挑传后点球稍稍高出横梁
17'费尔南多边路传中，王燊超挡出底线                   17'第17分钟王栋左路角球开到后点，丁捷头球反弹飞往大门后点，被守着后门柱的武磊解围
17'力帆获得角球机会                   17'第17分钟王栋左路角球开到后点，丁捷头球反弹飞往大门后点，被守着后门柱的武磊解围
18'左侧角球开出来，吉利奥蒂顶到第一点                   17'第17分钟王栋左路角球开到后点，丁捷头球反弹飞往大门后点，被守着后门柱的武磊解围
18'皮球被王燊超顶出禁区                   17'第17分钟王栋左路角球开到后点，丁捷头球反弹飞往大门后点，被守着后门柱的武磊解围
19'力帆球员前场拼抢犯规                   17'第17分钟王栋左路角球开到后点，丁捷头球反弹飞往大门后点，被守着后门柱的武磊解围
19'金周荣后场断球给到石柯                   17'第17分钟王栋左路角球开到后点，丁捷头球反弹飞往大门后点，被守着后门柱的武磊解围
20'石柯给到身前的孔卡                   17'第17分钟王栋左路角球开到后点，丁捷头球反弹飞往大门后点，被守着后门柱的武磊解围
20'孔卡长传转移左路，费尔南多后场断球                   17'第17分钟王栋左路角球开到后点，丁捷头球反弹飞往大门后点，被守着后门柱的武磊解围
20'孔卡上抢犯规吃到黄牌                   17'第17分钟王栋左路角球开到后点，丁捷头球反弹飞往大门后点，被守着后门柱的武磊解围
29'力帆中场断球反击，大范围给到帕蒂尼奥                   29'第29分钟王栋在后场带球时被断，上港就地快速反击，埃尔克森斜线传给左路跟进的埃弗拉，后者小角度射门打在边网上
29'力量稍稍大了啊，球出了界外                   29'第29分钟王栋在后场带球时被断，上港就地快速反击，埃尔克森斜线传给左路跟进的埃弗拉，后者小角度射门打在边网上
30'武磊断球直塞，埃弗拉左脚打门偏出                   29'第29分钟王栋在后场带球时被断，上港就地快速反击，埃尔克森斜线传给左路跟进的埃弗拉，后者小角度射门打在边网上
31'上港进球啦                   29'第29分钟王栋在后场带球时被断，上港就地快速反击，埃尔克森斜线传给左路跟进的埃弗拉，后者小角度射门打在边网上
31'于海左侧传中球，禁区内武磊插上头球攻门将球顶进                   29'第29分钟王栋在后场带球时被断，上港就地快速反击，埃尔克森斜线传给左路跟进的埃弗拉，后者小角度射门打在边网上
31'上港进球啦                   31'丢球后的重庆也险些在第一时间进球，第31分钟费尔南多左路摆脱蔡慧康后下底传中，吉利奥蒂中路强力头球稍稍顶高
31'于海左侧传中球，禁区内武磊插上头球攻门将球顶进                   31'丢球后的重庆也险些在第一时间进球，第31分钟费尔南多左路摆脱蔡慧康后下底传中，吉利奥蒂中路强力头球稍稍顶高
33'吉利奥蒂中圈拼抢犯规                   31'丢球后的重庆也险些在第一时间进球，第31分钟费尔南多左路摆脱蔡慧康后下底传中，吉利奥蒂中路强力头球稍稍顶高
33'定位球开出来给到金周荣                   31'丢球后的重庆也险些在第一时间进球，第31分钟费尔南多左路摆脱蔡慧康后下底传中，吉利奥蒂中路强力头球稍稍顶高
33'斜传左路，皮球被力帆拦截                   31'丢球后的重庆也险些在第一时间进球，第31分钟费尔南多左路摆脱蔡慧康后下底传中，吉利奥蒂中路强力头球稍稍顶高
