5'不过约翰逊长传球出现了失误，直接传出了底线                   5'第5分钟，唐宁中场抢断后传球，斯图里奇突入禁区右侧18码处劲射偏出
5'利维摩尔在中场被抢断                   5'第5分钟，唐宁中场抢断后传球，斯图里奇突入禁区右侧18码处劲射偏出
6'斯图里奇有些贪功了                   5'第5分钟，唐宁中场抢断后传球，斯图里奇突入禁区右侧18码处劲射偏出
6'自己到了禁区，右脚打门！并不是他的惯用脚啊，直接把球送上了看台                   5'第5分钟，唐宁中场抢断后传球，斯图里奇突入禁区右侧18码处劲射偏出
7'利物浦好机会，斯图里奇趟过了出击的洛里                   5'第5分钟，唐宁中场抢断后传球，斯图里奇突入禁区右侧18码处劲射偏出
7'可惜没了角度，再传中的时候被后卫头球解围了                   5'第5分钟，唐宁中场抢断后传球，斯图里奇突入禁区右侧18码处劲射偏出
7'热刺是不是最近比赛打得太多了                   5'第5分钟，唐宁中场抢断后传球，斯图里奇突入禁区右侧18码处劲射偏出
7'在客场打得有些放不开                   5'第5分钟，唐宁中场抢断后传球，斯图里奇突入禁区右侧18码处劲射偏出
8'加上这场，热刺7天之内打了3场比赛                   5'第5分钟，唐宁中场抢断后传球，斯图里奇突入禁区右侧18码处劲射偏出
8'对于球员的体能和状态来说确实是个问题                   5'第5分钟，唐宁中场抢断后传球，斯图里奇突入禁区右侧18码处劲射偏出
11'恩里克边路带球，跟苏亚雷斯距离太近了                   11'第11分钟，阿格尔禁区前对登贝莱犯规，贝尔25码处任意球直接射门被琼斯扑出
11'传球直接出了边线                   11'第11分钟，阿格尔禁区前对登贝莱犯规，贝尔25码处任意球直接射门被琼斯扑出
11'贝尔往边路走，卢卡斯伸腿把球破坏出界外                   11'第11分钟，阿格尔禁区前对登贝莱犯规，贝尔25码处任意球直接射门被琼斯扑出
11'登贝莱突破中倒地                   11'第11分钟，阿格尔禁区前对登贝莱犯规，贝尔25码处任意球直接射门被琼斯扑出
11'裁判犹豫了下，吹了定位球                   11'第11分钟，阿格尔禁区前对登贝莱犯规，贝尔25码处任意球直接射门被琼斯扑出
11'热刺获得了一个远距离的前场定位球                   11'第11分钟，阿格尔禁区前对登贝莱犯规，贝尔25码处任意球直接射门被琼斯扑出
