1'主裁判吹响了上半场比赛开始的哨音~                   1'巴萨第1分钟就控制比赛，莱万特集中收缩防守摆出大巴
1'上半场比赛由莱万特队开球                   1'巴萨第1分钟就控制比赛，莱万特集中收缩防守摆出大巴
2'巴萨在中后场控球                   1'巴萨第1分钟就控制比赛，莱万特集中收缩防守摆出大巴
2'今天在右路跟阿尔维斯配合的是穆尼尔...                   1'巴萨第1分钟就控制比赛，莱万特集中收缩防守摆出大巴
2'梅西看起来是在中路偏右一些的位置                   1'巴萨第1分钟就控制比赛，莱万特集中收缩防守摆出大巴
3'一开场莱万特的逼抢还是非常凶猛的                   1'巴萨第1分钟就控制比赛，莱万特集中收缩防守摆出大巴
3'梅西~长传送入禁区                   1'巴萨第1分钟就控制比赛，莱万特集中收缩防守摆出大巴
4'马丁内斯出击将球摘下                   1'巴萨第1分钟就控制比赛，莱万特集中收缩防守摆出大巴
4'一无所球_40702 有直播吗？---电视直播就别想了...                   1'巴萨第1分钟就控制比赛，莱万特集中收缩防守摆出大巴
4'桑德罗制造了一个角球                   1'巴萨第1分钟就控制比赛，莱万特集中收缩防守摆出大巴
18'巴萨获得了一个位置不错的定位球                   18'第18分钟，内马尔赢得禁区前任意球，但梅西25码处直接射门稍稍打在网顶
18'这个位置梅西跟内马尔都可以来打                   18'第18分钟，内马尔赢得禁区前任意球，但梅西25码处直接射门稍稍打在网顶
18'梅西助跑~~~打门稍稍高出横梁                   18'第18分钟，内马尔赢得禁区前任意球，但梅西25码处直接射门稍稍打在网顶
19'用户1952591375 现在电视直播都没有了,新浪直播英超还收费,可怜的cctv5现在连西甲都不转了---免费的大餐会越来越少咯                   18'第18分钟，内马尔赢得禁区前任意球，但梅西25码处直接射门稍稍打在网顶
20'穆尼尔这个铲球有些狠~放倒了贝尔萨                   18'第18分钟，内马尔赢得禁区前任意球，但梅西25码处直接射门稍稍打在网顶
21'莱万特也逐渐有了一些攻势                   18'第18分钟，内马尔赢得禁区前任意球，但梅西25码处直接射门稍稍打在网顶
21'左路的传中~施特根出击将球拿到                   18'第18分钟，内马尔赢得禁区前任意球，但梅西25码处直接射门稍稍打在网顶
27'莱万特边路反击~吉拉斯被吹了越位                   27'莱万特第27分钟获得机会，罗杰斜传，吉拉斯反击中禁区左侧强突马斯切拉诺，但最后的射门却离谱偏出近角
27'不过慢动作来看，这个判罚也是误判啊                   27'莱万特第27分钟获得机会，罗杰斜传，吉拉斯反击中禁区左侧强突马斯切拉诺，但最后的射门却离谱偏出近角
28'莱万特反击~~~                   27'莱万特第27分钟获得机会，罗杰斜传，吉拉斯反击中禁区左侧强突马斯切拉诺，但最后的射门却离谱偏出近角
28'吉拉斯扣过了马斯切拉诺~~~                   27'莱万特第27分钟获得机会，罗杰斜传，吉拉斯反击中禁区左侧强突马斯切拉诺，但最后的射门却离谱偏出近角
28'面对施特根~左脚劲射！！！                   27'莱万特第27分钟获得机会，罗杰斜传，吉拉斯反击中禁区左侧强突马斯切拉诺，但最后的射门却离谱偏出近角
28'偏了好多                   27'莱万特第27分钟获得机会，罗杰斜传，吉拉斯反击中禁区左侧强突马斯切拉诺，但最后的射门却离谱偏出近角
29'施特根长传，穆尼尔停的不错~~                   27'莱万特第27分钟获得机会，罗杰斜传，吉拉斯反击中禁区左侧强突马斯切拉诺，但最后的射门却离谱偏出近角
29'居然不传~~自己带向禁区没能获得打门机会                   27'莱万特第27分钟获得机会，罗杰斜传，吉拉斯反击中禁区左侧强突马斯切拉诺，但最后的射门却离谱偏出近角
29'中间的桑德罗跟内马尔的位置明显更好                   27'莱万特第27分钟获得机会，罗杰斜传，吉拉斯反击中禁区左侧强突马斯切拉诺，但最后的射门却离谱偏出近角
30'巴萨获得了一个禁区右侧的定位球                   27'莱万特第27分钟获得机会，罗杰斜传，吉拉斯反击中禁区左侧强突马斯切拉诺，但最后的射门却离谱偏出近角
30'拉基蒂奇传中~~巴尔特拉的头球顶高了                   27'莱万特第27分钟获得机会，罗杰斜传，吉拉斯反击中禁区左侧强突马斯切拉诺，但最后的射门却离谱偏出近角
36'梅西~~禁区外突然起脚                   36'第36分钟，梅西踢墙配合后禁区边缘外抽射被鲁文勉强扑出，桑德罗禁区左侧10码处补射偏出
36'门将马丁内斯一个侧扑将球挡了一下                   36'第36分钟，梅西踢墙配合后禁区边缘外抽射被鲁文勉强扑出，桑德罗禁区左侧10码处补射偏出
37'桑德罗再补~~~打偏了                   36'第36分钟，梅西踢墙配合后禁区边缘外抽射被鲁文勉强扑出，桑德罗禁区左侧10码处补射偏出
37'没能进球的梅西满脸的不爽                   36'第36分钟，梅西踢墙配合后禁区边缘外抽射被鲁文勉强扑出，桑德罗禁区左侧10码处补射偏出
37'这个赛季他的进球数量确实是少了一些                   36'第36分钟，梅西踢墙配合后禁区边缘外抽射被鲁文勉强扑出，桑德罗禁区左侧10码处补射偏出
38'手机用户2715788185 为什么现在什么人都管布茨克斯喊教授啊，这个外号有这么响亮吗---教授的称呼是反讽，懂？                   36'第36分钟，梅西踢墙配合后禁区边缘外抽射被鲁文勉强扑出，桑德罗禁区左侧10码处补射偏出
39'内马尔~~弧顶处的射门被后卫伸腿挡了一下                   36'第36分钟，梅西踢墙配合后禁区边缘外抽射被鲁文勉强扑出，桑德罗禁区左侧10码处补射偏出
39'慢动作来看正好是打在了胡安弗兰的脸上                   36'第36分钟，梅西踢墙配合后禁区边缘外抽射被鲁文勉强扑出，桑德罗禁区左侧10码处补射偏出
50'有手球吗？                   50'巴萨第50分钟打破僵局，梅西禁区右侧传中，无人贴防的巴尔特拉胸部停球后小禁区边缘顺势推射左下角入网
50'刚才穆尼尔的射门打在了对方后卫手上                   50'巴萨第50分钟打破僵局，梅西禁区右侧传中，无人贴防的巴尔特拉胸部停球后小禁区边缘顺势推射左下角入网
50'主裁判没有理会                   50'巴萨第50分钟打破僵局，梅西禁区右侧传中，无人贴防的巴尔特拉胸部停球后小禁区边缘顺势推射左下角入网
50'巴尔特拉                   50'巴萨第50分钟打破僵局，梅西禁区右侧传中，无人贴防的巴尔特拉胸部停球后小禁区边缘顺势推射左下角入网
51'Goooooooooooooooooooooooal~~~                   50'巴萨第50分钟打破僵局，梅西禁区右侧传中，无人贴防的巴尔特拉胸部停球后小禁区边缘顺势推射左下角入网
51'来自梅西的助攻！                   50'巴萨第50分钟打破僵局，梅西禁区右侧传中，无人贴防的巴尔特拉胸部停球后小禁区边缘顺势推射左下角入网
51'禁区右上角卡到了后点插上的巴尔特拉，巴尔特拉接到传中胸部一停倒地打门~~~距离太近了门将无能为力                   50'巴萨第50分钟打破僵局，梅西禁区右侧传中，无人贴防的巴尔特拉胸部停球后小禁区边缘顺势推射左下角入网
52'梅西创造了自己的西甲400球                   50'巴萨第50分钟打破僵局，梅西禁区右侧传中，无人贴防的巴尔特拉胸部停球后小禁区边缘顺势推射左下角入网
52'巴尔特拉进球之后跑到替补席拿起了一件拉菲尼亚的球衣                   50'巴萨第50分钟打破僵局，梅西禁区右侧传中，无人贴防的巴尔特拉胸部停球后小禁区边缘顺势推射左下角入网
52'梅西~~又来了                   50'巴萨第50分钟打破僵局，梅西禁区右侧传中，无人贴防的巴尔特拉胸部停球后小禁区边缘顺势推射左下角入网
53'长传到禁区~内马尔插上左脚一勾，球擦柱而出                   50'巴萨第50分钟打破僵局，梅西禁区右侧传中，无人贴防的巴尔特拉胸部停球后小禁区边缘顺势推射左下角入网
56'内马尔都活动到了右边路                   56'巴萨第56分钟扩大比分，阿尔维斯强突禁区右侧下底传中，内马尔小禁区左侧射门被封堵后再射，皮球偏转滚过门线，2-0
56'跟穆尼尔形成了换位                   56'巴萨第56分钟扩大比分，阿尔维斯强突禁区右侧下底传中，内马尔小禁区左侧射门被封堵后再射，皮球偏转滚过门线，2-0
56'内马尔~~~                   56'巴萨第56分钟扩大比分，阿尔维斯强突禁区右侧下底传中，内马尔小禁区左侧射门被封堵后再射，皮球偏转滚过门线，2-0
56'Goooooooooooooooal~~~                   56'巴萨第56分钟扩大比分，阿尔维斯强突禁区右侧下底传中，内马尔小禁区左侧射门被封堵后再射，皮球偏转滚过门线，2-0
57'阿尔维斯单车强突下底传中~门将伸手托了一下                   56'巴萨第56分钟扩大比分，阿尔维斯强突禁区右侧下底传中，内马尔小禁区左侧射门被封堵后再射，皮球偏转滚过门线，2-0
57'球正好弹到内马尔面前，推射被后卫挡出~再打！！这球连穿两名后卫的裆~~                   56'巴萨第56分钟扩大比分，阿尔维斯强突禁区右侧下底传中，内马尔小禁区左侧射门被封堵后再射，皮球偏转滚过门线，2-0
57'内马尔进球之后也跑到替补席举起了拉菲尼亚的球衣                   56'巴萨第56分钟扩大比分，阿尔维斯强突禁区右侧下底传中，内马尔小禁区左侧射门被封堵后再射，皮球偏转滚过门线，2-0
58'莱万特来了一脚远射~~施特根准备很充分将球抱住                   56'巴萨第56分钟扩大比分，阿尔维斯强突禁区右侧下底传中，内马尔小禁区左侧射门被封堵后再射，皮球偏转滚过门线，2-0
58'施特根最大的问题就是没有诺伊尔的命却得了诺伊尔的病                   56'巴萨第56分钟扩大比分，阿尔维斯强突禁区右侧下底传中，内马尔小禁区左侧射门被封堵后再射，皮球偏转滚过门线，2-0
59'用户1952591375 终于进了,累死宝宝了---哈哈~梅西还没进呢                   56'巴萨第56分钟扩大比分，阿尔维斯强突禁区右侧下底传中，内马尔小禁区左侧射门被封堵后再射，皮球偏转滚过门线，2-0
61'裁判给了点球...                   61'巴萨第61分钟锁定胜局，内马尔禁区左侧突破被特鲁希略撞倒，梅西主罚点球命中，3-0
61'慢动作来看防守他的后卫席尔瓦并没有碰到皮球的情况下撞翻了内马尔                   61'巴萨第61分钟锁定胜局，内马尔禁区左侧突破被特鲁希略撞倒，梅西主罚点球命中，3-0
61'梅西开胡的机会来了                   61'巴萨第61分钟锁定胜局，内马尔禁区左侧突破被特鲁希略撞倒，梅西主罚点球命中，3-0
62'Gooooooooooooooal~~~~~~~                   61'巴萨第61分钟锁定胜局，内马尔禁区左侧突破被特鲁希略撞倒，梅西主罚点球命中，3-0
62'梅西的射门踢了一个上角~~门将也判断错了方向                   61'巴萨第61分钟锁定胜局，内马尔禁区左侧突破被特鲁希略撞倒，梅西主罚点球命中，3-0
63'巴萨换下了布斯克茨，上来的是28号贡巴乌                   61'巴萨第61分钟锁定胜局，内马尔禁区左侧突破被特鲁希略撞倒，梅西主罚点球命中，3-0
64'莱万特也换下了吉拉斯，上来的是维克多                   61'巴萨第61分钟锁定胜局，内马尔禁区左侧突破被特鲁希略撞倒，梅西主罚点球命中，3-0
64'用户5509228344 梅西是体系球员吗？哪些球星是体系球员？---应该是梅西创造了体系~~                   61'巴萨第61分钟锁定胜局，内马尔禁区左侧突破被特鲁希略撞倒，梅西主罚点球命中，3-0
67'维克多~~~                   67'莱万特第67分钟扳回一城，客队战术角球传中，特尔施特根冒失出击落空，刚刚替补出场的卡萨德苏斯小禁区前劲射破门，1-3
67'Gooooooooooooal~~~                   67'莱万特第67分钟扳回一城，客队战术角球传中，特尔施特根冒失出击落空，刚刚替补出场的卡萨德苏斯小禁区前劲射破门，1-3
67'施特根又要郁闷了，出击没能碰到皮球                   67'莱万特第67分钟扳回一城，客队战术角球传中，特尔施特根冒失出击落空，刚刚替补出场的卡萨德苏斯小禁区前劲射破门，1-3
68'球弹到维克多面前，一停一射轻松破门                   67'莱万特第67分钟扳回一城，客队战术角球传中，特尔施特根冒失出击落空，刚刚替补出场的卡萨德苏斯小禁区前劲射破门，1-3
68'莱万特换上了20号迪维森，换下了罗格                   67'莱万特第67分钟扳回一城，客队战术角球传中，特尔施特根冒失出击落空，刚刚替补出场的卡萨德苏斯小禁区前劲射破门，1-3
69'莱万特又制造了一个角球                   67'莱万特第67分钟扳回一城，客队战术角球传中，特尔施特根冒失出击落空，刚刚替补出场的卡萨德苏斯小禁区前劲射破门，1-3
69'角球开出，施特根又出击了                   67'莱万特第67分钟扳回一城，客队战术角球传中，特尔施特根冒失出击落空，刚刚替补出场的卡萨德苏斯小禁区前劲射破门，1-3
70'前点的贡巴乌顶了一下~好歹是把球拿到了                   67'莱万特第67分钟扳回一城，客队战术角球传中，特尔施特根冒失出击落空，刚刚替补出场的卡萨德苏斯小禁区前劲射破门，1-3
79'看来苏亚雷斯今天是不会上场了                   79'第79分钟，拉基蒂奇抢断胡安弗兰后单刀突入禁区右肋，但他未能及时射门，最后在胡安弗兰贴防下摔倒，裁判拒绝判罚点球
79'拉基蒂奇~~抢到了对方禁区内                   79'第79分钟，拉基蒂奇抢断胡安弗兰后单刀突入禁区右肋，但他未能及时射门，最后在胡安弗兰贴防下摔倒，裁判拒绝判罚点球
81'射门的一瞬间倒地了~~                   79'第79分钟，拉基蒂奇抢断胡安弗兰后单刀突入禁区右肋，但他未能及时射门，最后在胡安弗兰贴防下摔倒，裁判拒绝判罚点球
81'裁判没有吹点球                   79'第79分钟，拉基蒂奇抢断胡安弗兰后单刀突入禁区右肋，但他未能及时射门，最后在胡安弗兰贴防下摔倒，裁判拒绝判罚点球
81'但是慢动作来看，拉基蒂奇是被身后的胡安弗兰给绊倒的                   79'第79分钟，拉基蒂奇抢断胡安弗兰后单刀突入禁区右肋，但他未能及时射门，最后在胡安弗兰贴防下摔倒，裁判拒绝判罚点球
82'主裁判要连续给巴萨三个点球的话，估计也有很大的压力                   79'第79分钟，拉基蒂奇抢断胡安弗兰后单刀突入禁区右肋，但他未能及时射门，最后在胡安弗兰贴防下摔倒，裁判拒绝判罚点球
82'慢动作还在回放刚才的情况，胡安弗兰不光脚下绊人手上也有动作                   79'第79分钟，拉基蒂奇抢断胡安弗兰后单刀突入禁区右肋，但他未能及时射门，最后在胡安弗兰贴防下摔倒，裁判拒绝判罚点球
