4'顾超在开球门球的时候，险些被汉克断球~                   4'开场第4分钟，顾超在开球门球的时候差点被汉克断下，险些酿成大祸
4'险些酿成大错啊！                   4'开场第4分钟，顾超在开球门球的时候差点被汉克断下，险些酿成大祸
5'王嵩左路下底传中，被对方顶了出来！还是杭州的进攻~                   4'开场第4分钟，顾超在开球门球的时候差点被汉克断下，险些酿成大祸
5'马塞纳左边路拿球，张成林犯规了！                   4'开场第4分钟，顾超在开球门球的时候差点被汉克断下，险些酿成大祸
6'杭州绿城禁区外左侧获得一个任意球！发到后点，曹轩头球攻门！！张烈奋力出击倒地                   4'开场第4分钟，顾超在开球门球的时候差点被汉克断下，险些酿成大祸
6'主裁判哨响，冲撞门将了！张烈痛苦的倒在地上，队医进场进行治疗                   4'开场第4分钟，顾超在开球门球的时候差点被汉克断下，险些酿成大祸
7'张烈并无大碍，继续投入到比赛当中                   4'开场第4分钟，顾超在开球门球的时候差点被汉克断下，险些酿成大祸
11'再次在中路渗透！米西拿球，禁区内起脚打门！打在了手上！裁判没有任何表示！                   11'第11分钟，汉克中前场拿球分到左路，再次在中路渗透，米西拿球禁区内起脚打门，打在了对方球员手上，但裁判没有任何表示
11'拉蒙前场拿球被孙继海断了！                   11'第11分钟，汉克中前场拿球分到左路，再次在中路渗透，米西拿球禁区内起脚打门，打在了对方球员手上，但裁判没有任何表示
11'米西中路做一下策应！分到空旷区域！                   11'第11分钟，汉克中前场拿球分到左路，再次在中路渗透，米西拿球禁区内起脚打门，打在了对方球员手上，但裁判没有任何表示
12'大范围的转移到左边，找米西莫维奇！意图被看穿了，浙江后场控球~                   11'第11分钟，汉克中前场拿球分到左路，再次在中路渗透，米西拿球禁区内起脚打门，打在了对方球员手上，但裁判没有任何表示
13'拉蒙禁区外突施冷箭，打在了后卫身上！                   11'第11分钟，汉克中前场拿球分到左路，再次在中路渗透，米西拿球禁区内起脚打门，打在了对方球员手上，但裁判没有任何表示
13'贵州反击，前场大范围转移直接传出了边线                   11'第11分钟，汉克中前场拿球分到左路，再次在中路渗透，米西拿球禁区内起脚打门，打在了对方球员手上，但裁判没有任何表示
14'贵州前场突然直塞，非常隐蔽！范云龙禁区内转身打门！噢~偏了一点点！                   11'第11分钟，汉克中前场拿球分到左路，再次在中路渗透，米西拿球禁区内起脚打门，打在了对方球员手上，但裁判没有任何表示
14'这是上半场贵州队最好的一次射门机会                   11'第11分钟，汉克中前场拿球分到左路，再次在中路渗透，米西拿球禁区内起脚打门，打在了对方球员手上，但裁判没有任何表示
17'贵州发角球，米西发到中路！头球攻门尤里，被对方后卫门线上救险顶出！！！                   17'第17分钟，米西主罚角球开到中路，尤里抢点头球攻门，被对方后卫门线上救险顶出
17'这个后卫真是立了一大功！                   17'第17分钟，米西主罚角球开到中路，尤里抢点头球攻门，被对方后卫门线上救险顶出
18'范云龙前场断球，禁区外一脚打门！！高了~                   17'第17分钟，米西主罚角球开到中路，尤里抢点头球攻门，被对方后卫门线上救险顶出
19'浙江反击，头球一点，给拉蒙，带了两下，直接起脚了，打偏                   17'第17分钟，米西主罚角球开到中路，尤里抢点头球攻门，被对方后卫门线上救险顶出
20'浙江右路起球，门前拉蒙头球攻门，被张烈奋力化解！！不过这球也越位了                   17'第17分钟，米西主罚角球开到中路，尤里抢点头球攻门，被对方后卫门线上救险顶出
28'贵州前场禁区左侧挑传找汉克，落点没有掌握太好                   28'杭州绿城在第28分钟打破僵局――王林在右路瞬间摆脱饶伟辉的防守，随后下底传中，萨利和孙继海防守出现失位，冯刚包抄到位推射远角，守近角的张烈无能无力目送皮球飞入死角，0-1
30'杭州进球了。冯刚                   28'杭州绿城在第28分钟打破僵局――王林在右路瞬间摆脱饶伟辉的防守，随后下底传中，萨利和孙继海防守出现失位，冯刚包抄到位推射远角，守近角的张烈无能无力目送皮球飞入死角，0-1
31'汪嵩下底传中，冯刚接横传跟进小禁区内推射破门。                   28'杭州绿城在第28分钟打破僵局――王林在右路瞬间摆脱饶伟辉的防守，随后下底传中，萨利和孙继海防守出现失位，冯刚包抄到位推射远角，守近角的张烈无能无力目送皮球飞入死角，0-1
31'冯刚是93年出生的小将， 本赛季已经打进两个联赛进球，绿城客场取得领先                   28'杭州绿城在第28分钟打破僵局――王林在右路瞬间摆脱饶伟辉的防守，随后下底传中，萨利和孙继海防守出现失位，冯刚包抄到位推射远角，守近角的张烈无能无力目送皮球飞入死角，0-1
31'萨利和拉蒙在场上有一些小的冲突                   28'杭州绿城在第28分钟打破僵局――王林在右路瞬间摆脱饶伟辉的防守，随后下底传中，萨利和孙继海防守出现失位，冯刚包抄到位推射远角，守近角的张烈无能无力目送皮球飞入死角，0-1
34'杭州大脚长传找马塞纳，但是被贵州把球破坏了                   34'第34分钟，米西莫维奇主罚大禁区左角的任意球，皮球绕过人墙划出一道美妙弧线直奔球门远角而去，顾超横身做出神勇扑救将球打出
35'贵州的反击也没有打起来，球出了边线                   34'第34分钟，米西莫维奇主罚大禁区左角的任意球，皮球绕过人墙划出一道美妙弧线直奔球门远角而去，顾超横身做出神勇扑救将球打出
35'米西禁区前沿拿球，王林防守犯规了！                   34'第34分钟，米西莫维奇主罚大禁区左角的任意球，皮球绕过人墙划出一道美妙弧线直奔球门远角而去，顾超横身做出神勇扑救将球打出
36'这个任意球的位置相当好，禁区前1米左右！                   34'第34分钟，米西莫维奇主罚大禁区左角的任意球，皮球绕过人墙划出一道美妙弧线直奔球门远角而去，顾超横身做出神勇扑救将球打出
36'米西直接弧线球大门！顾超双掌把球托出！                   34'第34分钟，米西莫维奇主罚大禁区左角的任意球，皮球绕过人墙划出一道美妙弧线直奔球门远角而去，顾超横身做出神勇扑救将球打出
36'米西继续发角球~                   34'第34分钟，米西莫维奇主罚大禁区左角的任意球，皮球绕过人墙划出一道美妙弧线直奔球门远角而去，顾超横身做出神勇扑救将球打出
37'角球前点被挡出，范云龙禁区外拿球左脚远射！被顾超得到了！                   34'第34分钟，米西莫维奇主罚大禁区左角的任意球，皮球绕过人墙划出一道美妙弧线直奔球门远角而去，顾超横身做出神勇扑救将球打出
44'恒大这边，吉拉迪诺也进球了                   43'贵州人和在第43分钟扳平比分――饶伟辉左路突破后送出威胁传中，前点陈中流铲断铲空，后点高速插上的尤里倒地铲射入网，1-1
44'饶伟辉左路下底传中，中路尤里铲射球进了！！                   43'贵州人和在第43分钟扳平比分――饶伟辉左路突破后送出威胁传中，前点陈中流铲断铲空，后点高速插上的尤里倒地铲射入网，1-1
45'这个球传的非常好，杭州后防线陈中流解围直接到了尤里的脚下！                   43'贵州人和在第43分钟扳平比分――饶伟辉左路突破后送出威胁传中，前点陈中流铲断铲空，后点高速插上的尤里倒地铲射入网，1-1
45'等于这个传球穿越了杭州整条后防线                   43'贵州人和在第43分钟扳平比分――饶伟辉左路突破后送出威胁传中，前点陈中流铲断铲空，后点高速插上的尤里倒地铲射入网，1-1
45'兴奋的贵州球迷现场点燃了焰火                   43'贵州人和在第43分钟扳平比分――饶伟辉左路突破后送出威胁传中，前点陈中流铲断铲空，后点高速插上的尤里倒地铲射入网，1-1
46'贵州前场任意球，米西给到门前，汉克头球打在门柱上！！！                   43'贵州人和在第43分钟扳平比分――饶伟辉左路突破后送出威胁传中，前点陈中流铲断铲空，后点高速插上的尤里倒地铲射入网，1-1
46'后卫赶紧踢出底线，角球，陈杰外围远射！被顾超得到了                   43'贵州人和在第43分钟扳平比分――饶伟辉左路突破后送出威胁传中，前点陈中流铲断铲空，后点高速插上的尤里倒地铲射入网，1-1
46'绿城队做出换人，陈中流下，罗竞出场                   43'贵州人和在第43分钟扳平比分――饶伟辉左路突破后送出威胁传中，前点陈中流铲断铲空，后点高速插上的尤里倒地铲射入网，1-1
50'贵州前场断球，带到禁区前沿，被后卫卢卡放到了！裁判给他出示了一张黄牌~                   50'下半场易边再战，第50分钟贵州前场断球后带到禁区前沿，卢卡战术犯规被出示黄牌警告
50'范云龙这下伤受的不轻                   50'下半场易边再战，第50分钟贵州前场断球后带到禁区前沿，卢卡战术犯规被出示黄牌警告
51'卢卡是一位来自斯洛文尼亚的外援                   50'下半场易边再战，第50分钟贵州前场断球后带到禁区前沿，卢卡战术犯规被出示黄牌警告
52'贵州任意球给到后点，尤里头球攻门！高出了衡量                   50'下半场易边再战，第50分钟贵州前场断球后带到禁区前沿，卢卡战术犯规被出示黄牌警告
52'抱歉，是高出了横梁~                   50'下半场易边再战，第50分钟贵州前场断球后带到禁区前沿，卢卡战术犯规被出示黄牌警告
69'范云龙禁区外远射被挡出底线！贵州的角球                   69'第69分钟，范云龙禁区内得球后连续摆脱后大力抽射，皮球变向后朝着球门的方向飞出底线
70'贵州进球了，张成林                   69'第69分钟，范云龙禁区内得球后连续摆脱后大力抽射，皮球变向后朝着球门的方向飞出底线
71'杭州防守角球的时候出现失误，冒顶之后直接给到了张成林脚下，直接起脚劲射得分！！                   69'第69分钟，范云龙禁区内得球后连续摆脱后大力抽射，皮球变向后朝着球门的方向飞出底线
85'杭州角球开到前点，赵宇豪垫射打高了！                   85'第85分钟，绿城队角球开到前点，赵宇豪门前抢点垫射打高
