9'里卡多-罗德里格斯跑到场边接收了主教练新的意图                   9'开场9分钟，恰尔汉奥卢左路任意球低射送还奥尔森
9'任意球直接打门                   9'开场9分钟，恰尔汉奥卢左路任意球低射送还奥尔森
9'打了一个近角                   9'开场9分钟，恰尔汉奥卢左路任意球低射送还奥尔森
9'奥尔森将球收入怀中                   9'开场9分钟，恰尔汉奥卢左路任意球低射送还奥尔森
10'镜头也是给到了沙拉维                   9'开场9分钟，恰尔汉奥卢左路任意球低射送还奥尔森
10'毕竟以前是米兰的一员啊                   9'开场9分钟，恰尔汉奥卢左路任意球低射送还奥尔森
10'希克拿球给到右路底线                   9'开场9分钟，恰尔汉奥卢左路任意球低射送还奥尔森
10'下底到后点                   9'开场9分钟，恰尔汉奥卢左路任意球低射送还奥尔森
10'多纳鲁马将球摘到                   9'开场9分钟，恰尔汉奥卢左路任意球低射送还奥尔森
11'米兰右侧拿球往禁区里打                   9'开场9分钟，恰尔汉奥卢左路任意球低射送还奥尔森
12'奥尔森先将球拿到                   9'开场9分钟，恰尔汉奥卢左路任意球低射送还奥尔森
12'这球也是非常的危险                   9'开场9分钟，恰尔汉奥卢左路任意球低射送还奥尔森
35'罗马队左路下底到禁区                   35'罗马第35分钟首次射门，科拉罗夫左路传球，希克前点距门5米处头球被唐纳鲁马没收
35'前点的头球攻门被多纳鲁马拿到                   35'罗马第35分钟首次射门，科拉罗夫左路传球，希克前点距门5米处头球被唐纳鲁马没收
35'米兰中场送直塞找伊瓜因                   35'罗马第35分钟首次射门，科拉罗夫左路传球，希克前点距门5米处头球被唐纳鲁马没收
35'被卡住了身位啊                   35'罗马第35分钟首次射门，科拉罗夫左路传球，希克前点距门5米处头球被唐纳鲁马没收
37'米兰禁区前沿分右侧                   35'罗马第35分钟首次射门，科拉罗夫左路传球，希克前点距门5米处头球被唐纳鲁马没收
37'底线的传球被挡了出去                   35'罗马第35分钟首次射门，科拉罗夫左路传球，希克前点距门5米处头球被唐纳鲁马没收
37'罗马的反击                   35'罗马第35分钟首次射门，科拉罗夫左路传球，希克前点距门5米处头球被唐纳鲁马没收
37'帕斯托雷拉到边路来接球                   35'罗马第35分钟首次射门，科拉罗夫左路传球，希克前点距门5米处头球被唐纳鲁马没收
37'面对双人包夹                   35'罗马第35分钟首次射门，科拉罗夫左路传球，希克前点距门5米处头球被唐纳鲁马没收
37'将球踢到对方身上后出了边线                   35'罗马第35分钟首次射门，科拉罗夫左路传球，希克前点距门5米处头球被唐纳鲁马没收
37'比较聪明的做法                   35'罗马第35分钟首次射门，科拉罗夫左路传球，希克前点距门5米处头球被唐纳鲁马没收
38'米兰中场挑传打身后                   35'罗马第35分钟首次射门，科拉罗夫左路传球，希克前点距门5米处头球被唐纳鲁马没收
38'没有过去                   35'罗马第35分钟首次射门，科拉罗夫左路传球，希克前点距门5米处头球被唐纳鲁马没收
59'沙拉维左侧拿球内切被破坏出去                   59'罗马第59分钟追平比分
59'罗马队角球送后点                   59'罗马第59分钟追平比分
59'多纳鲁马将球击出                   59'罗马第59分钟追平比分
59'1-1！！！                   59'罗马第59分钟追平比分
60'法西奥！！                   59'罗马第59分钟追平比分
60'罗马队右路低平球给进来，米兰的解围踢疵了，法西奥禁区内抽射破门！！                   59'罗马第59分钟追平比分
61'2-1！！                   59'罗马第59分钟追平比分
61'伊瓜因！！！                   59'罗马第59分钟追平比分
62'米兰后场中路直塞球给到了前场，伊瓜因反越位成功后到了禁区里，面对出击的门将轻松晃过后推空门得分！！                   59'罗马第59分钟追平比分
62'米兰迅速将比分再次超出                   59'罗马第59分钟追平比分
61'2-1！！                   61'AC米兰第61分钟进球无效，博纳文图拉左肋精准直传空档，伊瓜因单刀闪开出击的奥尔森，在门前12米处推射入球门中路
61'伊瓜因！！！                   61'AC米兰第61分钟进球无效，博纳文图拉左肋精准直传空档，伊瓜因单刀闪开出击的奥尔森，在门前12米处推射入球门中路
62'米兰后场中路直塞球给到了前场，伊瓜因反越位成功后到了禁区里，面对出击的门将轻松晃过后推空门得分！！                   61'AC米兰第61分钟进球无效，博纳文图拉左肋精准直传空档，伊瓜因单刀闪开出击的奥尔森，在门前12米处推射入球门中路
62'米兰迅速将比分再次超出                   61'AC米兰第61分钟进球无效，博纳文图拉左肋精准直传空档，伊瓜因单刀闪开出击的奥尔森，在门前12米处推射入球门中路
63'裁判要看VAR！！！！                   61'AC米兰第61分钟进球无效，博纳文图拉左肋精准直传空档，伊瓜因单刀闪开出击的奥尔森，在门前12米处推射入球门中路
63'越位！！！                   61'AC米兰第61分钟进球无效，博纳文图拉左肋精准直传空档，伊瓜因单刀闪开出击的奥尔森，在门前12米处推射入球门中路
63'伊瓜因多出了一只脚啊！！                   61'AC米兰第61分钟进球无效，博纳文图拉左肋精准直传空档，伊瓜因单刀闪开出击的奥尔森，在门前12米处推射入球门中路
64'现在比分还是1-1！！！！                   61'AC米兰第61分钟进球无效，博纳文图拉左肋精准直传空档，伊瓜因单刀闪开出击的奥尔森，在门前12米处推射入球门中路
64'伊瓜因今天是多次处在了对方的越位陷阱里                   61'AC米兰第61分钟进球无效，博纳文图拉左肋精准直传空档，伊瓜因单刀闪开出击的奥尔森，在门前12米处推射入球门中路
79'1-2！！！                   79'第79分钟，沙拉维右侧开出角球，恩宗齐门前争顶，球先后击中其左臂和右臂，随即恩宗齐在门前4米处铲射入右下角，圭达到场边观看VAR回放后吹罚手球，同样进球无效
80'罗马队角球开出，中路队友停球有手球后的嫌疑，但还是先将球打进                   79'第79分钟，沙拉维右侧开出角球，恩宗齐门前争顶，球先后击中其左臂和右臂，随即恩宗齐在门前4米处铲射入右下角，圭达到场边观看VAR回放后吹罚手球，同样进球无效
80'裁判看VAR！！！                   79'第79分钟，沙拉维右侧开出角球，恩宗齐门前争顶，球先后击中其左臂和右臂，随即恩宗齐在门前4米处铲射入右下角，圭达到场边观看VAR回放后吹罚手球，同样进球无效
81'恩宗齐争抢后也是有一个收手的动作                   79'第79分钟，沙拉维右侧开出角球，恩宗齐门前争顶，球先后击中其左臂和右臂，随即恩宗齐在门前4米处铲射入右下角，圭达到场边观看VAR回放后吹罚手球，同样进球无效
81'但是来不及了                   79'第79分钟，沙拉维右侧开出角球，恩宗齐门前争顶，球先后击中其左臂和右臂，随即恩宗齐在门前4米处铲射入右下角，圭达到场边观看VAR回放后吹罚手球，同样进球无效
81'裁判最后还是吹了回去！！！                   79'第79分钟，沙拉维右侧开出角球，恩宗齐门前争顶，球先后击中其左臂和右臂，随即恩宗齐在门前4米处铲射入右下角，圭达到场边观看VAR回放后吹罚手球，同样进球无效
81'比分依旧是1-1！！！                   79'第79分钟，沙拉维右侧开出角球，恩宗齐门前争顶，球先后击中其左臂和右臂，随即恩宗齐在门前4米处铲射入右下角，圭达到场边观看VAR回放后吹罚手球，同样进球无效
82'米兰也是通过这段时间完成了换人调整                   79'第79分钟，沙拉维右侧开出角球，恩宗齐门前争顶，球先后击中其左臂和右臂，随即恩宗齐在门前4米处铲射入右下角，圭达到场边观看VAR回放后吹罚手球，同样进球无效
51'哲科禁区外围兜射一脚                   50'AC米兰补时第5分钟上演绝杀
51'稍稍偏出                   50'AC米兰补时第5分钟上演绝杀
51'罗马下半场开始后也是压制着对方                   50'AC米兰补时第5分钟上演绝杀
51'科拉罗夫左路停球下来回敲                   50'AC米兰补时第5分钟上演绝杀
51'传球失误了                   50'AC米兰补时第5分钟上演绝杀
51'米兰反击分到左侧                   50'AC米兰补时第5分钟上演绝杀
52'伊瓜因左侧人球分过到了底线                   50'AC米兰补时第5分钟上演绝杀
52'下底给到中路                   50'AC米兰补时第5分钟上演绝杀
52'科拉罗夫先将球破坏出底线                   50'AC米兰补时第5分钟上演绝杀
52'非常的危险啊                   50'AC米兰补时第5分钟上演绝杀
52'米兰角球开出来                   50'AC米兰补时第5分钟上演绝杀
52'德罗西头球顶了出去                   50'AC米兰补时第5分钟上演绝杀
52'米兰换到另外一侧继续角球                   50'AC米兰补时第5分钟上演绝杀
52'打了一个专属配合                   50'AC米兰补时第5分钟上演绝杀
52'左侧再传禁区                   50'AC米兰补时第5分钟上演绝杀
52'中路先被防守球员顶出来                   50'AC米兰补时第5分钟上演绝杀
53'罗马反击的机会                   50'AC米兰补时第5分钟上演绝杀
53'长传找沙拉维                   50'AC米兰补时第5分钟上演绝杀
53'多纳鲁马冲出禁区                   50'AC米兰补时第5分钟上演绝杀
53'一个倒地的滑铲先破坏出了边线                   50'AC米兰补时第5分钟上演绝杀
