3'李学鹏回防卡位，将球护送给出击的曾诚                   3'第3分钟，恒大自左翼至中路经多人形成流畅传递，古德利劲射打高
3'开场这一会，亚泰的长传反击，能吓出恒大防线一身冷汗                   3'第3分钟，恒大自左翼至中路经多人形成流畅传递，古德利劲射打高
3'恒大前场的进攻，高拉特拿球                   3'第3分钟，恒大自左翼至中路经多人形成流畅传递，古德利劲射打高
4'分球左侧给上来的李学鹏                   3'第3分钟，恒大自左翼至中路经多人形成流畅传递，古德利劲射打高
4'强突再横传中路，高拉特插上拿到                   3'第3分钟，恒大自左翼至中路经多人形成流畅传递，古德利劲射打高
4'给到黄博文，回传跟进的古德利                   3'第3分钟，恒大自左翼至中路经多人形成流畅传递，古德利劲射打高
4'古德利的远射，打偏！！                   3'第3分钟，恒大自左翼至中路经多人形成流畅传递，古德利劲射打高
4'亚泰前场进攻，赢得左侧任意球机会                   3'第3分钟，恒大自左翼至中路经多人形成流畅传递，古德利劲射打高
4'张笑飞左侧任意球斜传到后点                   3'第3分钟，恒大自左翼至中路经多人形成流畅传递，古德利劲射打高
5'孙捷的抢点，没能顶好，球出了边线                   3'第3分钟，恒大自左翼至中路经多人形成流畅传递，古德利劲射打高
5'维贝中场背身拿球，面对逼抢                   3'第3分钟，恒大自左翼至中路经多人形成流畅传递，古德利劲射打高
5'回传后场给到张笑飞                   3'第3分钟，恒大自左翼至中路经多人形成流畅传递，古德利劲射打高
6'再给伊斯梅洛夫，分球张力                   3'第3分钟，恒大自左翼至中路经多人形成流畅传递，古德利劲射打高
6'张力直塞找到范晓冬                   3'第3分钟，恒大自左翼至中路经多人形成流畅传递，古德利劲射打高
6'范晓冬的内切斜传，出了底线                   3'第3分钟，恒大自左翼至中路经多人形成流畅传递，古德利劲射打高
6'古德利后场拿球，谭龙的逼抢，被吹犯规                   3'第3分钟，恒大自左翼至中路经多人形成流畅传递，古德利劲射打高
10'杨立瑜右路拿球，内切斜塞找黄博文                   10'第10分钟，亚泰右路长传将球打到恒大防线身后，伊哈洛禁区内扣球摆脱张成林，面对门将攻门被曾诚挡起，皮球下落时击中横梁上沿，裁判同时判定门前抢点的谭龙侵犯门将
10'张笑飞将球解围出来                   10'第10分钟，亚泰右路长传将球打到恒大防线身后，伊哈洛禁区内扣球摆脱张成林，面对门将攻门被曾诚挡起，皮球下落时击中横梁上沿，裁判同时判定门前抢点的谭龙侵犯门将
10'范晓冬左路拿球反击，张琳芃回防，身后推人犯规                   10'第10分钟，亚泰右路长传将球打到恒大防线身后，伊哈洛禁区内扣球摆脱张成林，面对门将攻门被曾诚挡起，皮球下落时击中横梁上沿，裁判同时判定门前抢点的谭龙侵犯门将
