6'鲁能泰山队右路长传，刘彬彬快马杀到，对方把球铲出边线                   6'开场6分钟，山东鲁能便打破僵局
6'鲁能泰山队进球啦！阿洛伊西奥，1-0                   6'开场6分钟，山东鲁能便打破僵局
7'刘彬彬右路下底横传，阿洛伊西奥锓球打门，皮球应声入网！                   6'开场6分钟，山东鲁能便打破僵局
7'鲁能泰山队先进球啦，您猜对了吗？                   6'开场6分钟，山东鲁能便打破僵局
8'[互动话题]阿洛伊西奥破门鲁能泰山队1-0领先，请大家预测下一颗进球是哪支球队？A、鲁能 B、北京 C、不会再有进球啦[qiangda]                   6'开场6分钟，山东鲁能便打破僵局
8'北京国安队右路斜传禁区，力量大了，德扬没能追上                   6'开场6分钟，山东鲁能便打破僵局
9'鲁能泰山队右路长传球，刘彬彬顶在前面快速去争抢，杨智出禁区把球铲出边线                   6'开场6分钟，山东鲁能便打破僵局
15'北京国安队的丢球属于盯人不紧，先是漏了刘彬彬，后又没防住阿洛伊西奥！                   15'第15分钟，蒿俊闵带球杀到前场送出漂亮斜塞，塔尔德利快速跟进将球捅射入网，但边裁示意越位在先进球无效
15'蒿俊闵中场得球直推禁区，塔尔德利插上抢点推射，破门！！！                   15'第15分钟，蒿俊闵带球杀到前场送出漂亮斜塞，塔尔德利快速跟进将球捅射入网，但边裁示意越位在先进球无效
15'不过助理裁判举旗啦！塔尔德利越位！                   15'第15分钟，蒿俊闵带球杀到前场送出漂亮斜塞，塔尔德利快速跟进将球捅射入网，但边裁示意越位在先进球无效
16'北京国安队把球开出边线，又有人受伤？？                   15'第15分钟，蒿俊闵带球杀到前场送出漂亮斜塞，塔尔德利快速跟进将球捅射入网，但边裁示意越位在先进球无效
16'确实，宋博轩倒在地上，捂着大腿！非常痛苦！                   15'第15分钟，蒿俊闵带球杀到前场送出漂亮斜塞，塔尔德利快速跟进将球捅射入网，但边裁示意越位在先进球无效
17'炸酱面大魔王 ：郑挣希望你珍惜每次上场的机会![回复]感觉郑铮本赛季没有上两赛季表现好！                   15'第15分钟，蒿俊闵带球杀到前场送出漂亮斜塞，塔尔德利快速跟进将球捅射入网，但边裁示意越位在先进球无效
17'北京国安队后场控球，鲁能泰山队在前场就积极拚抢                   15'第15分钟，蒿俊闵带球杀到前场送出漂亮斜塞，塔尔德利快速跟进将球捅射入网，但边裁示意越位在先进球无效
18'杨旭在前场得球，李磊上抢，双方对脚！！                   15'第15分钟，蒿俊闵带球杀到前场送出漂亮斜塞，塔尔德利快速跟进将球捅射入网，但边裁示意越位在先进球无效
18'杨旭应声倒地！受伤了！                   15'第15分钟，蒿俊闵带球杀到前场送出漂亮斜塞，塔尔德利快速跟进将球捅射入网，但边裁示意越位在先进球无效
18'李磊没有收脚啊，有蹬踏动作！                   15'第15分钟，蒿俊闵带球杀到前场送出漂亮斜塞，塔尔德利快速跟进将球捅射入网，但边裁示意越位在先进球无效
18'蒿俊闵假跑，郑铮发任意球，塔尔德利再分边，没能传过去                   15'第15分钟，蒿俊闵带球杀到前场送出漂亮斜塞，塔尔德利快速跟进将球捅射入网，但边裁示意越位在先进球无效
26'今天郑铮的状态还真不错！刚说不如上赛季，今天就给表现啦                   26'第26分钟，北京国安角球进攻，宋博轩弧线球传中被挡出，河大成禁区外再传，德扬面对包夹卸下皮球后转身打门，球被站位较好的王大雷没收
26'宋博轩发角球到前点，王大雷想摘球，皮球下坠，出底线，继续角球                   26'第26分钟，北京国安角球进攻，宋博轩弧线球传中被挡出，河大成禁区外再传，德扬面对包夹卸下皮球后转身打门，球被站位较好的王大雷没收
26'宋博轩发角球到禁区内，鲁能泰山队解围不远，再传到禁区内，马季奇转身的打门被王大雷没收                   26'第26分钟，北京国安角球进攻，宋博轩弧线球传中被挡出，河大成禁区外再传，德扬面对包夹卸下皮球后转身打门，球被站位较好的王大雷没收
27'王大雷大脚开球到前场，直接到了杨智手里                   26'第26分钟，北京国安角球进攻，宋博轩弧线球传中被挡出，河大成禁区外再传，德扬面对包夹卸下皮球后转身打门，球被站位较好的王大雷没收
27'李运秋中场铲球动作过大啦，让过球后直接冲阿洛伊西奥过去！危险啊！                   26'第26分钟，北京国安角球进攻，宋博轩弧线球传中被挡出，河大成禁区外再传，德扬面对包夹卸下皮球后转身打门，球被站位较好的王大雷没收
27'主裁判给李运秋出示了黄牌！                   26'第26分钟，北京国安角球进攻，宋博轩弧线球传中被挡出，河大成禁区外再传，德扬面对包夹卸下皮球后转身打门，球被站位较好的王大雷没收
28'任意球发出来传到禁区内，杨智没收                   26'第26分钟，北京国安角球进攻，宋博轩弧线球传中被挡出，河大成禁区外再传，德扬面对包夹卸下皮球后转身打门，球被站位较好的王大雷没收
28'中场蒿俊闵得球，直传球出边线                   26'第26分钟，北京国安角球进攻，宋博轩弧线球传中被挡出，河大成禁区外再传，德扬面对包夹卸下皮球后转身打门，球被站位较好的王大雷没收
29'马季奇中场左路横传球，河大成接球后被乌索放倒，犯规啦                   26'第26分钟，北京国安角球进攻，宋博轩弧线球传中被挡出，河大成禁区外再传，德扬面对包夹卸下皮球后转身打门，球被站位较好的王大雷没收
34'塔尔德利左路拿球，与队友三角配合，直传球，刘彬彬不越位，横传禁区                   34'第34分钟，宋博轩受伤无法坚持，张呈栋将其换下
34'阿洛伊西奥强突，对方把球破坏出底线，阿洛伊西奥倒地，没有吹点球，并且也没有角球！是阿洛伊西奥碰到球啦                   34'第34分钟，宋博轩受伤无法坚持，张呈栋将其换下
34'北京国安队换人：张呈栋上场，换下受伤的宋博轩！                   34'第34分钟，宋博轩受伤无法坚持，张呈栋将其换下
35'塔尔德利接球挑传禁区，杨旭越位                   34'第34分钟，宋博轩受伤无法坚持，张呈栋将其换下
35'越位后杨旭还向前跑，抬脚打门，因此吃到了黄牌                   34'第34分钟，宋博轩受伤无法坚持，张呈栋将其换下
36'马季奇把球分到左路，与队友交叉换位，马季奇横传禁区，被破坏出来                   34'第34分钟，宋博轩受伤无法坚持，张呈栋将其换下
36'鲁能泰山队长传球到前场，队友回传，阿洛伊西奥看到队友越位，想来个远射，被挡出来                   34'第34分钟，宋博轩受伤无法坚持，张呈栋将其换下
37'赵和靖左路接队友传球，没能停好，球出边线                   34'第34分钟，宋博轩受伤无法坚持，张呈栋将其换下
37'北京国安队在前场直传球没过去，对方大脚开回来                   34'第34分钟，宋博轩受伤无法坚持，张呈栋将其换下
37'后场鲁能泰山队断球，中路反击                   34'第34分钟，宋博轩受伤无法坚持，张呈栋将其换下
38'攻到前场，刘彬彬直传球，被断，塔尔德利没有及时启动                   38'第38分钟，北京国安边路传中，河大成中路得球晃过防守队员后劲射上角，球稍稍高出
38'北京国安队左路横传，李松益把球顶出来，河大成的远射高出                   38'第38分钟，北京国安边路传中，河大成中路得球晃过防守队员后劲射上角，球稍稍高出
39'于大宝中场控球，郑铮上抢犯规                   38'第38分钟，北京国安边路传中，河大成中路得球晃过防守队员后劲射上角，球稍稍高出
40'阿洛伊西奥中路突破，倒在地上，不过裁判示意比赛继续                   38'第38分钟，北京国安边路传中，河大成中路得球晃过防守队员后劲射上角，球稍稍高出
