2'那不勒斯后场倒脚，哈姆西克回后场接应转移到左路                   2'开场2分钟，甘贝里尼被卡萨诺肘部击中鼻子，到场边贴上鼻贴后回到场内
3'因勒接应后斜传前场右路，球传得比较大，佩雷拉卡住身位将球让出底线                   2'开场2分钟，甘贝里尼被卡萨诺肘部击中鼻子，到场边贴上鼻贴后回到场内
3'甘贝里尼面部受伤，正在场下接受治理                   2'开场2分钟，甘贝里尼被卡萨诺肘部击中鼻子，到场边贴上鼻贴后回到场内
3'拉诺齐亚右路直传前场，苏尼加将球护住                   2'开场2分钟，甘贝里尼被卡萨诺肘部击中鼻子，到场边贴上鼻贴后回到场内
4'双方暂时还没能在中场做有效的传递组织                   2'开场2分钟，甘贝里尼被卡萨诺肘部击中鼻子，到场边贴上鼻贴后回到场内
5'瓜林中场漂亮的拉球过人后长驱直入                   2'开场2分钟，甘贝里尼被卡萨诺肘部击中鼻子，到场边贴上鼻贴后回到场内
5'杀到禁区前沿再变向，小卡纳瓦罗上抢大脚将球破坏                   2'开场2分钟，甘贝里尼被卡萨诺肘部击中鼻子，到场边贴上鼻贴后回到场内
5'哈姆西克中场是球与苏尼加做配合                   2'开场2分钟，甘贝里尼被卡萨诺肘部击中鼻子，到场边贴上鼻贴后回到场内
8'佩雷拉抢断后挑传到前面，卡萨诺拿球前被甘贝里尼放倒                   8'第8分钟，佩雷拉传中被甘贝里尼挡出底线，卡萨诺左侧开出角球，无人盯防的瓜林后点插上距门9米处半凌空推射入近角，1比0
8'国际米兰将球打到左前场，卡萨诺下底传中打在甘贝里尼身上出了底线                   8'第8分钟，佩雷拉传中被甘贝里尼挡出底线，卡萨诺左侧开出角球，无人盯防的瓜林后点插上距门9米处半凌空推射入近角，1比0
8'国际米兰获得前场左路的角球机会                   8'第8分钟，佩雷拉传中被甘贝里尼挡出底线，卡萨诺左侧开出角球，无人盯防的瓜林后点插上距门9米处半凌空推射入近角，1比0
8'瓜林接应角球先开纪录！                   8'第8分钟，佩雷拉传中被甘贝里尼挡出底线，卡萨诺左侧开出角球，无人盯防的瓜林后点插上距门9米处半凌空推射入近角，1比0
9'卡萨诺角球发到后点，瓜林后排插上，在无人看管下右脚直接推射球门右下角球进！                   8'第8分钟，佩雷拉传中被甘贝里尼挡出底线，卡萨诺左侧开出角球，无人盯防的瓜林后点插上距门9米处半凌空推射入近角，1比0
9'国际米兰取得了一个梦幻开局                   8'第8分钟，佩雷拉传中被甘贝里尼挡出底线，卡萨诺左侧开出角球，无人盯防的瓜林后点插上距门9米处半凌空推射入近角，1比0
11'慢镜重放，瓜林是从中场冲到禁区右侧打门的，打门时脚锁得很紧                   8'第8分钟，佩雷拉传中被甘贝里尼挡出底线，卡萨诺左侧开出角球，无人盯防的瓜林后点插上距门9米处半凌空推射入近角，1比0
11'那不勒斯前场的一次越位                   8'第8分钟，佩雷拉传中被甘贝里尼挡出底线，卡萨诺左侧开出角球，无人盯防的瓜林后点插上距门9米处半凌空推射入近角，1比0
11'因斯格尼左路拿球，回传失误了，瓜林回传后场                   8'第8分钟，佩雷拉传中被甘贝里尼挡出底线，卡萨诺左侧开出角球，无人盯防的瓜林后点插上距门9米处半凌空推射入近角，1比0
11'球转移到左路，佩雷拉直塞打卡萨诺，卡萨诺没有把球护好                   8'第8分钟，佩雷拉传中被甘贝里尼挡出底线，卡萨诺左侧开出角球，无人盯防的瓜林后点插上距门9米处半凌空推射入近角，1比0
18'球依然在国际米兰脚下，胡安短传交给佩雷拉                   18'第18分钟，卡瓦尼中路反击晃过坎比亚索分球，因西涅左路内切距门22米处弧线球稍稍偏出右门柱
18'卡萨诺过来接应再送直传，球被马乔拦截出边线                   18'第18分钟，卡瓦尼中路反击晃过坎比亚索分球，因西涅左路内切距门22米处弧线球稍稍偏出右门柱
