6'Córdoba球员Pantic拼抢犯规,对手获得控球权.                   6'第6分钟，科尔多瓦防线最后一人的潘蒂奇犯规被红牌罚下
6'阿吉雷谢为皇家社会在对方半场,赢得一个任意球.                   6'第6分钟，科尔多瓦防线最后一人的潘蒂奇犯规被红牌罚下
6'裁判将Córdoba的Pantic直接红牌罚下.                   6'第6分钟，科尔多瓦防线最后一人的潘蒂奇犯规被红牌罚下
7'皇家社会球员卡纳莱斯大禁区外左脚射门,被防守球员封堵.                   6'第6分钟，科尔多瓦防线最后一人的潘蒂奇犯规被红牌罚下
9'皇家社会球员鲁本-帕尔多手球犯规,对手获得球权.                   6'第6分钟，科尔多瓦防线最后一人的潘蒂奇犯规被红牌罚下
48'皇家社会球员I-马丁内斯大禁区外左脚射门,被防守球员封堵.给他传球的是阿吉雷谢.                   48'皇家社会连入3球逆转，第33分钟，卡纳莱斯左路传中，阿吉雷切8码处头球顶入右下角
48'皇家社会球员阿吉雷谢大禁区中央头球,被防守球员封堵.给他传球的是Zaldúa.                   48'皇家社会连入3球逆转，第33分钟，卡纳莱斯左路传中，阿吉雷切8码处头球顶入右下角
48'Íñigo López将球处理出底线,皇家社会获得角球.                   48'皇家社会连入3球逆转，第33分钟，卡纳莱斯左路传中，阿吉雷切8码处头球顶入右下角
49'皇家社会球员卡斯特罗大禁区外尝试左脚射门,可惜皮球稍稍偏出了左球门.给他传球的是I-马丁内斯.                   48'皇家社会连入3球逆转，第33分钟，卡纳莱斯左路传中，阿吉雷切8码处头球顶入右下角
50'Córdoba换人,菲德尔换下Bruno Zuculini                   48'皇家社会连入3球逆转，第33分钟，卡纳莱斯左路传中，阿吉雷切8码处头球顶入右下角
50'皇家社会球员哈维-普列托一脚直塞球给卡斯特罗,但是边裁举旗显示后者已经越位.                   48'皇家社会连入3球逆转，第33分钟，卡纳莱斯左路传中，阿吉雷切8码处头球顶入右下角
51'Zaldúa将球处理出底线,Córdoba获得角球.                   48'皇家社会连入3球逆转，第33分钟，卡纳莱斯左路传中，阿吉雷切8码处头球顶入右下角
81'Córdoba球员拼抢犯规,对手获得控球权.                   81'科尔多瓦后卫伊尼戈-洛佩斯第81分钟累计两张黄牌被罚下
81'Yuri为皇家社会在对方半场,赢得一个任意球.                   81'科尔多瓦后卫伊尼戈-洛佩斯第81分钟累计两张黄牌被罚下
81'Córdoba球员Íñigo López因为恶意犯规,被裁判出示了第二张黄牌.                   81'科尔多瓦后卫伊尼戈-洛佩斯第81分钟累计两张黄牌被罚下
82'皇家社会球员鲁本-帕尔多大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.                   81'科尔多瓦后卫伊尼戈-洛佩斯第81分钟累计两张黄牌被罚下
84'皇家社会球员鲁本-帕尔多一脚直塞球给阿吉雷谢,但是边裁举旗显示后者已经越位.                   81'科尔多瓦后卫伊尼戈-洛佩斯第81分钟累计两张黄牌被罚下
