2'国际米兰球员姆维拉大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.                   2'开场2分钟，姆维拉禁区前沿推射偏出
3'都灵球员拉隆多拼抢犯规,对手获得控球权.                   2'开场2分钟，姆维拉禁区前沿推射偏出
3'科瓦契奇为国际米兰在对方半场,赢得一个任意球.                   2'开场2分钟，姆维拉禁区前沿推射偏出
25'莫雷蒂将球处理出底线,国际米兰获得角球.                   25'第25分钟，若纳坦开出角球，维迪奇头球偏出
25'国际米兰球员维迪奇大禁区中央尝试头球,可惜皮球稍稍偏出了左球门.给他传球的是乔纳森.                   25'第25分钟，若纳坦开出角球，维迪奇头球偏出
27'国际米兰球员埃尔纳内斯一脚直塞球给伊卡尔迪,但是边裁举旗显示后者已经越位.                   25'第25分钟，若纳坦开出角球，维迪奇头球偏出
42'都灵球员马希莫维奇拼抢犯规,对手获得控球权.                   42'第42分钟，马克西莫维奇放倒多多，被黄牌警告
42'多多为国际米兰在左路,赢得一个任意球.                   42'第42分钟，马克西莫维奇放倒多多，被黄牌警告
42'黄牌！都灵球员马希莫维奇因为恶意犯规,被主裁判出示黄牌.                   42'第42分钟，马克西莫维奇放倒多多，被黄牌警告
43'国际米兰球员伊卡尔迪大禁区中央尝试头球,可惜皮球稍稍偏出了右球门.给他传球的是多多.                   42'第42分钟，马克西莫维奇放倒多多，被黄牌警告
44'格里克将球处理出底线,国际米兰获得角球.                   42'第42分钟，马克西莫维奇放倒多多，被黄牌警告
44'国际米兰球员拉诺齐亚大禁区中央尝试,可惜皮球高出球门.给他传球的是乔纳森.                   42'第42分钟，马克西莫维奇放倒多多，被黄牌警告
45'国际米兰球员科瓦契奇大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是梅德尔.                   42'第42分钟，马克西莫维奇放倒多多，被黄牌警告
45'+1'上半场结束,都灵 0-0 国际米兰,稍事休息,我们一会来看看下半场两队的表现.                   42'第42分钟，马克西莫维奇放倒多多，被黄牌警告
52'射门!!!都灵球员博沃大禁区外右脚射门,被对方守门员横身扑出.给他传球的是卡杜里.                   52'第52分钟，博沃在门前27米处劲射被汉达诺维奇得到
53'都灵球员夸利亚雷拉大禁区中央尝试右脚射门,可惜皮球稍稍偏出了右球门.给他传球的是拉隆多.                   52'第52分钟，博沃在门前27米处劲射被汉达诺维奇得到
55'都灵换人,Juan Sánchez Miño换下卡杜里                   52'第52分钟，博沃在门前27米处劲射被汉达诺维奇得到
