2'斯特罗特曼为罗马在对方半场,赢得一个任意球.                   1'第1分钟，斯特鲁特曼送过顶球，哲科反越位吊射高出
2'乌迪内斯球员福法纳拼抢犯规,对手获得控球权.                   1'第1分钟，斯特鲁特曼送过顶球，哲科反越位吊射高出
2'罗马球员哲科大禁区中央尝试右脚射门,可惜皮球高出球门.给他传球的是斯特罗特曼.                   1'第1分钟，斯特鲁特曼送过顶球，哲科反越位吊射高出
3'乌迪内斯球员Duván Zapata拼抢犯规,对手获得控球权.                   1'第1分钟，斯特鲁特曼送过顶球，哲科反越位吊射高出
3'法西奥为罗马赢得一个任意球.                   1'第1分钟，斯特鲁特曼送过顶球，哲科反越位吊射高出
3'泰罗为乌迪内斯赢得一个任意球.                   1'第1分钟，斯特鲁特曼送过顶球，哲科反越位吊射高出
3'罗马球员马诺拉斯拼抢犯规,对手获得控球权.                   1'第1分钟，斯特鲁特曼送过顶球，哲科反越位吊射高出
4'罗马球员Leandro Paredes一脚直塞球给Bruno Peres,但是边裁举旗显示后者已经越位.                   1'第1分钟，斯特鲁特曼送过顶球，哲科反越位吊射高出
12'进球啦！！！罗马球员纳因戈兰大禁区中央右脚射门,球从左下角飞进球门,球进了!助攻的是斯特罗特曼. 乌迪内斯 0-1 罗马.                   12'罗马第12分钟取得领先，斯特鲁特曼右路左脚斜传，纳英戈兰前点距门10米处凌空扫射入远角，1比0
13'Samir为乌迪内斯赢得一个任意球.                   12'罗马第12分钟取得领先，斯特鲁特曼右路左脚斜传，纳英戈兰前点距门10米处凌空扫射入远角，1比0
13'罗马球员Bruno Peres拼抢犯规,对手获得控球权.                   12'罗马第12分钟取得领先，斯特鲁特曼右路左脚斜传，纳英戈兰前点距门10米处凌空扫射入远角，1比0
15'Samir为乌迪内斯赢得一个任意球.                   12'罗马第12分钟取得领先，斯特鲁特曼右路左脚斜传，纳英戈兰前点距门10米处凌空扫射入远角，1比0
15'罗马球员Bruno Peres拼抢犯规,对手获得控球权.                   12'罗马第12分钟取得领先，斯特鲁特曼右路左脚斜传，纳英戈兰前点距门10米处凌空扫射入远角，1比0
15'乌迪内斯球员Rodrigo de Paul拼抢犯规,对手获得控球权.                   12'罗马第12分钟取得领先，斯特鲁特曼右路左脚斜传，纳英戈兰前点距门10米处凌空扫射入远角，1比0
15'埃莫森为罗马赢得一个任意球.                   12'罗马第12分钟取得领先，斯特鲁特曼右路左脚斜传，纳英戈兰前点距门10米处凌空扫射入远角，1比0
