7'尤文图斯球员特维斯在禁区内摔倒了,但裁判判他假摔！                   7'第7分钟，特维斯被比翁迪尼绊倒，主裁判多维里却判假摔亮出黄牌
7'尤文图斯球员特维斯被主裁判出示了一张黄牌.                   7'第7分钟，特维斯被比翁迪尼绊倒，主裁判多维里却判假摔亮出黄牌
47'贝尔托拉奇为热那亚赢得一个任意球.                   46'1分钟后，伊斯拉右路传中经过折射，略伦特禁区左侧距门7米处左脚半凌空推射被佩林下意识封出
47'尤文图斯球员基耶利尼拼抢犯规,对手获得控球权.                   46'1分钟后，伊斯拉右路传中经过折射，略伦特禁区左侧距门7米处左脚半凌空推射被佩林下意识封出
47'贝尔托拉奇为热那亚在对方半场,赢得一个任意球.                   46'1分钟后，伊斯拉右路传中经过折射，略伦特禁区左侧距门7米处左脚半凌空推射被佩林下意识封出
47'尤文图斯球员博格巴拼抢犯规,对手获得控球权.                   46'1分钟后，伊斯拉右路传中经过折射，略伦特禁区左侧距门7米处左脚半凌空推射被佩林下意识封出
48'尤文图斯球员特维斯大禁区外右脚射门,被防守球员封堵.给他传球的是基耶利尼.                   46'1分钟后，伊斯拉右路传中经过折射，略伦特禁区左侧距门7米处左脚半凌空推射被佩林下意识封出
48'热那亚球员库奇卡拼抢犯规,对手获得控球权.                   46'1分钟后，伊斯拉右路传中经过折射，略伦特禁区左侧距门7米处左脚半凌空推射被佩林下意识封出
48'基耶利尼为尤文图斯在对方半场,赢得一个任意球.                   46'1分钟后，伊斯拉右路传中经过折射，略伦特禁区左侧距门7米处左脚半凌空推射被佩林下意识封出
49'尤文图斯球员皮尔洛大禁区外右脚射门,被防守球员封堵.                   46'1分钟后，伊斯拉右路传中经过折射，略伦特禁区左侧距门7米处左脚半凌空推射被佩林下意识封出
19'尤文图斯球员比达尔大禁区外右脚射门,命中门柱横梁.给他传球的是皮尔洛.                   19'第19分钟，比达尔右侧距门21米处大力斜射击中横梁
19'尤文图斯球员比达尔大禁区中央右脚射门,被防守球员封堵.给他传球的是伊斯拉.                   19'第19分钟，比达尔右侧距门21米处大力斜射击中横梁
19'安东内利将球处理出底线,尤文图斯获得角球.                   19'第19分钟，比达尔右侧距门21米处大力斜射击中横梁
19'沃萨齐科将球处理出底线,尤文图斯获得角球.                   19'第19分钟，比达尔右侧距门21米处大力斜射击中横梁
20'比昂迪尼将球处理出底线,尤文图斯获得角球.                   19'第19分钟，比达尔右侧距门21米处大力斜射击中横梁
20'尤文图斯球员基耶利尼小禁区右侧尝试头球,可惜皮球高出球门.给他传球的是皮尔洛.                   19'第19分钟，比达尔右侧距门21米处大力斜射击中横梁
21'热那亚球员曼弗雷蒂尼拼抢犯规,对手获得控球权.                   19'第19分钟，比达尔右侧距门21米处大力斜射击中横梁
