6'锡耶纳球员菲利佩拼抢犯规,对手获得控球权.                   5'开场5分钟，尤文角球制造混乱，博努奇门前踢空错失机会
6'乔文科为尤文图斯在对方半场,赢得一个任意球.                   5'开场5分钟，尤文角球制造混乱，博努奇门前踢空错失机会
7'尤文图斯球员皮尔洛大禁区外尝试右脚射门,可惜皮球高出球门.                   5'开场5分钟，尤文角球制造混乱，博努奇门前踢空错失机会
11'尤文图斯球员乔文科大禁区外尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是博格巴.                   11'第11分钟，乔文科禁区外斜射偏出左门柱
12'罗西纳为锡耶纳在对方半场,赢得一个任意球.                   11'第11分钟，乔文科禁区外斜射偏出左门柱
12'尤文图斯球员佩鲁索拼抢犯规,对手获得控球权.                   11'第11分钟，乔文科禁区外斜射偏出左门柱
14'尤文图斯球员利西斯泰纳一脚直塞球给乔文科,但是边裁举旗显示后者已经越位.                   11'第11分钟，乔文科禁区外斜射偏出左门柱
21'射门!!!尤文图斯球员马尔基西奥大禁区外右脚射门,被对方守门员横身扑出.给他传球的是武齐尼奇.                   21'第21分钟，武齐尼奇传球，马尔基西奥禁区弧顶大力抽射被佩戈洛飞身托出右门柱
21'佩格罗将球处理出底线,尤文图斯获得角球.                   21'第21分钟，武齐尼奇传球，马尔基西奥禁区弧顶大力抽射被佩戈洛飞身托出右门柱
23'射门!!!尤文图斯球员乔文科大禁区左侧左脚射门,被对方守门员横身扑出.给他传球的是武齐尼奇.                   21'第21分钟，武齐尼奇传球，马尔基西奥禁区弧顶大力抽射被佩戈洛飞身托出右门柱
24'尤文图斯球员巴尔扎利一脚直塞球给阿萨莫阿,但是边裁举旗显示后者已经越位.                   21'第21分钟，武齐尼奇传球，马尔基西奥禁区弧顶大力抽射被佩戈洛飞身托出右门柱
24'锡耶纳球员德拉罗卡拼抢犯规,对手获得控球权.                   21'第21分钟，武齐尼奇传球，马尔基西奥禁区弧顶大力抽射被佩戈洛飞身托出右门柱
24'乔文科为尤文图斯在对方半场,赢得一个任意球.                   21'第21分钟，武齐尼奇传球，马尔基西奥禁区弧顶大力抽射被佩戈洛飞身托出右门柱
24'黄牌！锡耶纳球员德拉罗卡因为恶意犯规,被主裁判出示黄牌.                   21'第21分钟，武齐尼奇传球，马尔基西奥禁区弧顶大力抽射被佩戈洛飞身托出右门柱
