1'上半场比赛开始！                   1'双方第1分钟拼抢激烈，双方都未能创造得分机会
1'威廉分球到右路，夸德拉多拿球被破坏出边线                   1'双方第1分钟拼抢激烈，双方都未能创造得分机会
2'伊万右路助攻，横敲                   1'双方第1分钟拼抢激烈，双方都未能创造得分机会
2'小法拿球，挑传禁区                   1'双方第1分钟拼抢激烈，双方都未能创造得分机会
2'德罗巴抢点，没有打正                   1'双方第1分钟拼抢激烈，双方都未能创造得分机会
3'春369：德罗巴，德罗巴，德罗巴，加油啊。。。。。。                   1'双方第1分钟拼抢激烈，双方都未能创造得分机会
3'阿兹皮利奎塔左路拿球，回敲小法                   1'双方第1分钟拼抢激烈，双方都未能创造得分机会
4'马里亚帕犯规，切尔西禁区前靠左的任意球机会                   1'双方第1分钟拼抢激烈，双方都未能创造得分机会
4'被解围出去，外围还是切尔西控制                   1'双方第1分钟拼抢激烈，双方都未能创造得分机会
4'阿兹皮利奎塔和德罗巴踢墙配合，没有成功                   1'双方第1分钟拼抢激烈，双方都未能创造得分机会
4'外围吊入禁区，被门将没收                   1'双方第1分钟拼抢激烈，双方都未能创造得分机会
45'裁判给了点球，阿扎尔自己来罚                   45'切尔西第45分钟打破僵局，阿扎尔突入禁区左侧被麦克阿瑟绊倒，阿扎尔主罚点球被斯佩罗尼扑出，他随即头球补射入网
45'点球被门将扑出！                   45'切尔西第45分钟打破僵局，阿扎尔突入禁区左侧被麦克阿瑟绊倒，阿扎尔主罚点球被斯佩罗尼扑出，他随即头球补射入网
45'阿扎尔自己补射，头球破门！                   45'切尔西第45分钟打破僵局，阿扎尔突入禁区左侧被麦克阿瑟绊倒，阿扎尔主罚点球被斯佩罗尼扑出，他随即头球补射入网
45'一波三折，还是进了！                   45'切尔西第45分钟打破僵局，阿扎尔突入禁区左侧被麦克阿瑟绊倒，阿扎尔主罚点球被斯佩罗尼扑出，他随即头球补射入网
46'切尔西1-0领先水晶宫！                   45'切尔西第45分钟打破僵局，阿扎尔突入禁区左侧被麦克阿瑟绊倒，阿扎尔主罚点球被斯佩罗尼扑出，他随即头球补射入网
46'此时此刻值得来杯嘉士伯                   45'切尔西第45分钟打破僵局，阿扎尔突入禁区左侧被麦克阿瑟绊倒，阿扎尔主罚点球被斯佩罗尼扑出，他随即头球补射入网
46'上半场补时2分钟！                   45'切尔西第45分钟打破僵局，阿扎尔突入禁区左侧被麦克阿瑟绊倒，阿扎尔主罚点球被斯佩罗尼扑出，他随即头球补射入网
46'沃德左路一顶二，成功把球护住                   45'切尔西第45分钟打破僵局，阿扎尔突入禁区左侧被麦克阿瑟绊倒，阿扎尔主罚点球被斯佩罗尼扑出，他随即头球补射入网
47'用户8gr5ba65db：心惊惊                   45'切尔西第45分钟打破僵局，阿扎尔突入禁区左侧被麦克阿瑟绊倒，阿扎尔主罚点球被斯佩罗尼扑出，他随即头球补射入网
48'马里亚帕右路防守绊倒了阿扎尔                   45'切尔西第45分钟打破僵局，阿扎尔突入禁区左侧被麦克阿瑟绊倒，阿扎尔主罚点球被斯佩罗尼扑出，他随即头球补射入网
48'裁判黄牌警告马里亚帕                   45'切尔西第45分钟打破僵局，阿扎尔突入禁区左侧被麦克阿瑟绊倒，阿扎尔主罚点球被斯佩罗尼扑出，他随即头球补射入网
48'切尔西后场控球                   45'切尔西第45分钟打破僵局，阿扎尔突入禁区左侧被麦克阿瑟绊倒，阿扎尔主罚点球被斯佩罗尼扑出，他随即头球补射入网
48'上半场比赛结束！                   45'切尔西第45分钟打破僵局，阿扎尔突入禁区左侧被麦克阿瑟绊倒，阿扎尔主罚点球被斯佩罗尼扑出，他随即头球补射入网
46'下半场比赛开始！                   45'切尔西第45分钟打破僵局，阿扎尔突入禁区左侧被麦克阿瑟绊倒，阿扎尔主罚点球被斯佩罗尼扑出，他随即头球补射入网
46'彭齐翁中路拿球，分右路                   45'切尔西第45分钟打破僵局，阿扎尔突入禁区左侧被麦克阿瑟绊倒，阿扎尔主罚点球被斯佩罗尼扑出，他随即头球补射入网
47'马里亚帕传中被挡出边线                   45'切尔西第45分钟打破僵局，阿扎尔突入禁区左侧被麦克阿瑟绊倒，阿扎尔主罚点球被斯佩罗尼扑出，他随即头球补射入网
47'阿兹皮利奎塔防守彭齐翁，球打在对手脚上出底线                   45'切尔西第45分钟打破僵局，阿扎尔突入禁区左侧被麦克阿瑟绊倒，阿扎尔主罚点球被斯佩罗尼扑出，他随即头球补射入网
48'阿扎尔中场拿球摆脱                   45'切尔西第45分钟打破僵局，阿扎尔突入禁区左侧被麦克阿瑟绊倒，阿扎尔主罚点球被斯佩罗尼扑出，他随即头球补射入网
48'威廉右路拿球被破坏出边线                   45'切尔西第45分钟打破僵局，阿扎尔突入禁区左侧被麦克阿瑟绊倒，阿扎尔主罚点球被斯佩罗尼扑出，他随即头球补射入网
