1'上半场比赛开始！                   1'第1分钟毅腾与国安互有边路传中冲击
1'首先开球的是北京国安                   1'第1分钟毅腾与国安互有边路传中冲击
1'哈尔滨毅腾今天身穿蓝色的比赛队服                   1'第1分钟毅腾与国安互有边路传中冲击
1'今天哈尔滨的主场可以说是饱满                   1'第1分钟毅腾与国安互有边路传中冲击
1'今天哈尔滨的主场可以说是爆满                   1'第1分钟毅腾与国安互有边路传中冲击
1'巴塔拉中场拿球被侵犯                   1'第1分钟毅腾与国安互有边路传中冲击
2'哈尔滨毅腾左路起球送后点                   1'第1分钟毅腾与国安互有边路传中冲击
2'可惜其他都有都跑去前点了                   1'第1分钟毅腾与国安互有边路传中冲击
3'今天的场地情况并不是很理想                   1'第1分钟毅腾与国安互有边路传中冲击
3'乌塔卡前场拿球被福福放倒                   1'第1分钟毅腾与国安互有边路传中冲击
3'国安队前场的任意球机会                   1'第1分钟毅腾与国安互有边路传中冲击
4'巴塔拉任意球直接打                   1'第1分钟毅腾与国安互有边路传中冲击
4'这球被人墙直接挡了下来                   1'第1分钟毅腾与国安互有边路传中冲击
4'乌塔卡前场拿球被吹了犯规                   1'第1分钟毅腾与国安互有边路传中冲击
7'怪怪女Min：为国安加油！支持我家亲爱的！【你家亲爱的是哪位？】                   7'第7分钟，毅腾前场任意球冲击受阻，韩旭反抢中正面铲翻陈志钊，国安球员向裁判表示了强烈抗议，韩旭领到黄牌
7'陈志钊后场抢球被对方飞铲                   7'第7分钟，毅腾前场任意球冲击受阻，韩旭反抢中正面铲翻陈志钊，国安球员向裁判表示了强烈抗议，韩旭领到黄牌
8'黄牌一张是肯定的                   7'第7分钟，毅腾前场任意球冲击受阻，韩旭反抢中正面铲翻陈志钊，国安球员向裁判表示了强烈抗议，韩旭领到黄牌
8'黄露露3：哈尔滨加油，哇！体育场人好多啊！【中超的首个主场嘛】                   7'第7分钟，毅腾前场任意球冲击受阻，韩旭反抢中正面铲翻陈志钊，国安球员向裁判表示了强烈抗议，韩旭领到黄牌
9'哈尔滨毅腾右路起球送禁区后点                   7'第7分钟，毅腾前场任意球冲击受阻，韩旭反抢中正面铲翻陈志钊，国安球员向裁判表示了强烈抗议，韩旭领到黄牌
9'多利头球摆渡回来                   7'第7分钟，毅腾前场任意球冲击受阻，韩旭反抢中正面铲翻陈志钊，国安球员向裁判表示了强烈抗议，韩旭领到黄牌
9'国安队门前危险了                   7'第7分钟，毅腾前场任意球冲击受阻，韩旭反抢中正面铲翻陈志钊，国安球员向裁判表示了强烈抗议，韩旭领到黄牌
10'可惜的是毅腾球员转身的时候没有控好球                   7'第7分钟，毅腾前场任意球冲击受阻，韩旭反抢中正面铲翻陈志钊，国安球员向裁判表示了强烈抗议，韩旭领到黄牌
10'刚刚毅腾这边韩旭是得到了黄牌                   7'第7分钟，毅腾前场任意球冲击受阻，韩旭反抢中正面铲翻陈志钊，国安球员向裁判表示了强烈抗议，韩旭领到黄牌
10'他刚才的动作红牌也是有可能的                   7'第7分钟，毅腾前场任意球冲击受阻，韩旭反抢中正面铲翻陈志钊，国安球员向裁判表示了强烈抗议，韩旭领到黄牌
10'哈尔滨毅腾长传直接打到对方禁区里                   7'第7分钟，毅腾前场任意球冲击受阻，韩旭反抢中正面铲翻陈志钊，国安球员向裁判表示了强烈抗议，韩旭领到黄牌
10'罗德瑞格没有追上啊                   7'第7分钟，毅腾前场任意球冲击受阻，韩旭反抢中正面铲翻陈志钊，国安球员向裁判表示了强烈抗议，韩旭领到黄牌
14'土豪-林总：张成栋受伤对国安的边路进攻和防守的影响都很大，导致前几场球，周挺这边频频出错。【不能总指着他一个人这边吧】                   14'第14分钟，赵和靖左路突然前插造成李健禁区内传球失误，乌塔卡中路转身攻门被福福封堵出底线
14'赵和靖左路突破到禁区内被铲了一下                   14'第14分钟，赵和靖左路突然前插造成李健禁区内传球失误，乌塔卡中路转身攻门被福福封堵出底线
14'乌塔卡禁区内接球转身打门又被后卫碰出底线                   14'第14分钟，赵和靖左路突然前插造成李健禁区内传球失误，乌塔卡中路转身攻门被福福封堵出底线
15'国安队角球开出，威胁不大                   14'第14分钟，赵和靖左路突然前插造成李健禁区内传球失误，乌塔卡中路转身攻门被福福封堵出底线
15'小左家的傻瓜：左翼威武、给个上墙的机会啊！国安加油！【给你一个上墙的机会】                   14'第14分钟，赵和靖左路突然前插造成李健禁区内传球失误，乌塔卡中路转身攻门被福福封堵出底线
16'最爱长春亚泰：哈尔滨如果不能早点进球，这场比赛够呛拿三分【一分对于他们来说应该也可以接受】                   14'第14分钟，赵和靖左路突然前插造成李健禁区内传球失误，乌塔卡中路转身攻门被福福封堵出底线
17'这段时间，国安队控制住了场上的节奏                   14'第14分钟，赵和靖左路突然前插造成李健禁区内传球失误，乌塔卡中路转身攻门被福福封堵出底线
17'禁区外围，国安队打门没有什么力量                   14'第14分钟，赵和靖左路突然前插造成李健禁区内传球失误，乌塔卡中路转身攻门被福福封堵出底线
18'张稀哲左路起球被顶出                   18'第18分钟，陈志钊右路内切低射力道不大，毅腾门将郭纯泉将球没收
18'韩旭拿球给到罗德瑞格                   18'第18分钟，陈志钊右路内切低射力道不大，毅腾门将郭纯泉将球没收
18'毅腾中场拿球在组织                   18'第18分钟，陈志钊右路内切低射力道不大，毅腾门将郭纯泉将球没收
20'这段时间，毅腾的拼抢很凶                   18'第18分钟，陈志钊右路内切低射力道不大，毅腾门将郭纯泉将球没收
20'比赛打了20分钟，两队都没有很好的得分机会                   18'第18分钟，陈志钊右路内切低射力道不大，毅腾门将郭纯泉将球没收
21'希望1216：从国安的历史看通常会有触底后的报复性反弹【确实有几年在亚冠被淘汰后有反弹】                   18'第18分钟，陈志钊右路内切低射力道不大，毅腾门将郭纯泉将球没收
21'罗德瑞格中场抢球犯规                   18'第18分钟，陈志钊右路内切低射力道不大，毅腾门将郭纯泉将球没收
21'希望1216：从国安的历史看通常会有触底后的报复性反弹【确实有几年在亚冠被淘汰后有反弹】                   21'第21分钟，张晓斌将球打到右路空档，陈志钊底线前传中，巴塔拉前点包抄攻门瞬间被毅腾防线抢先破坏
21'罗德瑞格中场抢球犯规                   21'第21分钟，张晓斌将球打到右路空档，陈志钊底线前传中，巴塔拉前点包抄攻门瞬间被毅腾防线抢先破坏
22'国安队底线倒三角传过来                   21'第21分钟，张晓斌将球打到右路空档，陈志钊底线前传中，巴塔拉前点包抄攻门瞬间被毅腾防线抢先破坏
22'巴塔拉的打门被封堵                   21'第21分钟，张晓斌将球打到右路空档，陈志钊底线前传中，巴塔拉前点包抄攻门瞬间被毅腾防线抢先破坏
23'乌塔卡禁区内接球                   21'第21分钟，张晓斌将球打到右路空档，陈志钊底线前传中，巴塔拉前点包抄攻门瞬间被毅腾防线抢先破坏
