8'郭亮带球内切时被祖玛铲翻在地                   8'第8分钟，祖玛中场丢球回抢背后有犯规动作，主裁判向其出示本场第一张黄牌
8'祖玛被黄牌警告                   8'第8分钟，祖玛中场丢球回抢背后有犯规动作，主裁判向其出示本场第一张黄牌
9'郑龙站在球前，准备主罚                   8'第8分钟，祖玛中场丢球回抢背后有犯规动作，主裁判向其出示本场第一张黄牌
10'郑龙的任意球开出，矫喆的头槌攻门，打在了门楣上，又被门将拖出横梁                   8'第8分钟，祖玛中场丢球回抢背后有犯规动作，主裁判向其出示本场第一张黄牌
11'角球机会，郑龙开到后点，邹正抬脚就射，可惜没打上力量                   8'第8分钟，祖玛中场丢球回抢背后有犯规动作，主裁判向其出示本场第一张黄牌
11'角球机会，郑龙开到后点，邹正抬脚就射，可惜没打上力量                   11'第11分钟，青岛队前场左路角球机会，郑龙主罚到球门后点，邹正迎球直接射门，可惜没有把握好直接出了底线
12'富力目前在后场倒球，前场没啥好机会                   11'第11分钟，青岛队前场左路角球机会，郑龙主罚到球门后点，邹正迎球直接射门，可惜没有把握好直接出了底线
12'青岛队球员心态很放松，没机会不急于攻到前场                   11'第11分钟，青岛队前场左路角球机会，郑龙主罚到球门后点，邹正迎球直接射门，可惜没有把握好直接出了底线
13'邹正边路的传球传出了边线                   11'第11分钟，青岛队前场左路角球机会，郑龙主罚到球门后点，邹正迎球直接射门，可惜没有把握好直接出了底线
14'矫喆后场断球，转移给莫拉德                   11'第11分钟，青岛队前场左路角球机会，郑龙主罚到球门后点，邹正迎球直接射门，可惜没有把握好直接出了底线
14'莫拉德漂亮的跳球过人后，被张耀坤放倒                   11'第11分钟，青岛队前场左路角球机会，郑龙主罚到球门后点，邹正迎球直接射门，可惜没有把握好直接出了底线
14'青岛队获得一个任意球机会，没啥效果                   11'第11分钟，青岛队前场左路角球机会，郑龙主罚到球门后点，邹正迎球直接射门，可惜没有把握好直接出了底线
22'李岩1挑3，边路漂亮的过人，可惜球被古斯塔沃铲除了底线                   21'第21分钟，广州富力前场左路形成突破，姜宁边路突破横拉中路起脚射门前青岛后卫有犯规动作，但主裁判并没有表示球到右路空挡，拉斐尔跟进直接右脚劲射，可惜高出了横梁
22'姜宁边路突破后的内切突进                   21'第21分钟，广州富力前场左路形成突破，姜宁边路突破横拉中路起脚射门前青岛后卫有犯规动作，但主裁判并没有表示球到右路空挡，拉斐尔跟进直接右脚劲射，可惜高出了横梁
23'拉斐尔的打门打了一脚高射炮                   21'第21分钟，广州富力前场左路形成突破，姜宁边路突破横拉中路起脚射门前青岛后卫有犯规动作，但主裁判并没有表示球到右路空挡，拉斐尔跟进直接右脚劲射，可惜高出了横梁
23'雅库布前场抢球犯规了                   21'第21分钟，广州富力前场左路形成突破，姜宁边路突破横拉中路起脚射门前青岛后卫有犯规动作，但主裁判并没有表示球到右路空挡，拉斐尔跟进直接右脚劲射，可惜高出了横梁
34'进球了，雅库布                   34'第34分钟，广州富力一次精彩反击终于打破场上僵局，拉斐尔前场右路突进过了古斯塔沃防守横敲中路空挡，雅库布巧妙控制下球摆脱防守右脚捅射破门，场上比分改写为0比1
36'富力的反击，拉斐尔边路带球快速突破后传到门前，雅库布拿球后躲过防守队员的封堵，一脚推射，球从牟鹏飞的身下飞进球门                   34'第34分钟，广州富力一次精彩反击终于打破场上僵局，拉斐尔前场右路突进过了古斯塔沃防守横敲中路空挡，雅库布巧妙控制下球摆脱防守右脚捅射破门，场上比分改写为0比1
37'接下来的比赛应该会精彩不少，相信青岛队不会甘于落后的局面                   34'第34分钟，广州富力一次精彩反击终于打破场上僵局，拉斐尔前场右路突进过了古斯塔沃防守横敲中路空挡，雅库布巧妙控制下球摆脱防守右脚捅射破门，场上比分改写为0比1
44'雅库布禁区线上想要打门，球被梅尔坎抢先解围了                   43'第43分钟，拉斐尔前场右路再次形成突破传中，姜宁前点抢点射门被后卫破坏
45'拉斐尔直传找祖玛，力量有些大，直接出了底线                   43'第43分钟，拉斐尔前场右路再次形成突破传中，姜宁前点抢点射门被后卫破坏
46'上半场补时1分钟                   43'第43分钟，拉斐尔前场右路再次形成突破传中，姜宁前点抢点射门被后卫破坏
46'青岛队前场的界外球                   43'第43分钟，拉斐尔前场右路再次形成突破传中，姜宁前点抢点射门被后卫破坏
46'上半场补时1分钟                   46'下半场易边再战，比分落后的青岛中能加强进攻，第1分钟换了两名进攻球员
46'青岛队前场的界外球                   46'下半场易边再战，比分落后的青岛中能加强进攻，第1分钟换了两名进攻球员
47'郭亮边路传中，莫拉德的头球顶出了底线                   46'下半场易边再战，比分落后的青岛中能加强进攻，第1分钟换了两名进攻球员
64'下半场开始了                   61'第61分钟，法利亚斯用张远替换进球功臣雅库布登场，加强反击的速度
