3'战术角球开出，马塞洛的传中到前点                   3'开场仅3分钟，纳乔角球混战中头球摆渡，拉莫斯小禁区前头球攻门高出
3'胡布尼克将球解围出底线！！                   3'开场仅3分钟，纳乔角球混战中头球摆渡，拉莫斯小禁区前头球攻门高出
3'皇马再次获得左侧角球机会！！                   3'开场仅3分钟，纳乔角球混战中头球摆渡，拉莫斯小禁区前头球攻门高出
3'克罗斯角球开出到门前，拉莫斯的头球，顶高                   3'开场仅3分钟，纳乔角球混战中头球摆渡，拉莫斯小禁区前头球攻门高出
4'林贝尔斯基前场左路拿球，外脚背横传到门前                   3'开场仅3分钟，纳乔角球混战中头球摆渡，拉莫斯小禁区前头球攻门高出
5'卡塞米罗回防，抢在塞尔马克之前，将球解围                   3'开场仅3分钟，纳乔角球混战中头球摆渡，拉莫斯小禁区前头球攻门高出
5'伊斯科左路拿球准备反击，被佩特泽拉拉倒在地                   3'开场仅3分钟，纳乔角球混战中头球摆渡，拉莫斯小禁区前头球攻门高出
5'巴斯克斯前场右路拿球，下底横传，被解围出底线                   3'开场仅3分钟，纳乔角球混战中头球摆渡，拉莫斯小禁区前头球攻门高出
6'皇马再次获得了右侧角球机会！！                   3'开场仅3分钟，纳乔角球混战中头球摆渡，拉莫斯小禁区前头球攻门高出
6'克罗斯主罚开出到门前，拉莫斯的头球                   3'开场仅3分钟，纳乔角球混战中头球摆渡，拉莫斯小禁区前头球攻门高出
6'弹地后击中左侧立柱弹回                   3'开场仅3分钟，纳乔角球混战中头球摆渡，拉莫斯小禁区前头球攻门高出
6'门前混战，拉莫斯再抢点捅射，被鲁什卡没收                   3'开场仅3分钟，纳乔角球混战中头球摆渡，拉莫斯小禁区前头球攻门高出
11'哈弗尔挑球过人，拉莫斯的手球违例                   11'皇马第11分钟取得领先，卢卡斯右路传中，本泽马小禁区左侧头槌破门
11'林贝尔斯基左路直塞打身后                   11'皇马第11分钟取得领先，卢卡斯右路传中，本泽马小禁区左侧头槌破门
11'佩特泽拉拿球强突，内切到禁区                   11'皇马第11分钟取得领先，卢卡斯右路传中，本泽马小禁区左侧头槌破门
12'小角度打门，被纳瓦斯封堵                   11'皇马第11分钟取得领先，卢卡斯右路传中，本泽马小禁区左侧头槌破门
12'接着再补，打在了边网上                   11'皇马第11分钟取得领先，卢卡斯右路传中，本泽马小禁区左侧头槌破门
12'皇马进球了！！1-0！！                   11'皇马第11分钟取得领先，卢卡斯右路传中，本泽马小禁区左侧头槌破门
12'本泽马的头球建功！                   11'皇马第11分钟取得领先，卢卡斯右路传中，本泽马小禁区左侧头槌破门
12'莫德里奇右路拿球，直塞巴斯克斯，巴斯克斯内切传中到后点，本泽马插上附身头球冲顶顶进！！                   11'皇马第11分钟取得领先，卢卡斯右路传中，本泽马小禁区左侧头槌破门
14'塞尔马克中场拿球强突，卡塞米罗上抢阻挡犯规                   11'皇马第11分钟取得领先，卢卡斯右路传中，本泽马小禁区左侧头槌破门
36'克罗斯示意这是自己反击的机会，找裁判要黄牌，裁判摇手拒绝                   36'第36分钟，矿工门将鲁斯卡传球失误，但伊斯科禁区右肋10码处挑射擦左侧立柱偏出
36'皇马前场再攻，莫德里奇的斜塞找伊斯科                   36'第36分钟，矿工门将鲁斯卡传球失误，但伊斯科禁区右肋10码处挑射擦左侧立柱偏出
36'伊斯科禁区右侧面对出击的鲁什卡                   36'第36分钟，矿工门将鲁斯卡传球失误，但伊斯科禁区右肋10码处挑射擦左侧立柱偏出
36'挑射打远角，打偏！！                   36'第36分钟，矿工门将鲁斯卡传球失误，但伊斯科禁区右肋10码处挑射擦左侧立柱偏出
37'这球本泽马和克罗斯在门前都是空位啊                   36'第36分钟，矿工门将鲁斯卡传球失误，但伊斯科禁区右肋10码处挑射擦左侧立柱偏出
37'克罗斯禁区外拿球，斜传右侧给巴斯克斯                   36'第36分钟，矿工门将鲁斯卡传球失误，但伊斯科禁区右肋10码处挑射擦左侧立柱偏出
37'巴斯克斯的下底横传，被挡出底线                   36'第36分钟，矿工门将鲁斯卡传球失误，但伊斯科禁区右肋10码处挑射擦左侧立柱偏出
37'皇马获得了右侧角球机会！！                   36'第36分钟，矿工门将鲁斯卡传球失误，但伊斯科禁区右肋10码处挑射擦左侧立柱偏出
38'克罗斯战术任意球，地滚球直接传到禁区                   36'第36分钟，矿工门将鲁斯卡传球失误，但伊斯科禁区右肋10码处挑射擦左侧立柱偏出
