2'弗罗西诺内球员克里维洛拼抢犯规,对手获得控球权.                   1'第1分钟，莫拉塔突至右侧，小角度半凌空抽射稍稍偏出
2'Juan Cuadrado为尤文图斯在右路,赢得一个任意球.                   1'第1分钟，莫拉塔突至右侧，小角度半凌空抽射稍稍偏出
4'弗罗西诺内球员莱亚利一脚直塞球给西奧法尼,但是边裁举旗显示后者已经越位.                   1'第1分钟，莫拉塔突至右侧，小角度半凌空抽射稍稍偏出
73'进球啦！！！尤文图斯球员Juan Cuadrado大禁区中央右脚射门,球从中路飞进球门,球进了!助攻的是阿莱士-桑多罗. 弗罗西诺内 0-1 尤文图斯.                   73'尤文第73分钟打破僵局
73'进球啦！！！尤文图斯球员Juan Cuadrado大禁区中央右脚射门,球从中路飞进球门,球进了!助攻的是阿莱士-桑多罗. 弗罗西诺内 0-1 尤文图斯.                   73'尤文第73分钟打破僵局
76'弗罗西诺内球员萨马科拼抢犯规,对手获得控球权.                   73'尤文第73分钟打破僵局
76'弗罗西诺内球员萨马科拼抢犯规,对手获得控球权.                   73'尤文第73分钟打破僵局
76'迪巴拉为尤文图斯在对方半场,赢得一个任意球.                   73'尤文第73分钟打破僵局
76'迪巴拉为尤文图斯在对方半场,赢得一个任意球.                   73'尤文第73分钟打破僵局
76'黄牌！弗罗西诺内球员萨马科因为恶意犯规,被主裁判出示黄牌.                   73'尤文第73分钟打破僵局
76'黄牌！弗罗西诺内球员萨马科因为恶意犯规,被主裁判出示黄牌.                   73'尤文第73分钟打破僵局
47'尤文图斯球员迪巴拉大禁区外左脚射门,被防守球员封堵.给他传球的是博努奇.                   46'补时第1分钟，莫拉塔突破防守禁区前沿无私分球，迪巴拉右侧距门12米处左脚弧线球挂远角，2比0，迪巴拉本赛季每个月都有进球，本赛季意甲参与21球(13球，8次助攻)，仅次于伊瓜因(参与26球)
48'基布萨为弗罗西诺内赢得一个任意球.                   46'补时第1分钟，莫拉塔突破防守禁区前沿无私分球，迪巴拉右侧距门12米处左脚弧线球挂远角，2比0，迪巴拉本赛季每个月都有进球，本赛季意甲参与21球(13球，8次助攻)，仅次于伊瓜因(参与26球)
48'尤文图斯球员斯图若多拼抢犯规,对手获得控球权.                   46'补时第1分钟，莫拉塔突破防守禁区前沿无私分球，迪巴拉右侧距门12米处左脚弧线球挂远角，2比0，迪巴拉本赛季每个月都有进球，本赛季意甲参与21球(13球，8次助攻)，仅次于伊瓜因(参与26球)
48'弗罗西诺内球员基布萨拼抢犯规,对手获得控球权.                   46'补时第1分钟，莫拉塔突破防守禁区前沿无私分球，迪巴拉右侧距门12米处左脚弧线球挂远角，2比0，迪巴拉本赛季每个月都有进球，本赛季意甲参与21球(13球，8次助攻)，仅次于伊瓜因(参与26球)
48'莫拉塔为尤文图斯赢得一个任意球.                   46'补时第1分钟，莫拉塔突破防守禁区前沿无私分球，迪巴拉右侧距门12米处左脚弧线球挂远角，2比0，迪巴拉本赛季每个月都有进球，本赛季意甲参与21球(13球，8次助攻)，仅次于伊瓜因(参与26球)
49'弗罗西诺内球员迪奥尼斯大禁区外尝试右脚射门,可惜皮球高出右上角球门.给他传球的是西奧法尼.                   46'补时第1分钟，莫拉塔突破防守禁区前沿无私分球，迪巴拉右侧距门12米处左脚弧线球挂远角，2比0，迪巴拉本赛季每个月都有进球，本赛季意甲参与21球(13球，8次助攻)，仅次于伊瓜因(参与26球)
