12'鲍里索夫禁区外围远射！！                   12'第12分钟，德拉甘传球，巴加25码处劲射憾中右侧立柱弹回
12'球打在了立柱上！！                   12'第12分钟，德拉甘传球，巴加25码处劲射憾中右侧立柱弹回
12'巴加的打门！！                   12'第12分钟，德拉甘传球，巴加25码处劲射憾中右侧立柱弹回
12'巴加禁区弧顶处外脚背抽一脚                   12'第12分钟，德拉甘传球，巴加25码处劲射憾中右侧立柱弹回
13'科帕已经做出反应，但还是打在立柱上                   12'第12分钟，德拉甘传球，巴加25码处劲射憾中右侧立柱弹回
13'鲍里索夫获得角球机会                   12'第12分钟，德拉甘传球，巴加25码处劲射憾中右侧立柱弹回
13'角球送门前                   12'第12分钟，德拉甘传球，巴加25码处劲射憾中右侧立柱弹回
13'乱战中被切尔西破坏                   12'第12分钟，德拉甘传球，巴加25码处劲射憾中右侧立柱弹回
13'切尔西这段时间防线也是高压                   12'第12分钟，德拉甘传球，巴加25码处劲射憾中右侧立柱弹回
14'鲍里索夫前场又获得一个定位球                   12'第12分钟，德拉甘传球，巴加25码处劲射憾中右侧立柱弹回
14'菲利彭科任意球给到前点                   12'第12分钟，德拉甘传球，巴加25码处劲射憾中右侧立柱弹回
14'头球被顶出来                   12'第12分钟，德拉甘传球，巴加25码处劲射憾中右侧立柱弹回
14'底线在突被让出了底线                   12'第12分钟，德拉甘传球，巴加25码处劲射憾中右侧立柱弹回
41'切尔西右路连续撞墙到禁区                   41'切尔西第41分钟险些破门，阿扎尔开出角球，吉鲁前点10码处甩头攻门，皮球擦远角立柱稍稍偏出
41'鲍里索夫防守将球碰出底线                   41'切尔西第41分钟险些破门，阿扎尔开出角球，吉鲁前点10码处甩头攻门，皮球擦远角立柱稍稍偏出
41'切尔西角球                   41'切尔西第41分钟险些破门，阿扎尔开出角球，吉鲁前点10码处甩头攻门，皮球擦远角立柱稍稍偏出
41'角球给到中路                   41'切尔西第41分钟险些破门，阿扎尔开出角球，吉鲁前点10码处甩头攻门，皮球擦远角立柱稍稍偏出
41'吉鲁甩头攻门                   41'切尔西第41分钟险些破门，阿扎尔开出角球，吉鲁前点10码处甩头攻门，皮球擦远角立柱稍稍偏出
41'稍稍偏了一点点                   41'切尔西第41分钟险些破门，阿扎尔开出角球，吉鲁前点10码处甩头攻门，皮球擦远角立柱稍稍偏出
42'现场的雾气也是比较大                   41'切尔西第41分钟险些破门，阿扎尔开出角球，吉鲁前点10码处甩头攻门，皮球擦远角立柱稍稍偏出
42'鲍里索夫右路突破被拦截                   41'切尔西第41分钟险些破门，阿扎尔开出角球，吉鲁前点10码处甩头攻门，皮球擦远角立柱稍稍偏出
43'切尔西快速进攻到了前场                   41'切尔西第41分钟险些破门，阿扎尔开出角球，吉鲁前点10码处甩头攻门，皮球擦远角立柱稍稍偏出
43'中路三人的撞墙                   41'切尔西第41分钟险些破门，阿扎尔开出角球，吉鲁前点10码处甩头攻门，皮球擦远角立柱稍稍偏出
43'吉鲁被拉倒了                   41'切尔西第41分钟险些破门，阿扎尔开出角球，吉鲁前点10码处甩头攻门，皮球擦远角立柱稍稍偏出
