1'上半场比赛开始！！                   1'斯旺西第1分钟在两个边路展开积极攻势
1'首先开球的是阿森纳                   1'斯旺西第1分钟在两个边路展开积极攻势
1'本场比赛厄齐尔病愈回归，加布里埃尔轮换进入首发，维尔贝克继续替补                   1'斯旺西第1分钟在两个边路展开积极攻势
2'戴尔左路突破被破坏                   1'斯旺西第1分钟在两个边路展开积极攻势
2'斯旺西禁区弧顶拿球被断                   1'斯旺西第1分钟在两个边路展开积极攻势
3'斯旺西中场争顶下来                   1'斯旺西第1分钟在两个边路展开积极攻势
3'阿森纳将球控下来                   1'斯旺西第1分钟在两个边路展开积极攻势
3'后场阿森纳将球转移                   1'斯旺西第1分钟在两个边路展开积极攻势
3'科斯切尔尼将球转移到边路                   1'斯旺西第1分钟在两个边路展开积极攻势
3'左路的推进效果不好                   1'斯旺西第1分钟在两个边路展开积极攻势
4'阿森纳左路挑传身后                   1'斯旺西第1分钟在两个边路展开积极攻势
28'戴尔前场拿球往边路分                   28'阿森纳首次射门出现在第28分钟，伊沃比传球，桑切斯左路禁区前劲射近角被法比安斯基稳稳没收
28'西古德森禁区内接球                   28'阿森纳首次射门出现在第28分钟，伊沃比传球，桑切斯左路禁区前劲射近角被法比安斯基稳稳没收
28'直接凌空打门                   28'阿森纳首次射门出现在第28分钟，伊沃比传球，桑切斯左路禁区前劲射近角被法比安斯基稳稳没收
28'打得有些勉强                   28'阿森纳首次射门出现在第28分钟，伊沃比传球，桑切斯左路禁区前劲射近角被法比安斯基稳稳没收
28'没有完全发上力量                   28'阿森纳首次射门出现在第28分钟，伊沃比传球，桑切斯左路禁区前劲射近角被法比安斯基稳稳没收
29'伊沃比中路拿球给到左路                   28'阿森纳首次射门出现在第28分钟，伊沃比传球，桑切斯左路禁区前劲射近角被法比安斯基稳稳没收
29'桑切斯禁区外围抽射                   28'阿森纳首次射门出现在第28分钟，伊沃比传球，桑切斯左路禁区前劲射近角被法比安斯基稳稳没收
29'直接打近门柱                   28'阿森纳首次射门出现在第28分钟，伊沃比传球，桑切斯左路禁区前劲射近角被法比安斯基稳稳没收
29'法比安斯基侧扑将球压在身下                   28'阿森纳首次射门出现在第28分钟，伊沃比传球，桑切斯左路禁区前劲射近角被法比安斯基稳稳没收
54'0-2！！！                   54'阿森纳第54分钟扩大比分，伊沃比禁区右侧传中打在封堵的杰克-科克腿上偏转吊入大门，2-0
54'伊沃比！！                   54'阿森纳第54分钟扩大比分，伊沃比禁区右侧传中打在封堵的杰克-科克腿上偏转吊入大门，2-0
55'伊沃比右路禁区内接球，劲射打在防守球员推射，球折射后飞入网窝！！                   54'阿森纳第54分钟扩大比分，伊沃比禁区右侧传中打在封堵的杰克-科克腿上偏转吊入大门，2-0
55'法比安斯基已经尽力了                   54'阿森纳第54分钟扩大比分，伊沃比禁区右侧传中打在封堵的杰克-科克腿上偏转吊入大门，2-0
55'斯旺西左路起球                   54'阿森纳第54分钟扩大比分，伊沃比禁区右侧传中打在封堵的杰克-科克腿上偏转吊入大门，2-0
56'穆斯塔菲前点将球解围                   54'阿森纳第54分钟扩大比分，伊沃比禁区右侧传中打在封堵的杰克-科克腿上偏转吊入大门，2-0
67'0-3！！！                   67'阿森纳第67分钟锁定胜局，伊沃比禁区左侧低传被诺顿挡入自家大门，3-0
68'伊沃比左路禁区，禁区内晃开空挡后横扫门前，诺顿这边还没反应过来自己就将球碰入球门！！                   67'阿森纳第67分钟锁定胜局，伊沃比禁区左侧低传被诺顿挡入自家大门，3-0
69'这球也是算了诺顿的乌龙                   67'阿森纳第67分钟锁定胜局，伊沃比禁区左侧低传被诺顿挡入自家大门，3-0
69'伊沃比的运气很好啊                   67'阿森纳第67分钟锁定胜局，伊沃比禁区左侧低传被诺顿挡入自家大门，3-0
70'阿森纳右路挑传到禁区                   67'阿森纳第67分钟锁定胜局，伊沃比禁区左侧低传被诺顿挡入自家大门，3-0
70'扎卡远射将球打高                   67'阿森纳第67分钟锁定胜局，伊沃比禁区左侧低传被诺顿挡入自家大门，3-0
70'斯旺西换人                   67'阿森纳第67分钟锁定胜局，伊沃比禁区左侧低传被诺顿挡入自家大门，3-0
