7'申花右路的强行传中拿到一个边线球                   7'第7分钟申花队王寿挺在对方后场被王大龙放倒，但莫雷诺的任意球打在人墙里弹出
7'莫雷诺左路头球摆渡，福福把球破坏                   7'第7分钟申花队王寿挺在对方后场被王大龙放倒，但莫雷诺的任意球打在人墙里弹出
7'柏佳骏左路人球分过不成，还是被福福破坏出边线                   7'第7分钟申花队王寿挺在对方后场被王大龙放倒，但莫雷诺的任意球打在人墙里弹出
8'王寿挺中路插上和队友做2过1被放倒，任意球                   7'第7分钟申花队王寿挺在对方后场被王大龙放倒，但莫雷诺的任意球打在人墙里弹出
8'任意球没有过人墙，球到外围还是申花控制                   7'第7分钟申花队王寿挺在对方后场被王大龙放倒，但莫雷诺的任意球打在人墙里弹出
9'多利前场反抢，沿右路突破传中                   7'第7分钟申花队王寿挺在对方后场被王大龙放倒，但莫雷诺的任意球打在人墙里弹出
9'后点许东包抄横传门前，邱盛炯把球扑出去                   7'第7分钟申花队王寿挺在对方后场被王大龙放倒，但莫雷诺的任意球打在人墙里弹出
10'路易斯回撤中场接应被放倒                   7'第7分钟申花队王寿挺在对方后场被王大龙放倒，但莫雷诺的任意球打在人墙里弹出
10'队医上场了，争顶时被肘击了一下                   7'第7分钟申花队王寿挺在对方后场被王大龙放倒，但莫雷诺的任意球打在人墙里弹出
15'用户uijhxv7bzl： 能，战斗，哈尔滨！ （比赛一场场拼吧！）                   15'第15分钟多利突破制造任意球，卜鑫平快球送到禁区，乱军中哈尔滨队员头球一蹭，正好被邱盛炯接住
15'多利前场拿球突破被保罗绊倒，任意球                   15'第15分钟多利突破制造任意球，卜鑫平快球送到禁区，乱军中哈尔滨队员头球一蹭，正好被邱盛炯接住
16'卜鑫任意球搓传禁区，李佳赫头球蹭射被邱盛炯扑住！                   15'第15分钟多利突破制造任意球，卜鑫平快球送到禁区，乱军中哈尔滨队员头球一蹭，正好被邱盛炯接住
17'毅腾长传禁区，邱盛炯出击把球没收                   15'第15分钟多利突破制造任意球，卜鑫平快球送到禁区，乱军中哈尔滨队员头球一蹭，正好被邱盛炯接住
17'多利右路接应，保罗把球铲出界外                   15'第15分钟多利突破制造任意球，卜鑫平快球送到禁区，乱军中哈尔滨队员头球一蹭，正好被邱盛炯接住
17'裁判吹罚保罗的犯规，给了他一张黄牌！                   15'第15分钟多利突破制造任意球，卜鑫平快球送到禁区，乱军中哈尔滨队员头球一蹭，正好被邱盛炯接住
18'卜鑫任意球开前点，韩德明抢点垫射打偏                   15'第15分钟多利突破制造任意球，卜鑫平快球送到禁区，乱军中哈尔滨队员头球一蹭，正好被邱盛炯接住
29'李文博右路助攻，带球被绊倒，任意球                   29'第29分钟曹S定对判罚不满，对裁判抱怨，结果被主裁李俊出示黄牌，巴蒂斯塔在教练席上勃然大怒
29'莫雷诺禁区前胸部卸球，还是没有控制好                   29'第29分钟曹S定对判罚不满，对裁判抱怨，结果被主裁李俊出示黄牌，巴蒂斯塔在教练席上勃然大怒
30'李家赫右路拿球被破坏出边线                   29'第29分钟曹S定对判罚不满，对裁判抱怨，结果被主裁李俊出示黄牌，巴蒂斯塔在教练席上勃然大怒
30'曹赟定对裁判判罚不满，和边裁争执了几句                   29'第29分钟曹S定对判罚不满，对裁判抱怨，结果被主裁李俊出示黄牌，巴蒂斯塔在教练席上勃然大怒
30'主裁过来黄牌警告了曹赟定                   29'第29分钟曹S定对判罚不满，对裁判抱怨，结果被主裁李俊出示黄牌，巴蒂斯塔在教练席上勃然大怒
31'李文博后场头球解围没有顶远                   29'第29分钟曹S定对判罚不满，对裁判抱怨，结果被主裁李俊出示黄牌，巴蒂斯塔在教练席上勃然大怒
31'左路卜鑫拿球直接远射，打飞了                   29'第29分钟曹S定对判罚不满，对裁判抱怨，结果被主裁李俊出示黄牌，巴蒂斯塔在教练席上勃然大怒
31'曹赟定斜传禁区，球被解围出                   29'第29分钟曹S定对判罚不满，对裁判抱怨，结果被主裁李俊出示黄牌，巴蒂斯塔在教练席上勃然大怒
32'李健右路传中被阻挡                   29'第29分钟曹S定对判罚不满，对裁判抱怨，结果被主裁李俊出示黄牌，巴蒂斯塔在教练席上勃然大怒
36'二点球双方抢成一团，高球还是被门将拿住了                   36'第36分钟，哈尔滨毅腾队率先破门，左后卫长传到前场，多利从申花后卫群中快速杀出，一下形成单刀局面，邱盛炯无奈弃门出击，多利抢在邱盛炯之前起脚挑射，皮球飞入大门，1比0
36'支持西部球队：奥特曼怎么来播中超了？ （诶~被你发现了！）                   36'第36分钟，哈尔滨毅腾队率先破门，左后卫长传到前场，多利从申花后卫群中快速杀出，一下形成单刀局面，邱盛炯无奈弃门出击，多利抢在邱盛炯之前起脚挑射，皮球飞入大门，1比0
37'路易斯左路拿球转身，还是被福福先破坏出边线                   36'第36分钟，哈尔滨毅腾队率先破门，左后卫长传到前场，多利从申花后卫群中快速杀出，一下形成单刀局面，邱盛炯无奈弃门出击，多利抢在邱盛炯之前起脚挑射，皮球飞入大门，1比0
37'王寿挺斜传禁区，高迪斜插没有抢到点                   36'第36分钟，哈尔滨毅腾队率先破门，左后卫长传到前场，多利从申花后卫群中快速杀出，一下形成单刀局面，邱盛炯无奈弃门出击，多利抢在邱盛炯之前起脚挑射，皮球飞入大门，1比0
38'毅腾进球了！！！                   36'第36分钟，哈尔滨毅腾队率先破门，左后卫长传到前场，多利从申花后卫群中快速杀出，一下形成单刀局面，邱盛炯无奈弃门出击，多利抢在邱盛炯之前起脚挑射，皮球飞入大门，1比0
38'进球的是多利！！！                   36'第36分钟，哈尔滨毅腾队率先破门，左后卫长传到前场，多利从申花后卫群中快速杀出，一下形成单刀局面，邱盛炯无奈弃门出击，多利抢在邱盛炯之前起脚挑射，皮球飞入大门，1比0
38'毅腾后场长传反击，多利插上反越位到禁区前，抢在出击的邱盛炯之前挑射破门！！！                   36'第36分钟，哈尔滨毅腾队率先破门，左后卫长传到前场，多利从申花后卫群中快速杀出，一下形成单刀局面，邱盛炯无奈弃门出击，多利抢在邱盛炯之前起脚挑射，皮球飞入大门，1比0
39'毅腾1-0领先绿地申花！                   36'第36分钟，哈尔滨毅腾队率先破门，左后卫长传到前场，多利从申花后卫群中快速杀出，一下形成单刀局面，邱盛炯无奈弃门出击，多利抢在邱盛炯之前起脚挑射，皮球飞入大门，1比0
39'申花前场反击                   36'第36分钟，哈尔滨毅腾队率先破门，左后卫长传到前场，多利从申花后卫群中快速杀出，一下形成单刀局面，邱盛炯无奈弃门出击，多利抢在邱盛炯之前起脚挑射，皮球飞入大门，1比0
39'申花扳平了比分！！！                   36'第36分钟，哈尔滨毅腾队率先破门，左后卫长传到前场，多利从申花后卫群中快速杀出，一下形成单刀局面，邱盛炯无奈弃门出击，多利抢在邱盛炯之前起脚挑射，皮球飞入大门，1比0
39'瞬间扳平比分！！姜坤进球！！！                   36'第36分钟，哈尔滨毅腾队率先破门，左后卫长传到前场，多利从申花后卫群中快速杀出，一下形成单刀局面，邱盛炯无奈弃门出击，多利抢在邱盛炯之前起脚挑射，皮球飞入大门，1比0
38'毅腾进球了！！！                   38'但申花队立刻扳平比分，第38分钟申花传球到对方禁区，对方解围不远，姜坤禁区外起左脚怒射，皮球低平掠过草坪，飞入大门死角，1比1，申花扳平比分
38'进球的是多利！！！                   38'但申花队立刻扳平比分，第38分钟申花传球到对方禁区，对方解围不远，姜坤禁区外起左脚怒射，皮球低平掠过草坪，飞入大门死角，1比1，申花扳平比分
38'毅腾后场长传反击，多利插上反越位到禁区前，抢在出击的邱盛炯之前挑射破门！！！                   38'但申花队立刻扳平比分，第38分钟申花传球到对方禁区，对方解围不远，姜坤禁区外起左脚怒射，皮球低平掠过草坪，飞入大门死角，1比1，申花扳平比分
39'毅腾1-0领先绿地申花！                   38'但申花队立刻扳平比分，第38分钟申花传球到对方禁区，对方解围不远，姜坤禁区外起左脚怒射，皮球低平掠过草坪，飞入大门死角，1比1，申花扳平比分
39'申花前场反击                   38'但申花队立刻扳平比分，第38分钟申花传球到对方禁区，对方解围不远，姜坤禁区外起左脚怒射，皮球低平掠过草坪，飞入大门死角，1比1，申花扳平比分
39'申花扳平了比分！！！                   38'但申花队立刻扳平比分，第38分钟申花传球到对方禁区，对方解围不远，姜坤禁区外起左脚怒射，皮球低平掠过草坪，飞入大门死角，1比1，申花扳平比分
