9'勒沃库森球员弗兰德拼抢犯规,对手获得控球权.                   9'开场9分钟，勒沃库森右路反击传中，拉菲尼亚门前解围救险
9'拉菲尼亚为拜仁慕尼黑赢得一个任意球.                   9'开场9分钟，勒沃库森右路反击传中，拉菲尼亚门前解围救险
11'希尔伯特为勒沃库森赢得一个任意球.                   9'开场9分钟，勒沃库森右路反击传中，拉菲尼亚门前解围救险
11'拜仁慕尼黑球员道格拉斯-科斯塔拼抢犯规,对手获得控球权.                   9'开场9分钟，勒沃库森右路反击传中，拉菲尼亚门前解围救险
11'基米希将球处理出底线,勒沃库森获得角球.                   9'开场9分钟，勒沃库森右路反击传中，拉菲尼亚门前解围救险
12'勒沃库森球员耶德瓦奇大禁区外尝试右脚射门,可惜皮球稍稍偏出了右球门.                   9'开场9分钟，勒沃库森右路反击传中，拉菲尼亚门前解围救险
30'勒沃库森球员布兰特大禁区中央尝试左脚射门,可惜皮球高出球门.给他传球的是弗兰德.                   30'药厂第30分钟浪费机会，福兰德禁区左侧接应过顶球回敲，布兰特在门前10米处左脚铲射高出
32'耶德瓦奇将球处理出底线,拜仁慕尼黑获得角球.                   30'药厂第30分钟浪费机会，福兰德禁区左侧接应过顶球回敲，布兰特在门前10米处左脚铲射高出
32'拜仁慕尼黑球员道格拉斯-科斯塔大禁区外左脚射门,被防守球员封堵.给他传球的是基米希.                   30'药厂第30分钟浪费机会，福兰德禁区左侧接应过顶球回敲，布兰特在门前10米处左脚铲射高出
32'拜仁慕尼黑球员阿拉巴大禁区左侧右脚射门,被防守球员封堵.给他传球的是科曼.                   30'药厂第30分钟浪费机会，福兰德禁区左侧接应过顶球回敲，布兰特在门前10米处左脚铲射高出
33'拜仁慕尼黑球员哈维-马丁内斯大禁区外右脚射门,被防守球员封堵.给他传球的是基米希.                   30'药厂第30分钟浪费机会，福兰德禁区左侧接应过顶球回敲，布兰特在门前10米处左脚铲射高出
33'拜仁慕尼黑球员比达尔大禁区中央头球,被防守球员封堵.给他传球的是哈维-马丁内斯.                   30'药厂第30分钟浪费机会，福兰德禁区左侧接应过顶球回敲，布兰特在门前10米处左脚铲射高出
50'勒沃库森球员耶德瓦奇拼抢犯规,对手获得控球权.                   50'5分钟后，穆勒右路低传，科曼在门前7米处左脚推射被莱诺横身封出
50'科曼为拜仁慕尼黑在左路,赢得一个任意球.                   50'5分钟后，穆勒右路低传，科曼在门前7米处左脚推射被莱诺横身封出
50'黄牌！勒沃库森球员耶德瓦奇因为恶意犯规,被主裁判出示黄牌.                   50'5分钟后，穆勒右路低传，科曼在门前7米处左脚推射被莱诺横身封出
51'坎普尔为勒沃库森赢得一个任意球.                   50'5分钟后，穆勒右路低传，科曼在门前7米处左脚推射被莱诺横身封出
51'拜仁慕尼黑球员科曼拼抢犯规,对手获得控球权.                   50'5分钟后，穆勒右路低传，科曼在门前7米处左脚推射被莱诺横身封出
52'勒沃库森球员文德尔手球犯规,对手获得球权.                   50'5分钟后，穆勒右路低传，科曼在门前7米处左脚推射被莱诺横身封出
59'勒沃库森球员耶德瓦奇拼抢犯规,对手获得控球权.                   59'药厂第59分钟遭遇打击，耶德瓦伊高抬腿放倒穆勒，累计2张黄牌被罚下
59'穆勒为拜仁慕尼黑在对方半场,赢得一个任意球.                   59'药厂第59分钟遭遇打击，耶德瓦伊高抬腿放倒穆勒，累计2张黄牌被罚下
59'勒沃库森球员耶德瓦奇因为恶意犯规,被裁判出示了第二张黄牌.                   59'药厂第59分钟遭遇打击，耶德瓦伊高抬腿放倒穆勒，累计2张黄牌被罚下
60'拜仁慕尼黑换人,罗本换下道格拉斯-科斯塔                   59'药厂第59分钟遭遇打击，耶德瓦伊高抬腿放倒穆勒，累计2张黄牌被罚下
61'射门!!!拜仁慕尼黑球员阿拉巴大禁区外左脚射门,被对方守门员横身扑出.                   59'药厂第59分钟遭遇打击，耶德瓦伊高抬腿放倒穆勒，累计2张黄牌被罚下
61'莱诺将球处理出底线,拜仁慕尼黑获得角球.                   59'药厂第59分钟遭遇打击，耶德瓦伊高抬腿放倒穆勒，累计2张黄牌被罚下
62'勒沃库森换人,德拉戈维奇换下阿兰基斯                   59'药厂第59分钟遭遇打击，耶德瓦伊高抬腿放倒穆勒，累计2张黄牌被罚下
62'拜仁慕尼黑球员科曼大禁区外尝试右脚射门,可惜皮球稍稍偏出了右球门.                   59'药厂第59分钟遭遇打击，耶德瓦伊高抬腿放倒穆勒，累计2张黄牌被罚下
85'拜仁慕尼黑球员拉姆球门线跟前尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是穆勒.                   85'拜仁第85分钟错过良机，基米希挑传，穆勒禁区右侧低传，拉姆在门前5米处扫射贴远门柱而出
88'勒沃库森换人,Leon Bailey换下Kai Havertz                   85'拜仁第85分钟错过良机，基米希挑传，穆勒禁区右侧低传，拉姆在门前5米处扫射贴远门柱而出
