2'本场比赛是下午2点半开始，正是日头高晒之时                   2'第2分钟，绿城队前场将球抢断，但左路直传给大了，被张鹭将球没收
2'绿城左路推进，传中到禁区                   2'第2分钟，绿城队前场将球抢断，但左路直传给大了，被张鹭将球没收
2'辽宁将球破坏了出来，直船球，出了边线                   2'第2分钟，绿城队前场将球抢断，但左路直传给大了，被张鹭将球没收
2'绿城前场将球抢断                   2'第2分钟，绿城队前场将球抢断，但左路直传给大了，被张鹭将球没收
3'左路直传躺大了，张鹭将球没收                   2'第2分钟，绿城队前场将球抢断，但左路直传给大了，被张鹭将球没收
3'辽宁左路组织进行，金泰延传中，被后卫头球解围                   2'第2分钟，绿城队前场将球抢断，但左路直传给大了，被张鹭将球没收
3'布兰丹中路只塞被拦截，金泰延反抢犯规                   2'第2分钟，绿城队前场将球抢断，但左路直传给大了，被张鹭将球没收
4'绿城后场控球，左路递进机会不好，回敲                   2'第2分钟，绿城队前场将球抢断，但左路直传给大了，被张鹭将球没收
4'布兰丹中场拼抢犯规                   2'第2分钟，绿城队前场将球抢断，但左路直传给大了，被张鹭将球没收
5'肇俊哲前场抢断直塞，被绿城后卫破坏                   2'第2分钟，绿城队前场将球抢断，但左路直传给大了，被张鹭将球没收
5'马佐拉右侧中场抢球后推进，郑涛战术犯规将球破坏                   2'第2分钟，绿城队前场将球抢断，但左路直传给大了，被张鹭将球没收
5'绿城后场回球给门将                   2'第2分钟，绿城队前场将球抢断，但左路直传给大了，被张鹭将球没收
6'姜波调整一下被对方前锋逼抢中大脚开球开到了对方球员身上                   6'第6分钟，绿城队把球回传给了门将，门将在辽宁队紧逼下把球开出，辽宁队前场断球，张靖洋吊射稍稍打高
6'张靖洋外围拿球后直接远射稍稍高出                   6'第6分钟，绿城队把球回传给了门将，门将在辽宁队紧逼下把球开出，辽宁队前场断球，张靖洋吊射稍稍打高
6'阿甘左路反抢后试图强行过人，被堵截                   6'第6分钟，绿城队把球回传给了门将，门将在辽宁队紧逼下把球开出，辽宁队前场断球，张靖洋吊射稍稍打高
7'金泰延转移到右路，不过球给大了                   6'第6分钟，绿城队把球回传给了门将，门将在辽宁队紧逼下把球开出，辽宁队前场断球，张靖洋吊射稍稍打高
7'辽宁右路组织进攻，回敲给布兰丹                   6'第6分钟，绿城队把球回传给了门将，门将在辽宁队紧逼下把球开出，辽宁队前场断球，张靖洋吊射稍稍打高
7'布兰丹搓了一下，绿城把球控制了下来                   6'第6分钟，绿城队把球回传给了门将，门将在辽宁队紧逼下把球开出，辽宁队前场断球，张靖洋吊射稍稍打高
8'金泰延禁区前沿分球左侧，特里夫诺维奇挑传门前被杨善平破坏                   6'第6分钟，绿城队把球回传给了门将，门将在辽宁队紧逼下把球开出，辽宁队前场断球，张靖洋吊射稍稍打高
8'阿甘左路接应反击，带球多了，再给马佐拉已经没机会了                   6'第6分钟，绿城队把球回传给了门将，门将在辽宁队紧逼下把球开出，辽宁队前场断球，张靖洋吊射稍稍打高
9'马佐拉的垫射被张鹭伸腿挡出                   6'第6分钟，绿城队把球回传给了门将，门将在辽宁队紧逼下把球开出，辽宁队前场断球，张靖洋吊射稍稍打高
9'马佐拉的垫射被张鹭伸腿挡出                   9'第9分钟，绿城队王林下底传中，阿甘门前垫射被张鹭伸腿挡出，很有威胁
10'回放：王林主攻到中路，马佐拉凌空抽射，张鹭封住了攻门路线                   9'第9分钟，绿城队王林下底传中，阿甘门前垫射被张鹭伸腿挡出，很有威胁
10'阿甘前场拼抢放倒了布兰丹，被口头警告                   9'第9分钟，绿城队王林下底传中，阿甘门前垫射被张鹭伸腿挡出，很有威胁
10'郑涛中路找后点，球给大了                   9'第9分钟，绿城队王林下底传中，阿甘门前垫射被张鹭伸腿挡出，很有威胁
10'姜波把球抱住                   9'第9分钟，绿城队王林下底传中，阿甘门前垫射被张鹭伸腿挡出，很有威胁
11'辽宁左路长传，金东进把球破坏出了边线                   9'第9分钟，绿城队王林下底传中，阿甘门前垫射被张鹭伸腿挡出，很有威胁
12'布兰丹左路传中，第一点被绿城后卫头球顶出                   9'第9分钟，绿城队王林下底传中，阿甘门前垫射被张鹭伸腿挡出，很有威胁
12'辽宁爱抢第二点时，杨善平犯规                   9'第9分钟，绿城队王林下底传中，阿甘门前垫射被张鹭伸腿挡出，很有威胁
12'绿城后场控球，长传塞右路，郑涛头球解围出了边线                   9'第9分钟，绿城队王林下底传中，阿甘门前垫射被张鹭伸腿挡出，很有威胁
16'郑涛中路上抢犯规                   16'第16分钟，辽宁队金泰延左路拿球横传给肇俊哲，肇俊哲横传，埃杜回敲，特里夫诺维奇打门，可惜角度太正，被姜波把球扑住
17'辽宁后场控球，郑涛紧逼下开大脚出了边线                   16'第16分钟，辽宁队金泰延左路拿球横传给肇俊哲，肇俊哲横传，埃杜回敲，特里夫诺维奇打门，可惜角度太正，被姜波把球扑住
17'马佐拉前场和阿甘二过一配合，被对方提前识破                   16'第16分钟，辽宁队金泰延左路拿球横传给肇俊哲，肇俊哲横传，埃杜回敲，特里夫诺维奇打门，可惜角度太正，被姜波把球扑住
18'石柯在卡位时伤到了                   16'第16分钟，辽宁队金泰延左路拿球横传给肇俊哲，肇俊哲横传，埃杜回敲，特里夫诺维奇打门，可惜角度太正，被姜波把球扑住
19'阿甘前场连续自己带球，就是不给呀，机会错失                   16'第16分钟，辽宁队金泰延左路拿球横传给肇俊哲，肇俊哲横传，埃杜回敲，特里夫诺维奇打门，可惜角度太正，被姜波把球扑住
21'辽宁发埃杜右路横传找后点，金泰延没有停好球                   20'第20分钟，马佐拉中场拿球摆脱的时候肇俊哲放铲犯规了，领到了第1分钟第一张黄牌
21'铲传给了布兰丹，后者左脚打门将将偏出                   20'第20分钟，马佐拉中场拿球摆脱的时候肇俊哲放铲犯规了，领到了第1分钟第一张黄牌
21'马佐拉中场拿球摆脱，肇俊哲犯规，吃到了黄牌                   20'第20分钟，马佐拉中场拿球摆脱的时候肇俊哲放铲犯规了，领到了第1分钟第一张黄牌
22'绿城右路进攻，大黑将志越位了                   20'第20分钟，马佐拉中场拿球摆脱的时候肇俊哲放铲犯规了，领到了第1分钟第一张黄牌
