2'倒脚给门将埃德森-莫赖斯！                   2'开场仅2分钟，费尔南迪尼奥传球，贝尔纳多禁区弧顶劲射偏出
3'埃德森-莫赖斯大脚开球给中场附近门迪！                   2'开场仅2分钟，费尔南迪尼奥传球，贝尔纳多禁区弧顶劲射偏出
3'门迪直传球给前场伯纳多-席尔瓦！                   2'开场仅2分钟，费尔南迪尼奥传球，贝尔纳多禁区弧顶劲射偏出
3'伯纳多-席尔瓦外围左脚打远射！                   2'开场仅2分钟，费尔南迪尼奥传球，贝尔纳多禁区弧顶劲射偏出
3'这球打偏出了右侧底线！                   2'开场仅2分钟，费尔南迪尼奥传球，贝尔纳多禁区弧顶劲射偏出
4'德赫亚大脚开球给中场左侧！                   2'开场仅2分钟，费尔南迪尼奥传球，贝尔纳多禁区弧顶劲射偏出
4'双方争抢！费尔南迪尼奥把球得到！                   2'开场仅2分钟，费尔南迪尼奥传球，贝尔纳多禁区弧顶劲射偏出
4'费尔南迪尼奥横敲给左侧席尔瓦！                   2'开场仅2分钟，费尔南迪尼奥传球，贝尔纳多禁区弧顶劲射偏出
4'席尔瓦左路带球下底！                   2'开场仅2分钟，费尔南迪尼奥传球，贝尔纳多禁区弧顶劲射偏出
4'倒三角回传禁区内中路！                   2'开场仅2分钟，费尔南迪尼奥传球，贝尔纳多禁区弧顶劲射偏出
4'皮球被防守球员破坏出来！                   2'开场仅2分钟，费尔南迪尼奥传球，贝尔纳多禁区弧顶劲射偏出
4'外围左侧费尔南迪尼奥迎球打门！                   2'开场仅2分钟，费尔南迪尼奥传球，贝尔纳多禁区弧顶劲射偏出
4'这球打偏出了左侧底线！球门球！                   2'开场仅2分钟，费尔南迪尼奥传球，贝尔纳多禁区弧顶劲射偏出
5'德赫亚开球给前场右侧！                   2'开场仅2分钟，费尔南迪尼奥传球，贝尔纳多禁区弧顶劲射偏出
5'林加德争抢被吹了犯规！                   2'开场仅2分钟，费尔南迪尼奥传球，贝尔纳多禁区弧顶劲射偏出
5'曼城开定位球给后场中路斯通斯！                   2'开场仅2分钟，费尔南迪尼奥传球，贝尔纳多禁区弧顶劲射偏出
