4'克里希左路上来了，边路球传                   4'第4分钟，克里希左路传中远点，无人防守的阿圭罗小禁区边缘凌空捅射偏出
4'阿圭罗飞身垫射，打偏了                   4'第4分钟，克里希左路传中远点，无人防守的阿圭罗小禁区边缘凌空捅射偏出
4'曼城再有机会                   4'第4分钟，克里希左路传中远点，无人防守的阿圭罗小禁区边缘凌空捅射偏出
5'席尔瓦分边右路的德布劳内，德布劳内传中，阿圭罗抢点打后角                   4'第4分钟，克里希左路传中远点，无人防守的阿圭罗小禁区边缘凌空捅射偏出
5'偏出比较多                   4'第4分钟，克里希左路传中远点，无人防守的阿圭罗小禁区边缘凌空捅射偏出
5'阿圭罗带球上来，被吉田麻也挡在身后                   4'第4分钟，克里希左路传中远点，无人防守的阿圭罗小禁区边缘凌空捅射偏出
6'吉田麻也大脚踢到半场，孔帕尼争高球拉倒了对方的加比亚迪尼                   4'第4分钟，克里希左路传中远点，无人防守的阿圭罗小禁区边缘凌空捅射偏出
6'伯特兰德的带球                   4'第4分钟，克里希左路传中远点，无人防守的阿圭罗小禁区边缘凌空捅射偏出
7'没有传好                   4'第4分钟，克里希左路传中远点，无人防守的阿圭罗小禁区边缘凌空捅射偏出
7'萨内回传后场                   4'第4分钟，克里希左路传中远点，无人防守的阿圭罗小禁区边缘凌空捅射偏出
7'奥塔门迪交给吉田麻也                   4'第4分钟，克里希左路传中远点，无人防守的阿圭罗小禁区边缘凌空捅射偏出
7'更正，交给克里希                   4'第4分钟，克里希左路传中远点，无人防守的阿圭罗小禁区边缘凌空捅射偏出
7'曼城在后场倒脚                   4'第4分钟，克里希左路传中远点，无人防守的阿圭罗小禁区边缘凌空捅射偏出
7'奥塔门迪交给费尔南迪尼奥                   4'第4分钟，克里希左路传中远点，无人防守的阿圭罗小禁区边缘凌空捅射偏出
7'费尔南迪尼奥直传被拦截                   4'第4分钟，克里希左路传中远点，无人防守的阿圭罗小禁区边缘凌空捅射偏出
7'费尔南迪尼奥反抢成功                   4'第4分钟，克里希左路传中远点，无人防守的阿圭罗小禁区边缘凌空捅射偏出
15'加比亚迪尼拉边接应，带球到禁区左侧倒三角传球，塔迪奇打门打高了                   15'南安普敦第15分钟浪费机会，加比亚迪尼禁区左侧回传，无人防守的塔迪奇却在15码处射门打高
16'费尔南迪尼奥分给纳瓦斯，传中，塞德里克胸部回传给门将福斯特                   15'南安普敦第15分钟浪费机会，加比亚迪尼禁区左侧回传，无人防守的塔迪奇却在15码处射门打高
17'塔迪奇转移到右路的塞德里克                   15'南安普敦第15分钟浪费机会，加比亚迪尼禁区左侧回传，无人防守的塔迪奇却在15码处射门打高
17'回传后场                   15'南安普敦第15分钟浪费机会，加比亚迪尼禁区左侧回传，无人防守的塔迪奇却在15码处射门打高
17'吉田麻也长传上来，孔帕尼顶给亚亚图雷                   15'南安普敦第15分钟浪费机会，加比亚迪尼禁区左侧回传，无人防守的塔迪奇却在15码处射门打高
17'亚亚图雷直传，过不了霍伊别尔                   15'南安普敦第15分钟浪费机会，加比亚迪尼禁区左侧回传，无人防守的塔迪奇却在15码处射门打高
18'孔帕尼交给纳瓦斯                   15'南安普敦第15分钟浪费机会，加比亚迪尼禁区左侧回传，无人防守的塔迪奇却在15码处射门打高
18'费尔南迪尼奥过渡一下，纳瓦斯回传给孔帕尼                   15'南安普敦第15分钟浪费机会，加比亚迪尼禁区左侧回传，无人防守的塔迪奇却在15码处射门打高
18'奥塔门迪接应回传给布拉沃                   15'南安普敦第15分钟浪费机会，加比亚迪尼禁区左侧回传，无人防守的塔迪奇却在15码处射门打高
18'长传上来，伯特兰德头球顶一下                   15'南安普敦第15分钟浪费机会，加比亚迪尼禁区左侧回传，无人防守的塔迪奇却在15码处射门打高
18'费尔南迪尼奥控球，交给阿圭罗                   15'南安普敦第15分钟浪费机会，加比亚迪尼禁区左侧回传，无人防守的塔迪奇却在15码处射门打高
55'德布劳内的传中，太低了，戴维斯头球解围                   55'曼城第55分钟打破僵局，纳瓦斯角球混战中30码处远射被福斯特托出横梁
55'外围纳瓦斯大力远射，打在史蒂芬斯头上变线，不过福斯特还是将球托出横梁                   55'曼城第55分钟打破僵局，纳瓦斯角球混战中30码处远射被福斯特托出横梁
55'席尔瓦发出角球，孔帕尼抢点头球叩开对方大门！                   55'曼城第55分钟打破僵局，纳瓦斯角球混战中30码处远射被福斯特托出横梁
56'孔帕尼进球后非常兴奋，连续几下挥臂庆祝                   55'曼城第55分钟打破僵局，纳瓦斯角球混战中30码处远射被福斯特托出横梁
56'这是孔帕尼本赛季第一个英超进球                   55'曼城第55分钟打破僵局，纳瓦斯角球混战中30码处远射被福斯特托出横梁
57'塔迪奇左路的传球被踢出边线                   55'曼城第55分钟打破僵局，纳瓦斯角球混战中30码处远射被福斯特托出横梁
57'阿圭罗带球分给克里希，回给阿圭罗                   55'曼城第55分钟打破僵局，纳瓦斯角球混战中30码处远射被福斯特托出横梁
57'推进到禁区前沿被断了                   55'曼城第55分钟打破僵局，纳瓦斯角球混战中30码处远射被福斯特托出横梁
57'纳瓦斯反断，解围                   55'曼城第55分钟打破僵局，纳瓦斯角球混战中30码处远射被福斯特托出横梁
58'曼城反击                   55'曼城第55分钟打破僵局，纳瓦斯角球混战中30码处远射被福斯特托出横梁
58'德布劳内交给萨内，倒三角传中，阿圭罗没有跟上                   55'曼城第55分钟打破僵局，纳瓦斯角球混战中30码处远射被福斯特托出横梁
58'雷蒙德交给伯特兰德                   55'曼城第55分钟打破僵局，纳瓦斯角球混战中30码处远射被福斯特托出横梁
58'长传，纳瓦斯回追将球断下                   55'曼城第55分钟打破僵局，纳瓦斯角球混战中30码处远射被福斯特托出横梁
58'亚亚图雷带球，交给克里希                   55'曼城第55分钟打破僵局，纳瓦斯角球混战中30码处远射被福斯特托出横梁
49'稍事休息，为大家直播下半场的比赛                   49'曼城4分钟连入2球锁定胜局，第77分钟，德布劳内反击中斜传，萨内10码处单刀推射破门，2-0
49'霍伊别尔交给吉田麻也，直传，塔迪奇背身接应                   49'曼城4分钟连入2球锁定胜局，第77分钟，德布劳内反击中斜传，萨内10码处单刀推射破门，2-0
49'被孔帕尼一个抱摔摔倒                   49'曼城4分钟连入2球锁定胜局，第77分钟，德布劳内反击中斜传，萨内10码处单刀推射破门，2-0
49'曼城断球，席尔瓦分给阿圭罗                   49'曼城4分钟连入2球锁定胜局，第77分钟，德布劳内反击中斜传，萨内10码处单刀推射破门，2-0
50'传中路，费尔南迪尼奥跑过了                   49'曼城4分钟连入2球锁定胜局，第77分钟，德布劳内反击中斜传，萨内10码处单刀推射破门，2-0
50'雷蒙德左路下底传中，过不了前点的孔帕尼                   49'曼城4分钟连入2球锁定胜局，第77分钟，德布劳内反击中斜传，萨内10码处单刀推射破门，2-0
51'戴维斯左路带球，纳瓦斯踢倒了戴维斯                   49'曼城4分钟连入2球锁定胜局，第77分钟，德布劳内反击中斜传，萨内10码处单刀推射破门，2-0
51'南安普敦获得一个在对方禁区犄角附近的任意球机会                   49'曼城4分钟连入2球锁定胜局，第77分钟，德布劳内反击中斜传，萨内10码处单刀推射破门，2-0
52'普劳斯的任意球直接打门，稍稍偏出                   49'曼城4分钟连入2球锁定胜局，第77分钟，德布劳内反击中斜传，萨内10码处单刀推射破门，2-0
52'南安普敦后场传球失误                   49'曼城4分钟连入2球锁定胜局，第77分钟，德布劳内反击中斜传，萨内10码处单刀推射破门，2-0
