1'上半场比赛开始了！                   1'主场作战的塞尔塔第1分钟并不保守
1'塞尔塔这主场草皮看起来一点都不想真草皮                   1'主场作战的塞尔塔第1分钟并不保守
2'阿尔维斯还是一投的银发，看起来最抢眼的一个                   1'主场作战的塞尔塔第1分钟并不保守
2'比拉诺瓦虽然回归，但是今天客场带队指挥的的依旧是鲁拉                   1'主场作战的塞尔塔第1分钟并不保守
3'蒂亚戈长传球失误~                   1'主场作战的塞尔塔第1分钟并不保守
3'还好中场反抢的队友够给力                   1'主场作战的塞尔塔第1分钟并不保守
3'皮克长传球出了边线~想找特略的                   1'主场作战的塞尔塔第1分钟并不保守
3'今天巴萨的这防线感觉不够靠谱啊                   1'主场作战的塞尔塔第1分钟并不保守
4'宋打后腰老是无法适应巴萨节奏                   1'主场作战的塞尔塔第1分钟并不保守
4'而中卫位置鲁拉今天还用上了小将巴尔特拉                   1'主场作战的塞尔塔第1分钟并不保守
12'游客2196: 宋不适合打中卫 名字谐音不吉利 引进他打中场更没必要了---我倒，名字...这样都行？                   12'第12分钟，巴萨解围角球，因萨头球前顶，奥古斯托-费尔南德斯禁区边缘扫射破门但因越位在先被判无效
12'塞尔塔又一次获得了角球                   12'第12分钟，巴萨解围角球，因萨头球前顶，奥古斯托-费尔南德斯禁区边缘扫射破门但因越位在先被判无效
12'传后点，被皮克顶到~                   12'第12分钟，巴萨解围角球，因萨头球前顶，奥古斯托-费尔南德斯禁区边缘扫射破门但因越位在先被判无效
12'费尔南德斯~小禁区内转身打门！                   12'第12分钟，巴萨解围角球，因萨头球前顶，奥古斯托-费尔南德斯禁区边缘扫射破门但因越位在先被判无效
13'球是进去了，越位在先啊                   12'第12分钟，巴萨解围角球，因萨头球前顶，奥古斯托-费尔南德斯禁区边缘扫射破门但因越位在先被判无效
13'慢镜回放来看，裁判吹罚很准确                   12'第12分钟，巴萨解围角球，因萨头球前顶，奥古斯托-费尔南德斯禁区边缘扫射破门但因越位在先被判无效
13'不光他越位，还有一名塞尔塔球员也越位                   12'第12分钟，巴萨解围角球，因萨头球前顶，奥古斯托-费尔南德斯禁区边缘扫射破门但因越位在先被判无效
14'塞尔塔断球反击~~                   12'第12分钟，巴萨解围角球，因萨头球前顶，奥古斯托-费尔南德斯禁区边缘扫射破门但因越位在先被判无效
