18'鲁迪中场铲倒贝尔纳特，吃到本场比赛第一张黄牌                   18'开场18分钟，魏泽右路起球，莱万顶高
18'贝尔纳特接受队医治疗                   18'开场18分钟，魏泽右路起球，莱万顶高
19'拜仁后场控球，没有好的出球点                   18'开场18分钟，魏泽右路起球，莱万顶高
19'霍芬海姆断球，穆勒犯规了，吃到一张黄牌                   18'开场18分钟，魏泽右路起球，莱万顶高
20'霍芬海姆后场长传，莫德斯特前场拿球，越位了                   18'开场18分钟，魏泽右路起球，莱万顶高
21'拜仁右路进攻，穆勒传入禁区，被解围了                   18'开场18分钟，魏泽右路起球，莱万顶高
21'贝尔纳特左路突破被贝克放倒了                   18'开场18分钟，魏泽右路起球，莱万顶高
21'拜仁获得禁区左侧定位球                   18'开场18分钟，魏泽右路起球，莱万顶高
30'拜仁右路又来了                   30'第30分钟，波兰斯基直传，丹特解围意外漏球，莫德斯特单刀突入禁区距门14米处推射，诺伊尔伸右脚挡出
30'维泽尔传中再次被顶出                   30'第30分钟，波兰斯基直传，丹特解围意外漏球，莫德斯特单刀突入禁区距门14米处推射，诺伊尔伸右脚挡出
30'霍芬海姆现在基本上是全队进行半场防守                   30'第30分钟，波兰斯基直传，丹特解围意外漏球，莫德斯特单刀突入禁区距门14米处推射，诺伊尔伸右脚挡出
31'穆勒右路传中，又被解围了                   30'第30分钟，波兰斯基直传，丹特解围意外漏球，莫德斯特单刀突入禁区距门14米处推射，诺伊尔伸右脚挡出
32'霍芬海姆拿不住球，拜仁反抢做的很好                   30'第30分钟，波兰斯基直传，丹特解围意外漏球，莫德斯特单刀突入禁区距门14米处推射，诺伊尔伸右脚挡出
33'高迪诺中场犯规，被裁判口头警告                   30'第30分钟，波兰斯基直传，丹特解围意外漏球，莫德斯特单刀突入禁区距门14米处推射，诺伊尔伸右脚挡出
33'拜仁现在的进攻办法不多，大部分都是边路传中                   30'第30分钟，波兰斯基直传，丹特解围意外漏球，莫德斯特单刀突入禁区距门14米处推射，诺伊尔伸右脚挡出
42'回放显示刚才波兰斯基确实是被罗德踢在了脚上                   42'第42分钟，鲁迪突入禁区右侧回敲，丹特倒地后够不到球，但福兰德没有第一时间射门，错过扳平机会，波兰斯基被回防的罗德勾倒在地，主裁判没有表示
43'霍芬海姆左路起球传中，中路的弗兰德头球攻门，偏出左侧立柱                   42'第42分钟，鲁迪突入禁区右侧回敲，丹特倒地后够不到球，但福兰德没有第一时间射门，错过扳平机会，波兰斯基被回防的罗德勾倒在地，主裁判没有表示
43'丹特后场控球                   42'第42分钟，鲁迪突入禁区右侧回敲，丹特倒地后够不到球，但福兰德没有第一时间射门，错过扳平机会，波兰斯基被回防的罗德勾倒在地，主裁判没有表示
43'给到右路拉菲尼亚，格策右路起球传中，被解围出底线                   42'第42分钟，鲁迪突入禁区右侧回敲，丹特倒地后够不到球，但福兰德没有第一时间射门，错过扳平机会，波兰斯基被回防的罗德勾倒在地，主裁判没有表示
44'罗德战术角球开出                   42'第42分钟，鲁迪突入禁区右侧回敲，丹特倒地后够不到球，但福兰德没有第一时间射门，错过扳平机会，波兰斯基被回防的罗德勾倒在地，主裁判没有表示
44'贝尔纳特左路传中，被鲍曼抱住                   42'第42分钟，鲁迪突入禁区右侧回敲，丹特倒地后够不到球，但福兰德没有第一时间射门，错过扳平机会，波兰斯基被回防的罗德勾倒在地，主裁判没有表示
44'上半场补时1分钟                   42'第42分钟，鲁迪突入禁区右侧回敲，丹特倒地后够不到球，但福兰德没有第一时间射门，错过扳平机会，波兰斯基被回防的罗德勾倒在地，主裁判没有表示
45'拜仁后场控球                   42'第42分钟，鲁迪突入禁区右侧回敲，丹特倒地后够不到球，但福兰德没有第一时间射门，错过扳平机会，波兰斯基被回防的罗德勾倒在地，主裁判没有表示
45'裁判吹响了上半场结束的哨声                   42'第42分钟，鲁迪突入禁区右侧回敲，丹特倒地后够不到球，但福兰德没有第一时间射门，错过扳平机会，波兰斯基被回防的罗德勾倒在地，主裁判没有表示
48'斜传给右路的莱万，莱万的射门被对手挡了一下，皮球击中横梁                   48'第48分钟，罗德妙传，莱万左侧禁区线以里射门，球蹭贝克变线击中横梁上沿而出
48'裁判给了角球                   48'第48分钟，罗德妙传，莱万左侧禁区线以里射门，球蹭贝克变线击中横梁上沿而出
48'罗德角球开出到门前被解围出来                   48'第48分钟，罗德妙传，莱万左侧禁区线以里射门，球蹭贝克变线击中横梁上沿而出
49'罗德分左路，莱万形成了单刀机会，但是脚下拌蒜，被对手化解了                   48'第48分钟，罗德妙传，莱万左侧禁区线以里射门，球蹭贝克变线击中横梁上沿而出
50'霍芬海姆反击，右路进攻，被丹特大脚解围出来                   48'第48分钟，罗德妙传，莱万左侧禁区线以里射门，球蹭贝克变线击中横梁上沿而出
48'斜传给右路的莱万，莱万的射门被对手挡了一下，皮球击中横梁                   48'补时第3分钟，穆勒沿右侧底线内切传中，贝克在门前8米处挡进自家球门左下角，2比0
48'裁判给了角球                   48'补时第3分钟，穆勒沿右侧底线内切传中，贝克在门前8米处挡进自家球门左下角，2比0
48'罗德角球开出到门前被解围出来                   48'补时第3分钟，穆勒沿右侧底线内切传中，贝克在门前8米处挡进自家球门左下角，2比0
49'罗德分左路，莱万形成了单刀机会，但是脚下拌蒜，被对手化解了                   48'补时第3分钟，穆勒沿右侧底线内切传中，贝克在门前8米处挡进自家球门左下角，2比0
50'霍芬海姆反击，右路进攻，被丹特大脚解围出来                   48'补时第3分钟，穆勒沿右侧底线内切传中，贝克在门前8米处挡进自家球门左下角，2比0
