1'上半场比赛开始了，先由桑德兰开球                   1'曼联第1分钟展开积极攻势
1'桑德兰开球后长传把球试图转移到右边路，可惜球传出了边线！                   1'曼联第1分钟展开积极攻势
1'曼联在后场控制，伊布回撤到中场拿球，没有停好皮球，球丢了                   1'曼联第1分钟展开积极攻势
1'今天的主裁判是阿特金森                   1'曼联第1分钟展开积极攻势
2'桑德兰右边路斜长传到中路，球被瓦伦西亚控制到                   1'曼联第1分钟展开积极攻势
2'曼联在中场连续的传递，球到左边路伊布脚下                   1'曼联第1分钟展开积极攻势
2'伊布和马塔在禁区左侧角外配合，马塔身高有限，球被对方头球破门                   1'曼联第1分钟展开积极攻势
2'对不起，是被破坏！                   1'曼联第1分钟展开积极攻势
3'桑德兰的进攻太简单，长传找迪福，传球失误率太高                   1'曼联第1分钟展开积极攻势
3'曼联左边路边路传中到后点，球被桑德兰后卫破坏                   1'曼联第1分钟展开积极攻势
3'曼联前场展开紧逼                   1'曼联第1分钟展开积极攻势
4'桑德兰在自己禁区内横传，很危险啊！伊布紧紧逼抢，迫使对手仓促解围                   1'曼联第1分钟展开积极攻势
4'中场曼联拦截后把球直接点给伊布                   1'曼联第1分钟展开积极攻势
4'伊布禁区外不停球直接传禁区给插上的博格巴，但球稍传大了点                   1'曼联第1分钟展开积极攻势
21'大禁区外右侧一点，任意球直接射门，打穿了人墙，射向球门后角，德赫亚反应奇快，飞身把球扑出！                   21'第21分钟，马塔禁区内在科内防守下摔倒，裁判未予理会，球迷狂嘘表示不满，穆里尼奥在场外同样不满判罚
23'曼联在中场控制，琼斯把球交给卡里克                   21'第21分钟，马塔禁区内在科内防守下摔倒，裁判未予理会，球迷狂嘘表示不满，穆里尼奥在场外同样不满判罚
23'曼联在对方半场打起了控球                   21'第21分钟，马塔禁区内在科内防守下摔倒，裁判未予理会，球迷狂嘘表示不满，穆里尼奥在场外同样不满判罚
23'桑德兰也是几乎全部退守到自己30米区域                   21'第21分钟，马塔禁区内在科内防守下摔倒，裁判未予理会，球迷狂嘘表示不满，穆里尼奥在场外同样不满判罚
24'曼联中场又是一脚长传送到前场，队友没有跑动啊！                   21'第21分钟，马塔禁区内在科内防守下摔倒，裁判未予理会，球迷狂嘘表示不满，穆里尼奥在场外同样不满判罚
39'伊布禁区左侧拿球，横敲到禁区中路，插上的布林德拿球就射，球直挂球门左下角！！曼联1-0领先了                   39'曼联第39分钟打破僵局，罗霍传球，伊布禁区左侧横传，布林德禁区左侧10码处劲射远角入网
40'上半场40分钟，比分被曼联改写                   39'曼联第39分钟打破僵局，罗霍传球，伊布禁区左侧横传，布林德禁区左侧10码处劲射远角入网
42'曼联右边路瓦伦西亚传中到后点，被后卫解围，博格巴又在中路把球敲给禁区左侧的伊布，但对方先出一脚把球捅走                   39'曼联第39分钟打破僵局，罗霍传球，伊布禁区左侧横传，布林德禁区左侧10码处劲射远角入网
82'桑德兰自己后场传球失误！博格巴抢断，直塞左侧的伊布，禁区里面对门将，冷静推射打入球门右下角！2-0！！                   82'第82分钟，博格巴反击中直传，伊布小禁区前单刀推射入网，2-0
82'桑德兰换人，拉尔森下，换上10号卡兹里                   82'第82分钟，博格巴反击中直传，伊布小禁区前单刀推射入网，2-0
83'曼联准备换上费莱尼                   82'第82分钟，博格巴反击中直传，伊布小禁区前单刀推射入网，2-0
83'换下了埃雷拉                   82'第82分钟，博格巴反击中直传，伊布小禁区前单刀推射入网，2-0
85'姆希塔良中场带球突破，把球挑传倒左侧给马夏尔                   82'第82分钟，博格巴反击中直传，伊布小禁区前单刀推射入网，2-0
85'马夏尔边路突破，但陷入对方围抢，球丢了                   82'第82分钟，博格巴反击中直传，伊布小禁区前单刀推射入网，2-0
86'桑德兰又是后场传球失误，曼联右边路斜传到后点，姆希塔良一个蝎子摆尾，把球打进！！！                   86'第86分钟，伊布右路传中，姆希塔良小禁区前脚后跟凌空蝎子摆尾破门，3-0
