1'上半场比赛开始                   1'双方第1分钟均显得小心谨慎
1'上半场由热刺中圈开球                   1'双方第1分钟均显得小心谨慎
1'我们先把热刺的首发说完                   1'双方第1分钟均显得小心谨慎
3'热刺首发阵容：门将：1-洛里；后卫：2-沃克、15-阿尔德韦雷尔德、4-戴尔、33-戴维斯；后腰：19-登贝莱、12-万尼亚马；前卫：23-埃里克森、20-阿里、7-孙兴慜；前锋：20-凯恩                   1'双方第1分钟均显得小心谨慎
3'利物浦后场控球，回给门将米尼奥莱                   1'双方第1分钟均显得小心谨慎
3'长传上来                   1'双方第1分钟均显得小心谨慎
3'继续是利物浦控球，克莱因直传                   1'双方第1分钟均显得小心谨慎
4'连续的直传，克莱因前插，登贝莱卡位置脚后跟一磕                   1'双方第1分钟均显得小心谨慎
4'被断了                   1'双方第1分钟均显得小心谨慎
4'前场，菲尔米诺脚后跟传球，给大了一点                   1'双方第1分钟均显得小心谨慎
4'洛里控球                   1'双方第1分钟均显得小心谨慎
4'长传上来，被克莱因顶一下                   1'双方第1分钟均显得小心谨慎
4'库蒂尼奥接应挑传，戴维斯将球先解围                   1'双方第1分钟均显得小心谨慎
3'热刺首发阵容：门将：1-洛里；后卫：2-沃克、15-阿尔德韦雷尔德、4-戴尔、33-戴维斯；后腰：19-登贝莱、12-万尼亚马；前卫：23-埃里克森、20-阿里、7-孙兴慜；前锋：20-凯恩                   3'利物浦3分钟取得2球领先，第16分钟，维纳尔杜姆直传，马内甩开本-戴维斯10码处单刀推射入网
3'利物浦后场控球，回给门将米尼奥莱                   3'利物浦3分钟取得2球领先，第16分钟，维纳尔杜姆直传，马内甩开本-戴维斯10码处单刀推射入网
3'长传上来                   3'利物浦3分钟取得2球领先，第16分钟，维纳尔杜姆直传，马内甩开本-戴维斯10码处单刀推射入网
3'继续是利物浦控球，克莱因直传                   3'利物浦3分钟取得2球领先，第16分钟，维纳尔杜姆直传，马内甩开本-戴维斯10码处单刀推射入网
4'连续的直传，克莱因前插，登贝莱卡位置脚后跟一磕                   3'利物浦3分钟取得2球领先，第16分钟，维纳尔杜姆直传，马内甩开本-戴维斯10码处单刀推射入网
4'被断了                   3'利物浦3分钟取得2球领先，第16分钟，维纳尔杜姆直传，马内甩开本-戴维斯10码处单刀推射入网
4'前场，菲尔米诺脚后跟传球，给大了一点                   3'利物浦3分钟取得2球领先，第16分钟，维纳尔杜姆直传，马内甩开本-戴维斯10码处单刀推射入网
4'洛里控球                   3'利物浦3分钟取得2球领先，第16分钟，维纳尔杜姆直传，马内甩开本-戴维斯10码处单刀推射入网
4'长传上来，被克莱因顶一下                   3'利物浦3分钟取得2球领先，第16分钟，维纳尔杜姆直传，马内甩开本-戴维斯10码处单刀推射入网
4'库蒂尼奥接应挑传，戴维斯将球先解围                   3'利物浦3分钟取得2球领先，第16分钟，维纳尔杜姆直传，马内甩开本-戴维斯10码处单刀推射入网
5'继续是利物浦的进攻，菲尔米诺横传分左路，被沃克先解围                   3'利物浦3分钟取得2球领先，第16分钟，维纳尔杜姆直传，马内甩开本-戴维斯10码处单刀推射入网
6'克莱因右路斜传门前，戴尔将球踢出底线                   3'利物浦3分钟取得2球领先，第16分钟，维纳尔杜姆直传，马内甩开本-戴维斯10码处单刀推射入网
22'利物浦再得到一个右路的角球机会                   22'第22分钟，马内险些上演帽子戏法，他速度甩开本-戴维斯后禁区右侧12码处射门被洛里斯扑挡后稍稍偏出右侧立柱
23'拉拉纳发角球，登贝莱头球解围                   22'第22分钟，马内险些上演帽子戏法，他速度甩开本-戴维斯后禁区右侧12码处射门被洛里斯扑挡后稍稍偏出右侧立柱
23'库蒂尼奥左路下底传中被阿尔德韦雷尔德大脚解围                   22'第22分钟，马内险些上演帽子戏法，他速度甩开本-戴维斯后禁区右侧12码处射门被洛里斯扑挡后稍稍偏出右侧立柱
23'但见高不见远，亨德森传禁区右侧                   22'第22分钟，马内险些上演帽子戏法，他速度甩开本-戴维斯后禁区右侧12码处射门被洛里斯扑挡后稍稍偏出右侧立柱
23'马内劲被洛里封出底线                   22'第22分钟，马内险些上演帽子戏法，他速度甩开本-戴维斯后禁区右侧12码处射门被洛里斯扑挡后稍稍偏出右侧立柱
25'阿尔德韦雷尔德开大脚，前场没有热刺的球员                   22'第22分钟，马内险些上演帽子戏法，他速度甩开本-戴维斯后禁区右侧12码处射门被洛里斯扑挡后稍稍偏出右侧立柱
25'米尼奥莱长传上来，拉拉纳头球后蹭，旁边没有利物浦的球员                   22'第22分钟，马内险些上演帽子戏法，他速度甩开本-戴维斯后禁区右侧12码处射门被洛里斯扑挡后稍稍偏出右侧立柱
25'热刺的机会                   22'第22分钟，马内险些上演帽子戏法，他速度甩开本-戴维斯后禁区右侧12码处射门被洛里斯扑挡后稍稍偏出右侧立柱
26'孙兴慜小角度劲射被米尼奥莱扑出                   26'热刺第26分钟错过机会，本-戴维斯直传，孙兴慜禁区左侧10码处射门也被米尼奥莱救出
27'库蒂尼奥中路拿球转身，分右路的拉拉纳                   26'热刺第26分钟错过机会，本-戴维斯直传，孙兴慜禁区左侧10码处射门也被米尼奥莱救出
27'交给库蒂尼奥，转移到左路的维纳尔杜姆                   26'热刺第26分钟错过机会，本-戴维斯直传，孙兴慜禁区左侧10码处射门也被米尼奥莱救出
27'米尔纳跟进上来，回给亨德森                   26'热刺第26分钟错过机会，本-戴维斯直传，孙兴慜禁区左侧10码处射门也被米尼奥莱救出
27'亨德森长距离回传给米尼奥莱                   26'热刺第26分钟错过机会，本-戴维斯直传，孙兴慜禁区左侧10码处射门也被米尼奥莱救出
