7'抱歉，刚才柠檬的网络出了点状况                   5'第5分钟，西班牙人解围角球，阿尔维斯外围射门偏出
7'阿尔巴左路突破下底，传中球被后卫挡了出去                   5'第5分钟，西班牙人解围角球，阿尔维斯外围射门偏出
7'伊涅斯塔继续传中~中路抢点的梅西只差了一点                   5'第5分钟，西班牙人解围角球，阿尔维斯外围射门偏出
8'巴萨不断的一脚传球~                   5'第5分钟，西班牙人解围角球，阿尔维斯外围射门偏出
8'巴萨传球出现了失误                   5'第5分钟，西班牙人解围角球，阿尔维斯外围射门偏出
8'加西亚把球敲给队友，皮克在中场拦截下来                   5'第5分钟，西班牙人解围角球，阿尔维斯外围射门偏出
8'巴萨反击的机会                   5'第5分钟，西班牙人解围角球，阿尔维斯外围射门偏出
13'西班牙人在边路也是越位了一次                   13'第13分钟，法布雷加斯送出直传，伊涅斯塔禁区左侧的射门被卡西利亚扑出
13'布斯克茨在中场长传分边                   13'第13分钟，法布雷加斯送出直传，伊涅斯塔禁区左侧的射门被卡西利亚扑出
13'近来关于布教授也是有些传闻的                   13'第13分钟，法布雷加斯送出直传，伊涅斯塔禁区左侧的射门被卡西利亚扑出
13'除了梅西传闻说俄罗斯球队2.5亿挖人之外                   13'第13分钟，法布雷加斯送出直传，伊涅斯塔禁区左侧的射门被卡西利亚扑出
13'小白~禁区内的机会                   13'第13分钟，法布雷加斯送出直传，伊涅斯塔禁区左侧的射门被卡西利亚扑出
14'小法直传从对方后卫两腿之间穿过，而小白的打门被门将扑出了底线                   13'第13分钟，法布雷加斯送出直传，伊涅斯塔禁区左侧的射门被卡西利亚扑出
14'巴萨的战术角球，梅西传中被托了一下                   13'第13分钟，法布雷加斯送出直传，伊涅斯塔禁区左侧的射门被卡西利亚扑出
14'哈维禁区外尝试远射！被后卫封堵                   13'第13分钟，法布雷加斯送出直传，伊涅斯塔禁区左侧的射门被卡西利亚扑出
14'阿尔维斯的打门~~~直奔底线而去                   13'第13分钟，法布雷加斯送出直传，伊涅斯塔禁区左侧的射门被卡西利亚扑出
15'偏的够离谱的                   13'第13分钟，法布雷加斯送出直传，伊涅斯塔禁区左侧的射门被卡西利亚扑出
15'刚才说到布教授                   13'第13分钟，法布雷加斯送出直传，伊涅斯塔禁区左侧的射门被卡西利亚扑出
15'传闻皇马将会直接出到违约金的转会费来挖角                   13'第13分钟，法布雷加斯送出直传，伊涅斯塔禁区左侧的射门被卡西利亚扑出
15'梅西！！！                   13'第13分钟，法布雷加斯送出直传，伊涅斯塔禁区左侧的射门被卡西利亚扑出
15'Gooooooooooooooooal！！！                   13'第13分钟，法布雷加斯送出直传，伊涅斯塔禁区左侧的射门被卡西利亚扑出
16'这球究竟是？                   13'第13分钟，法布雷加斯送出直传，伊涅斯塔禁区左侧的射门被卡西利亚扑出
16'真晕，镜头又是对准梅西！                   13'第13分钟，法布雷加斯送出直传，伊涅斯塔禁区左侧的射门被卡西利亚扑出
16'实际上进球的确实佩德罗！！                   13'第13分钟，法布雷加斯送出直传，伊涅斯塔禁区左侧的射门被卡西利亚扑出
16'本赛季西甲的第二个进球！真不容易                   13'第13分钟，法布雷加斯送出直传，伊涅斯塔禁区左侧的射门被卡西利亚扑出
23'加西亚一头飘逸的长发，今天在进攻端还没有得到过机会                   23'西班牙人第23分钟错失良机，布斯克茨让过皮球，塞尔吉奥-加西亚摆脱巴萨防线形成单刀，但最后在12码处的射门高出
23'相信普约尔对他并不会陌生                   23'西班牙人第23分钟错失良机，布斯克茨让过皮球，塞尔吉奥-加西亚摆脱巴萨防线形成单刀，但最后在12码处的射门高出
23'哈维把球挑起来，给的力量稍大出了底线                   23'西班牙人第23分钟错失良机，布斯克茨让过皮球，塞尔吉奥-加西亚摆脱巴萨防线形成单刀，但最后在12码处的射门高出
24'西班牙人开出球门球，布斯克茨头球解围失误了                   23'西班牙人第23分钟错失良机，布斯克茨让过皮球，塞尔吉奥-加西亚摆脱巴萨防线形成单刀，但最后在12码处的射门高出
24'加西亚！禁区内的凌空抽射！打高了                   23'西班牙人第23分钟错失良机，布斯克茨让过皮球，塞尔吉奥-加西亚摆脱巴萨防线形成单刀，但最后在12码处的射门高出
24'除了这个加西亚，不知道大家是否还记得路易斯-加西亚                   23'西班牙人第23分钟错失良机，布斯克茨让过皮球，塞尔吉奥-加西亚摆脱巴萨防线形成单刀，但最后在12码处的射门高出
25'也都是拉玛西亚出品，但是在巴萨打不上主力辗转各支球队最后还算混出了名堂                   23'西班牙人第23分钟错失良机，布斯克茨让过皮球，塞尔吉奥-加西亚摆脱巴萨防线形成单刀，但最后在12码处的射门高出
25'阿尔维斯边路下底，传中球被佩德罗顶了一下                   23'西班牙人第23分钟错失良机，布斯克茨让过皮球，塞尔吉奥-加西亚摆脱巴萨防线形成单刀，但最后在12码处的射门高出
25'后卫抢到了球，赶紧解围                   23'西班牙人第23分钟错失良机，布斯克茨让过皮球，塞尔吉奥-加西亚摆脱巴萨防线形成单刀，但最后在12码处的射门高出
26'ove阿严:多年以后柠檬会因为曾经是这支伟大巴萨的御用直播而骄傲！另外愿柠檬能走到台前自持视频直播！---哈哈，果酱                   23'西班牙人第23分钟错失良机，布斯克茨让过皮球，塞尔吉奥-加西亚摆脱巴萨防线形成单刀，但最后在12码处的射门高出
29'西班牙人又要被巴萨屠杀一回了                   29'第29分钟，卡西利亚禁区内扑倒法布雷加斯，梅西点球骗过卡西利亚破门，4-0
29'交给梅西来主罚！！！                   29'第29分钟，卡西利亚禁区内扑倒法布雷加斯，梅西点球骗过卡西利亚破门，4-0
29'Gooooooooooooooal！！！                   29'第29分钟，卡西利亚禁区内扑倒法布雷加斯，梅西点球骗过卡西利亚破门，4-0
