3'特谢拉！带球突进！                   3'开场第3分钟特谢拉连着换位在两侧冲击，但最后一脚处理都没有到位
3'压到了禁区里右侧肋部！                   3'开场第3分钟特谢拉连着换位在两侧冲击，但最后一脚处理都没有到位
4' 左脚向前给了一脚直塞球！                   3'开场第3分钟特谢拉连着换位在两侧冲击，但最后一脚处理都没有到位
4'这球是滚出了左侧底线                   3'开场第3分钟特谢拉连着换位在两侧冲击，但最后一脚处理都没有到位
5'特谢拉右脚弧线球兜门！                   3'开场第3分钟特谢拉连着换位在两侧冲击，但最后一脚处理都没有到位
5' 这球是出了右侧底线！                   3'开场第3分钟特谢拉连着换位在两侧冲击，但最后一脚处理都没有到位
5' 前场右侧特谢拉得球倒三角回传                   3'开场第3分钟特谢拉连着换位在两侧冲击，但最后一脚处理都没有到位
6' 皮球是被糜昊伦拦截了！                   3'开场第3分钟特谢拉连着换位在两侧冲击，但最后一脚处理都没有到位
12'张诚往前放出一个长距离传球！                   12'第12分钟摩拉斯前场带球推进迫使江苏队员犯规，权健获得禁区外任意球机会，帕托右脚任意球打出完美弧线，张思鹏飞扑不及，皮球飞入大门右侧，1比0，权健领先
12'莫拉斯试图单脚停球！但被踢倒了                   12'第12分钟摩拉斯前场带球推进迫使江苏队员犯规，权健获得禁区外任意球机会，帕托右脚任意球打出完美弧线，张思鹏飞扑不及，皮球飞入大门右侧，1比0，权健领先
13'禁区前沿权健任意球机会                   12'第12分钟摩拉斯前场带球推进迫使江苏队员犯规，权健获得禁区外任意球机会，帕托右脚任意球打出完美弧线，张思鹏飞扑不及，皮球飞入大门右侧，1比0，权健领先
13'进球啦                   12'第12分钟摩拉斯前场带球推进迫使江苏队员犯规，权健获得禁区外任意球机会，帕托右脚任意球打出完美弧线，张思鹏飞扑不及，皮球飞入大门右侧，1比0，权健领先
14'帕托任意球直接破门                   12'第12分钟摩拉斯前场带球推进迫使江苏队员犯规，权健获得禁区外任意球机会，帕托右脚任意球打出完美弧线，张思鹏飞扑不及，皮球飞入大门右侧，1比0，权健领先
15'左路的帕托得球！横向大范围转移！                   12'第12分钟摩拉斯前场带球推进迫使江苏队员犯规，权健获得禁区外任意球机会，帕托右脚任意球打出完美弧线，张思鹏飞扑不及，皮球飞入大门右侧，1比0，权健领先
15'右路的莫拉斯得球直塞                   12'第12分钟摩拉斯前场带球推进迫使江苏队员犯规，权健获得禁区外任意球机会，帕托右脚任意球打出完美弧线，张思鹏飞扑不及，皮球飞入大门右侧，1比0，权健领先
15'左路的帕托得球！横向大范围转移！                   15'第15分钟江苏队用谢鹏飞换下U23队员陈吉
15'右路的莫拉斯得球直塞                   15'第15分钟江苏队用谢鹏飞换下U23队员陈吉
16'右路的张修维直接把球停出了边线啊                   15'第15分钟江苏队用谢鹏飞换下U23队员陈吉
16'苏宁换人了                   15'第15分钟江苏队用谢鹏飞换下U23队员陈吉
16'谢鹏飞替下陈吉                   15'第15分钟江苏队用谢鹏飞换下U23队员陈吉
18'谢鹏飞被逼抢！张修维一脚把球捅出了边线！                   15'第15分钟江苏队用谢鹏飞换下U23队员陈吉
18'江苏苏宁边线球掷出！把球给到了中路！                   15'第15分钟江苏队用谢鹏飞换下U23队员陈吉
18'皮球是被中路的维特塞尔拦截了！                   15'第15分钟江苏队用谢鹏飞换下U23队员陈吉
37'谢鹏飞！压到了大禁区左侧！一记传中                   36'第36分钟天津三外援配合，摩拉斯脚后跟送球，维特塞尔在多人夹击下往中路转移，帕托跟上一脚抽高
37'大禁区前沿位置！皮球被解围！                   36'第36分钟天津三外援配合，摩拉斯脚后跟送球，维特塞尔在多人夹击下往中路转移，帕托跟上一脚抽高
39'特谢拉拿球，被杨善平破坏                   36'第36分钟天津三外援配合，摩拉斯脚后跟送球，维特塞尔在多人夹击下往中路转移，帕托跟上一脚抽高
39'江苏苏宁边线球掷出！                   36'第36分钟天津三外援配合，摩拉斯脚后跟送球，维特塞尔在多人夹击下往中路转移，帕托跟上一脚抽高
39'苏宁扳平了                   36'第36分钟天津三外援配合，摩拉斯脚后跟送球，维特塞尔在多人夹击下往中路转移，帕托跟上一脚抽高
77' 王晓龙！把球挑传左路！                   77'第32分钟帕托开出右路角球，维特塞尔飞身倒钩将球打高
77'皮球是出了左侧底线！                   77'第32分钟帕托开出右路角球，维特塞尔飞身倒钩将球打高
79'中路的张晓彬得球了！                   77'第32分钟帕托开出右路角球，维特塞尔飞身倒钩将球打高
79'往前放出一个长距离传球！                   77'第32分钟帕托开出右路角球，维特塞尔飞身倒钩将球打高
79'找到了前场左侧的特谢拉！                   77'第32分钟帕托开出右路角球，维特塞尔飞身倒钩将球打高
79'特谢拉带球内切！皮球是被刘奕鸣解围出去了底线！                   77'第32分钟帕托开出右路角球，维特塞尔飞身倒钩将球打高
39'特谢拉拿球，被杨善平破坏                   38'第38分钟客队也取得进球，江苏队在前场打出简洁配合，谢鹏飞往前送球，特谢拉禁区前拿球后，直接起右脚巧射，皮球飞入大门右侧死角，1比1
39'江苏苏宁边线球掷出！                   38'第38分钟客队也取得进球，江苏队在前场打出简洁配合，谢鹏飞往前送球，特谢拉禁区前拿球后，直接起右脚巧射，皮球飞入大门右侧死角，1比1
39'苏宁扳平了                   38'第38分钟客队也取得进球，江苏队在前场打出简洁配合，谢鹏飞往前送球，特谢拉禁区前拿球后，直接起右脚巧射，皮球飞入大门右侧死角，1比1
40'特谢拉大禁区前沿拿球晃开防守，右脚打门得分                   38'第38分钟客队也取得进球，江苏队在前场打出简洁配合，谢鹏飞往前送球，特谢拉禁区前拿球后，直接起右脚巧射，皮球飞入大门右侧死角，1比1
