2'建业左路进攻，传球传丢了                   2'上半场第2分钟，申鑫左路发动进攻，吴毅臻左路快速下底传中，被对手解围出来
3'申鑫左路进攻，吴毅臻左路快速下底传中，被申鑫解围出来                   2'上半场第2分钟，申鑫左路发动进攻，吴毅臻左路快速下底传中，被对手解围出来
3'伊沃拿球把球控制下来，于涛防守反骨了                   2'上半场第2分钟，申鑫左路发动进攻，吴毅臻左路快速下底传中，被对手解围出来
4'建业这边进攻，被申鑫门将林翔控制                   2'上半场第2分钟，申鑫左路发动进攻，吴毅臻左路快速下底传中，被对手解围出来
4'申鑫右路拿球给到禁区                   2'上半场第2分钟，申鑫左路发动进攻，吴毅臻左路快速下底传中，被对手解围出来
4'直接给到建业球员脚下                   2'上半场第2分钟，申鑫左路发动进攻，吴毅臻左路快速下底传中，被对手解围出来
5'比赛开始后双方互有攻防                   2'上半场第2分钟，申鑫左路发动进攻，吴毅臻左路快速下底传中，被对手解围出来
5'进攻速度都不快                   2'上半场第2分钟，申鑫左路发动进攻，吴毅臻左路快速下底传中，被对手解围出来
12'巴兰特斯主罚任意球，左脚大力射门，皮球从人墙中直入球门死角                   12'第12分钟，上海申鑫获得中路任意球，巴兰特斯主罚任意球，左脚直接大力射门，皮球从人墙中直入球门死角，申鑫收获梦幻开局，1比0领先
13'继续比赛                   12'第12分钟，上海申鑫获得中路任意球，巴兰特斯主罚任意球，左脚直接大力射门，皮球从人墙中直入球门死角，申鑫收获梦幻开局，1比0领先
13'申鑫获得角球机会                   12'第12分钟，上海申鑫获得中路任意球，巴兰特斯主罚任意球，左脚直接大力射门，皮球从人墙中直入球门死角，申鑫收获梦幻开局，1比0领先
13'巴兰特斯给到门前，直接被门将没收了                   12'第12分钟，上海申鑫获得中路任意球，巴兰特斯主罚任意球，左脚直接大力射门，皮球从人墙中直入球门死角，申鑫收获梦幻开局，1比0领先
14'建业右路进攻被申鑫破坏出边线                   12'第12分钟，上海申鑫获得中路任意球，巴兰特斯主罚任意球，左脚直接大力射门，皮球从人墙中直入球门死角，申鑫收获梦幻开局，1比0领先
15'申鑫右路拿球                   12'第12分钟，上海申鑫获得中路任意球，巴兰特斯主罚任意球，左脚直接大力射门，皮球从人墙中直入球门死角，申鑫收获梦幻开局，1比0领先
15'给到禁区被挡出来                   12'第12分钟，上海申鑫获得中路任意球，巴兰特斯主罚任意球，左脚直接大力射门，皮球从人墙中直入球门死角，申鑫收获梦幻开局，1比0领先
15'建业打反击给到右路                   12'第12分钟，上海申鑫获得中路任意球，巴兰特斯主罚任意球，左脚直接大力射门，皮球从人墙中直入球门死角，申鑫收获梦幻开局，1比0领先
15'哈维尔拿球被断下                   12'第12分钟，上海申鑫获得中路任意球，巴兰特斯主罚任意球，左脚直接大力射门，皮球从人墙中直入球门死角，申鑫收获梦幻开局，1比0领先
18'建业右路配合，梁雨45度角起球到门前，门将出击没收                   17'第17分钟，建业右路打出配合，梁雨45度角起球到了门前，被申鑫门将候个正着
18'申鑫左路突破下底传中被挡出                   17'第17分钟，建业右路打出配合，梁雨45度角起球到了门前，被申鑫门将候个正着
18'外围再打被门将得到                   17'第17分钟，建业右路打出配合，梁雨45度角起球到了门前，被申鑫门将候个正着
