1'中圈蓝衣卡迪夫城开球！                   1'第1分钟拉卡泽特和埃尔内尼的射门均被封堵
1'上半场比赛开始了！                   1'第1分钟拉卡泽特和埃尔内尼的射门均被封堵
1'开球回给后场佩尔蒂埃！                   1'第1分钟拉卡泽特和埃尔内尼的射门均被封堵
1'佩尔蒂埃长传球传出了前场右侧边线！                   1'第1分钟拉卡泽特和埃尔内尼的射门均被封堵
1'阿森纳后场发球给穆斯塔菲！                   1'第1分钟拉卡泽特和埃尔内尼的射门均被封堵
2'长传球给中场左侧埃尔内尼！                   1'第1分钟拉卡泽特和埃尔内尼的射门均被封堵
3'阿森纳后场右侧边线球！                   1'第1分钟拉卡泽特和埃尔内尼的射门均被封堵
3'发球给中路贡多齐！                   1'第1分钟拉卡泽特和埃尔内尼的射门均被封堵
3'长传球给前场右侧拉卡泽特！                   1'第1分钟拉卡泽特和埃尔内尼的射门均被封堵
3'回给身后厄齐尔！                   1'第1分钟拉卡泽特和埃尔内尼的射门均被封堵
3'厄齐尔传中球被解围出去！                   1'第1分钟拉卡泽特和埃尔内尼的射门均被封堵
46'科拉希纳茨斜传球给前场右侧厄齐尔！                   45'第45分钟，拉卡泽特禁区左侧边缘在曼加防守下摔倒，裁判未予判罚引来主队球员不满
46'厄齐尔的球被班巴解围出边线！                   45'第45分钟，拉卡泽特禁区左侧边缘在曼加防守下摔倒，裁判未予判罚引来主队球员不满
46'阿森纳前场右侧边线球！                   45'第45分钟，拉卡泽特禁区左侧边缘在曼加防守下摔倒，裁判未予判罚引来主队球员不满
46'发球给接应的厄齐尔！                   45'第45分钟，拉卡泽特禁区左侧边缘在曼加防守下摔倒，裁判未予判罚引来主队球员不满
46'塞球给禁区内右侧拉卡泽特！                   45'第45分钟，拉卡泽特禁区左侧边缘在曼加防守下摔倒，裁判未予判罚引来主队球员不满
46'拉卡泽特的分球被帕特森破坏！                   45'第45分钟，拉卡泽特禁区左侧边缘在曼加防守下摔倒，裁判未予判罚引来主队球员不满
46'门将埃瑟里奇把球抱住没收！                   45'第45分钟，拉卡泽特禁区左侧边缘在曼加防守下摔倒，裁判未予判罚引来主队球员不满
46'埃瑟里奇大脚开球出去！                   45'第45分钟，拉卡泽特禁区左侧边缘在曼加防守下摔倒，裁判未予判罚引来主队球员不满
47'上半场比赛结束了！                   45'第45分钟，拉卡泽特禁区左侧边缘在曼加防守下摔倒，裁判未予判罚引来主队球员不满
46'下半场比赛开始！阿森纳开球！                   45'第45分钟，拉卡泽特禁区左侧边缘在曼加防守下摔倒，裁判未予判罚引来主队球员不满
47'穆斯塔菲给后场门将莱诺！                   45'第45分钟，拉卡泽特禁区左侧边缘在曼加防守下摔倒，裁判未予判罚引来主队球员不满
47'莱诺大脚开球给中场右路利希施泰纳！                   45'第45分钟，拉卡泽特禁区左侧边缘在曼加防守下摔倒，裁判未予判罚引来主队球员不满
47'直传球给前场右侧拉卡泽特！                   45'第45分钟，拉卡泽特禁区左侧边缘在曼加防守下摔倒，裁判未予判罚引来主队球员不满
47'传中球传出了左侧边线！                   45'第45分钟，拉卡泽特禁区左侧边缘在曼加防守下摔倒，裁判未予判罚引来主队球员不满
48'卡迪夫城后场右侧边线球！                   45'第45分钟，拉卡泽特禁区左侧边缘在曼加防守下摔倒，裁判未予判罚引来主队球员不满
48'发球给中场！蒙雷亚尔把球抢断！                   45'第45分钟，拉卡泽特禁区左侧边缘在曼加防守下摔倒，裁判未予判罚引来主队球员不满
48'蒙雷亚尔给前场中路厄齐尔！                   45'第45分钟，拉卡泽特禁区左侧边缘在曼加防守下摔倒，裁判未予判罚引来主队球员不满
