1'上半场比赛开始！！                   1'切尔西第1分钟全力施压，威廉禁区边缘的劲射被法比安斯基扑出
1'首先开球的是斯旺西                   1'切尔西第1分钟全力施压，威廉禁区边缘的劲射被法比安斯基扑出
1'斯旺西左路拿球                   1'切尔西第1分钟全力施压，威廉禁区边缘的劲射被法比安斯基扑出
1'寄诚庸拿球被铲倒                   1'切尔西第1分钟全力施压，威廉禁区边缘的劲射被法比安斯基扑出
1'斯旺西的边线球                   1'切尔西第1分钟全力施压，威廉禁区边缘的劲射被法比安斯基扑出
1'切尔西这边断抢下来                   1'切尔西第1分钟全力施压，威廉禁区边缘的劲射被法比安斯基扑出
1'左路送直塞给到底线                   1'切尔西第1分钟全力施压，威廉禁区边缘的劲射被法比安斯基扑出
2'边路队友接球的时候越位了                   1'切尔西第1分钟全力施压，威廉禁区边缘的劲射被法比安斯基扑出
2'迭戈-科斯塔中场拿球被侵犯                   1'切尔西第1分钟全力施压，威廉禁区边缘的劲射被法比安斯基扑出
2'迭戈-科斯塔这下也是被撞的不轻                   1'切尔西第1分钟全力施压，威廉禁区边缘的劲射被法比安斯基扑出
3'犯规的是阿马特                   1'切尔西第1分钟全力施压，威廉禁区边缘的劲射被法比安斯基扑出
4'斯旺西前场拿球分到左路                   1'切尔西第1分钟全力施压，威廉禁区边缘的劲射被法比安斯基扑出
4'尼尔-泰勒左路起球送禁区后点                   1'切尔西第1分钟全力施压，威廉禁区边缘的劲射被法比安斯基扑出
18'控球上，斯旺西有62%                   18'切尔西第18分钟取得领先，伊万诺维奇传中被解围，奥斯卡横敲，迭戈-科斯塔禁区边缘精准射入右下角
18'这有些不正常                   18'切尔西第18分钟取得领先，伊万诺维奇传中被解围，奥斯卡横敲，迭戈-科斯塔禁区边缘精准射入右下角
18'0-1！！！                   18'切尔西第18分钟取得领先，伊万诺维奇传中被解围，奥斯卡横敲，迭戈-科斯塔禁区边缘精准射入右下角
18'迭戈-科斯塔！！                   18'切尔西第18分钟取得领先，伊万诺维奇传中被解围，奥斯卡横敲，迭戈-科斯塔禁区边缘精准射入右下角
19'伊万诺维奇右路起球送禁区，后卫头球解围不远，奥斯卡停球下来横敲到中路，迭戈-科斯塔冷静推射破门！！                   18'切尔西第18分钟取得领先，伊万诺维奇传中被解围，奥斯卡横敲，迭戈-科斯塔禁区边缘精准射入右下角
19'阿扎尔左路拿球给到底线                   18'切尔西第18分钟取得领先，伊万诺维奇传中被解围，奥斯卡横敲，迭戈-科斯塔禁区边缘精准射入右下角
19'斯旺西先将球破坏出边线                   18'切尔西第18分钟取得领先，伊万诺维奇传中被解围，奥斯卡横敲，迭戈-科斯塔禁区边缘精准射入右下角
20'迭戈-科斯塔左路突破没有过去                   18'切尔西第18分钟取得领先，伊万诺维奇传中被解围，奥斯卡横敲，迭戈-科斯塔禁区边缘精准射入右下角
20'切尔西的进球是没有任何的征兆                   18'切尔西第18分钟取得领先，伊万诺维奇传中被解围，奥斯卡横敲，迭戈-科斯塔禁区边缘精准射入右下角
21'阿扎尔左路断球下来高速带球到禁区                   18'切尔西第18分钟取得领先，伊万诺维奇传中被解围，奥斯卡横敲，迭戈-科斯塔禁区边缘精准射入右下角
21'禁区内小角度打门被法比安斯基用腿挡出底线                   18'切尔西第18分钟取得领先，伊万诺维奇传中被解围，奥斯卡横敲，迭戈-科斯塔禁区边缘精准射入右下角
21'切尔西的角球机会                   18'切尔西第18分钟取得领先，伊万诺维奇传中被解围，奥斯卡横敲，迭戈-科斯塔禁区边缘精准射入右下角
21'威廉角球送了一个外点                   18'切尔西第18分钟取得领先，伊万诺维奇传中被解围，奥斯卡横敲，迭戈-科斯塔禁区边缘精准射入右下角
21'奥斯卡边路起球送后点                   18'切尔西第18分钟取得领先，伊万诺维奇传中被解围，奥斯卡横敲，迭戈-科斯塔禁区边缘精准射入右下角
43'切尔西这边获得一个角球机会                   43'切尔西第43分钟浪费机会，特里角球混战中在前点令皮球偏转，无人防守的迭戈-科斯塔远点近距离却将皮球射偏，坎特随后在外围的射门再度偏出
43'角球送前点队友将球碰了一下                   43'切尔西第43分钟浪费机会，特里角球混战中在前点令皮球偏转，无人防守的迭戈-科斯塔远点近距离却将皮球射偏，坎特随后在外围的射门再度偏出
43'后点的迭戈-科斯塔机会面对空门                   43'切尔西第43分钟浪费机会，特里角球混战中在前点令皮球偏转，无人防守的迭戈-科斯塔远点近距离却将皮球射偏，坎特随后在外围的射门再度偏出
44'后卫这边有一个干扰将球居然打偏了。。。                   43'切尔西第43分钟浪费机会，特里角球混战中在前点令皮球偏转，无人防守的迭戈-科斯塔远点近距离却将皮球射偏，坎特随后在外围的射门再度偏出
46'上半场补时2分钟！                   43'切尔西第43分钟浪费机会，特里角球混战中在前点令皮球偏转，无人防守的迭戈-科斯塔远点近距离却将皮球射偏，坎特随后在外围的射门再度偏出
46'切尔西前场进攻，边裁这边举旗示意越位                   43'切尔西第43分钟浪费机会，特里角球混战中在前点令皮球偏转，无人防守的迭戈-科斯塔远点近距离却将皮球射偏，坎特随后在外围的射门再度偏出
46'斯旺西左路起球送中路                   43'切尔西第43分钟浪费机会，特里角球混战中在前点令皮球偏转，无人防守的迭戈-科斯塔远点近距离却将皮球射偏，坎特随后在外围的射门再度偏出
46'下半场比赛开始！！                   43'切尔西第43分钟浪费机会，特里角球混战中在前点令皮球偏转，无人防守的迭戈-科斯塔远点近距离却将皮球射偏，坎特随后在外围的射门再度偏出
46'下半场比赛由切尔西发球                   43'切尔西第43分钟浪费机会，特里角球混战中在前点令皮球偏转，无人防守的迭戈-科斯塔远点近距离却将皮球射偏，坎特随后在外围的射门再度偏出
51'寄诚庸中场拿球分出来                   51'第51分钟，西古德森禁区内的射门被卡希尔封堵，斯旺西球员投诉对方手球犯规，但裁判拒绝判罚
51'左路起球送禁区                   51'第51分钟，西古德森禁区内的射门被卡希尔封堵，斯旺西球员投诉对方手球犯规，但裁判拒绝判罚
51'前点被顶出来                   51'第51分钟，西古德森禁区内的射门被卡希尔封堵，斯旺西球员投诉对方手球犯规，但裁判拒绝判罚
51'迭戈-科斯塔中场带球往前走                   51'第51分钟，西古德森禁区内的射门被卡希尔封堵，斯旺西球员投诉对方手球犯规，但裁判拒绝判罚
51'阿马特这边又是放倒了迭戈-科斯塔                   51'第51分钟，西古德森禁区内的射门被卡希尔封堵，斯旺西球员投诉对方手球犯规，但裁判拒绝判罚
52'威廉任意球选择了打门                   51'第51分钟，西古德森禁区内的射门被卡希尔封堵，斯旺西球员投诉对方手球犯规，但裁判拒绝判罚
52'球到了后点被后卫碰了一下减缓了球速                   51'第51分钟，西古德森禁区内的射门被卡希尔封堵，斯旺西球员投诉对方手球犯规，但裁判拒绝判罚
53'切尔西前场断球下来                   51'第51分钟，西古德森禁区内的射门被卡希尔封堵，斯旺西球员投诉对方手球犯规，但裁判拒绝判罚
54'阿扎尔左路低平球送禁区                   51'第51分钟，西古德森禁区内的射门被卡希尔封堵，斯旺西球员投诉对方手球犯规，但裁判拒绝判罚
54'包抄的队员稍微慢了一点                   51'第51分钟，西古德森禁区内的射门被卡希尔封堵，斯旺西球员投诉对方手球犯规，但裁判拒绝判罚
62'费尔！！                   62'斯旺西第62分钟反超比分，费尔抢断卡希尔后禁区边缘内单刀射门，皮球从库尔图瓦双腿间穿过入网，2-1
63'切尔西后场横敲给到卡希尔，费尔上抢断球后到了禁区里，面对门将捅了一下后，球碰到门将后磕磕绊绊还是滚入球网！！                   62'斯旺西第62分钟反超比分，费尔抢断卡希尔后禁区边缘内单刀射门，皮球从库尔图瓦双腿间穿过入网，2-1
63'慢镜头显示，费尔上抢这一下有犯规的嫌疑                   62'斯旺西第62分钟反超比分，费尔抢断卡希尔后禁区边缘内单刀射门，皮球从库尔图瓦双腿间穿过入网，2-1
64'短短的几分钟，切尔西有领先变了落后                   62'斯旺西第62分钟反超比分，费尔抢断卡希尔后禁区边缘内单刀射门，皮球从库尔图瓦双腿间穿过入网，2-1
64'切尔西的后防有些乱                   62'斯旺西第62分钟反超比分，费尔抢断卡希尔后禁区边缘内单刀射门，皮球从库尔图瓦双腿间穿过入网，2-1
64'特里又是一个犯规                   62'斯旺西第62分钟反超比分，费尔抢断卡希尔后禁区边缘内单刀射门，皮球从库尔图瓦双腿间穿过入网，2-1
67'切尔西这段时间有些着急了                   65'第65分钟，阿扎尔前场抢断，法比安斯基及时出击铲出，跟进的迭戈-科斯塔禁区前拿球试图晃过门将时摔倒，裁判仍不予理会
67'费尔中场拿球被坎特放倒                   65'第65分钟，阿扎尔前场抢断，法比安斯基及时出击铲出，跟进的迭戈-科斯塔禁区前拿球试图晃过门将时摔倒，裁判仍不予理会
68'斯旺西后场回敲力量有些小                   65'第65分钟，阿扎尔前场抢断，法比安斯基及时出击铲出，跟进的迭戈-科斯塔禁区前拿球试图晃过门将时摔倒，裁判仍不予理会
81'2-2！！！！                   81'切尔西第81分钟扳平，法布雷加斯直传，奥斯卡禁区右侧回传，伊万诺维奇突入小禁区右上角外射门被封堵后弹起，迭戈-科斯塔小禁区边缘倒钩射门，皮球打在费德里科胸口偏转入网，2-2
81'迭戈-科斯塔！！！                   81'切尔西第81分钟扳平，法布雷加斯直传，奥斯卡禁区右侧回传，伊万诺维奇突入小禁区右上角外射门被封堵后弹起，迭戈-科斯塔小禁区边缘倒钩射门，皮球打在费德里科胸口偏转入网，2-2
82'切尔西右路挑传到禁区，伊万拿球怒射被后卫挡了一下，后点迭戈-科斯塔倒钩打门将球送进球门！！                   81'切尔西第81分钟扳平，法布雷加斯直传，奥斯卡禁区右侧回传，伊万诺维奇突入小禁区右上角外射门被封堵后弹起，迭戈-科斯塔小禁区边缘倒钩射门，皮球打在费德里科胸口偏转入网，2-2
85'切尔西这边又有机会                   85'第85分钟，阿扎尔突破分球，迭戈-科斯塔禁区右侧10码处劲射又被法比安斯基扑出，随后特里角球混战中头球攻门高出
85'迭戈-科斯塔禁区内小角度打门                   85'第85分钟，阿扎尔突破分球，迭戈-科斯塔禁区右侧10码处劲射又被法比安斯基扑出，随后特里角球混战中头球攻门高出
85'这球打近角偏了。。                   85'第85分钟，阿扎尔突破分球，迭戈-科斯塔禁区右侧10码处劲射又被法比安斯基扑出，随后特里角球混战中头球攻门高出
86'斯旺西右路下底送后点                   85'第85分钟，阿扎尔突破分球，迭戈-科斯塔禁区右侧10码处劲射又被法比安斯基扑出，随后特里角球混战中头球攻门高出
87'略伦特接球后重新组织                   85'第85分钟，阿扎尔突破分球，迭戈-科斯塔禁区右侧10码处劲射又被法比安斯基扑出，随后特里角球混战中头球攻门高出
87'禁区内形成混战                   85'第85分钟，阿扎尔突破分球，迭戈-科斯塔禁区右侧10码处劲射又被法比安斯基扑出，随后特里角球混战中头球攻门高出
87'库尔图瓦出击先将球拿到                   85'第85分钟，阿扎尔突破分球，迭戈-科斯塔禁区右侧10码处劲射又被法比安斯基扑出，随后特里角球混战中头球攻门高出
88'斯旺西换人，西古德森下，兰吉尔上！                   85'第85分钟，阿扎尔突破分球，迭戈-科斯塔禁区右侧10码处劲射又被法比安斯基扑出，随后特里角球混战中头球攻门高出
