7'刘乐左路突破，被瓜林回追断球                   7'第7分钟卡尔德克和栗鹏争顶，栗鹏被撞翻后倒地不起，好在事情不大
8'费尔南迪尼奥转身摆脱，刘若钒拉人了                   7'第7分钟卡尔德克和栗鹏争顶，栗鹏被撞翻后倒地不起，好在事情不大
9'重庆左路起球到门前，卡尔德克争顶扛倒了栗鹏                   7'第7分钟卡尔德克和栗鹏争顶，栗鹏被撞翻后倒地不起，好在事情不大
10'费尔南迪尼奥左路拿球推进                   7'第7分钟卡尔德克和栗鹏争顶，栗鹏被撞翻后倒地不起，好在事情不大
10'丁捷接应，转移右路                   7'第7分钟卡尔德克和栗鹏争顶，栗鹏被撞翻后倒地不起，好在事情不大
13'莫雷诺中场拦截，被彭欣力撞倒                   13'第13分钟退回右后方防守的刘若钒放倒冲击过来的费尔南迪尼奥吃到黄牌
13'费尔南多左路过人，被艾迪先出脚解围                   13'第13分钟退回右后方防守的刘若钒放倒冲击过来的费尔南迪尼奥吃到黄牌
14'费尔南迪尼奥左路过人被刘若钒绊倒                   13'第13分钟退回右后方防守的刘若钒放倒冲击过来的费尔南迪尼奥吃到黄牌
15'马宁黄牌警告刘若钒                   13'第13分钟退回右后方防守的刘若钒放倒冲击过来的费尔南迪尼奥吃到黄牌
15'费尔南多任意球开前点，瓜林先解围，角球                   13'第13分钟退回右后方防守的刘若钒放倒冲击过来的费尔南迪尼奥吃到黄牌
16'角球开出，高度不够被解围                   13'第13分钟退回右后方防守的刘若钒放倒冲击过来的费尔南迪尼奥吃到黄牌
22'卡尔德克领球进禁区，被艾迪卡住身位                   22'第22分钟隋维杰大脚球开到中场，卡尔德克头球摆渡，冯劲接到送球，漂亮的挑球过掉朱辰杰形成单刀，但他趟的力量有些大，被李帅抢先出击把球扑住
22'冯劲前场接应长传，领球过人进禁区                   22'第22分钟隋维杰大脚球开到中场，卡尔德克头球摆渡，冯劲接到送球，漂亮的挑球过掉朱辰杰形成单刀，但他趟的力量有些大，被李帅抢先出击把球扑住
22'趟大一步，被李帅出击没收                   22'第22分钟隋维杰大脚球开到中场，卡尔德克头球摆渡，冯劲接到送球，漂亮的挑球过掉朱辰杰形成单刀，但他趟的力量有些大，被李帅抢先出击把球扑住
24'费尔南多右路过人被孙世林绊倒，任意球                   22'第22分钟隋维杰大脚球开到中场，卡尔德克头球摆渡，冯劲接到送球，漂亮的挑球过掉朱辰杰形成单刀，但他趟的力量有些大，被李帅抢先出击把球扑住
25'任意球高度不够，前点被顶出                   22'第22分钟隋维杰大脚球开到中场，卡尔德克头球摆渡，冯劲接到送球，漂亮的挑球过掉朱辰杰形成单刀，但他趟的力量有些大，被李帅抢先出击把球扑住
28'艾迪争顶被卡尔德克顶了一下，接受治疗                   28'第28分钟曹赟定冲击被阻挡，拼抢中彭欣力倒地，孙世林禁区外围射门正好打在彭欣力头上，两队起了一点小摩擦
29'元敏诚争顶，背后撞倒了朱建荣                   28'第28分钟曹赟定冲击被阻挡，拼抢中彭欣力倒地，孙世林禁区外围射门正好打在彭欣力头上，两队起了一点小摩擦
29'申花前场靠左的任意球                   28'第28分钟曹赟定冲击被阻挡，拼抢中彭欣力倒地，孙世林禁区外围射门正好打在彭欣力头上，两队起了一点小摩擦
30'快开，曹赟定陷入包夹，被破坏                   28'第28分钟曹赟定冲击被阻挡，拼抢中彭欣力倒地，孙世林禁区外围射门正好打在彭欣力头上，两队起了一点小摩擦
30'柏佳骏左路上抢，直接踢倒冯劲                   28'第28分钟曹赟定冲击被阻挡，拼抢中彭欣力倒地，孙世林禁区外围射门正好打在彭欣力头上，两队起了一点小摩擦
30'马宁黄牌警告柏佳骏                   28'第28分钟曹赟定冲击被阻挡，拼抢中彭欣力倒地，孙世林禁区外围射门正好打在彭欣力头上，两队起了一点小摩擦
33'卡尔德克接应进禁区，下底，先出界                   33'第33分钟瓜林对费尔南多犯规吃到黄牌
34'瓜林中场踢倒费尔南多，被黄牌警告                   33'第33分钟瓜林对费尔南多犯规吃到黄牌
35'唐家庶左路和艾迪纠缠，球出界                   33'第33分钟瓜林对费尔南多犯规吃到黄牌
36'朱建荣前场上抢，唐家庶解围出边线                   33'第33分钟瓜林对费尔南多犯规吃到黄牌
40'费尔南迪尼奥左路接应，被刘若钒破坏                   40'第40分钟重庆队禁区内形成多人压制，又是卡尔德克头球摆渡，但费尔南迪尼奥一记凌空抽射打得不知所云
40'莫雷诺斜传左路，曹赟定接应回敲                   40'第40分钟重庆队禁区内形成多人压制，又是卡尔德克头球摆渡，但费尔南迪尼奥一记凌空抽射打得不知所云
40'柏佳骏左路起球去后点，大了出底线                   40'第40分钟重庆队禁区内形成多人压制，又是卡尔德克头球摆渡，但费尔南迪尼奥一记凌空抽射打得不知所云
41'冯劲右路拿球，传中被朱辰杰顶出                   40'第40分钟重庆队禁区内形成多人压制，又是卡尔德克头球摆渡，但费尔南迪尼奥一记凌空抽射打得不知所云
41'刘乐左路起球，卡尔德克摆渡                   40'第40分钟重庆队禁区内形成多人压制，又是卡尔德克头球摆渡，但费尔南迪尼奥一记凌空抽射打得不知所云
41'费尔南迪尼奥跟上打疵了                   40'第40分钟重庆队禁区内形成多人压制，又是卡尔德克头球摆渡，但费尔南迪尼奥一记凌空抽射打得不知所云
43'朱建荣禁区前头球后蹭，瓜林右路被包夹                   40'第40分钟重庆队禁区内形成多人压制，又是卡尔德克头球摆渡，但费尔南迪尼奥一记凌空抽射打得不知所云
43'孙世林45度起球，被邓小飞没收                   40'第40分钟重庆队禁区内形成多人压制，又是卡尔德克头球摆渡，但费尔南迪尼奥一记凌空抽射打得不知所云
43'刘乐前场争顶犯规                   40'第40分钟重庆队禁区内形成多人压制，又是卡尔德克头球摆渡，但费尔南迪尼奥一记凌空抽射打得不知所云
48'朱辰杰大脚去前场，元敏诚解围                   48'第48分钟申花左路长传 ，瓜林得球往禁区里突，被过掉的刘乐明显拉拽瓜林，后者就势倒地，黄牌加点球
49'卡尔德克左路头球摆渡，朱辰杰先到位回传门将                   48'第48分钟申花左路长传 ，瓜林得球往禁区里突，被过掉的刘乐明显拉拽瓜林，后者就势倒地，黄牌加点球
49'曹赟定左路空位拿球进禁区                   48'第48分钟申花左路长传 ，瓜林得球往禁区里突，被过掉的刘乐明显拉拽瓜林，后者就势倒地，黄牌加点球
49'内切被解围出去，再斜传另一侧                   48'第48分钟申花左路长传 ，瓜林得球往禁区里突，被过掉的刘乐明显拉拽瓜林，后者就势倒地，黄牌加点球
49'瓜林进禁区，下底被拉倒                   48'第48分钟申花左路长传 ，瓜林得球往禁区里突，被过掉的刘乐明显拉拽瓜林，后者就势倒地，黄牌加点球
49'点球，刘乐拉人，被黄牌警告                   48'第48分钟申花左路长传 ，瓜林得球往禁区里突，被过掉的刘乐明显拉拽瓜林，后者就势倒地，黄牌加点球
49'申花拿到了点球                   48'第48分钟申花左路长传 ，瓜林得球往禁区里突，被过掉的刘乐明显拉拽瓜林，后者就势倒地，黄牌加点球
50'瓜林自己来主罚                   48'第48分钟申花左路长传 ，瓜林得球往禁区里突，被过掉的刘乐明显拉拽瓜林，后者就势倒地，黄牌加点球
50'一蹴而就！！                   48'第48分钟申花左路长传 ，瓜林得球往禁区里突，被过掉的刘乐明显拉拽瓜林，后者就势倒地，黄牌加点球
50'瓜林打入点球，申花领先了                   48'第48分钟申花左路长传 ，瓜林得球往禁区里突，被过掉的刘乐明显拉拽瓜林，后者就势倒地，黄牌加点球
51'重庆0-1落后申花                   48'第48分钟申花左路长传 ，瓜林得球往禁区里突，被过掉的刘乐明显拉拽瓜林，后者就势倒地，黄牌加点球
52'莫雷诺肋部横敲，被丁捷断下                   52'重庆必须猛攻，第52分钟费尔南迪尼奥从左路内切到中路射门打偏
52'费尔南多左路拿球，传中被柏佳骏顶出                   52'重庆必须猛攻，第52分钟费尔南迪尼奥从左路内切到中路射门打偏
52'另一侧冯劲停球出界了                   52'重庆必须猛攻，第52分钟费尔南迪尼奥从左路内切到中路射门打偏
53'费尔南迪尼奥左路拿球，沿禁区内切                   52'重庆必须猛攻，第52分钟费尔南迪尼奥从左路内切到中路射门打偏
53'右脚远射打偏了                   52'重庆必须猛攻，第52分钟费尔南迪尼奥从左路内切到中路射门打偏
53'孙世林中场拦截，分右路                   52'重庆必须猛攻，第52分钟费尔南迪尼奥从左路内切到中路射门打偏
54'瓜林右路起球到另一侧，曹赟定                   52'重庆必须猛攻，第52分钟费尔南迪尼奥从左路内切到中路射门打偏
54'和莫雷诺配合，球进禁区被门将没收了                   52'重庆必须猛攻，第52分钟费尔南迪尼奥从左路内切到中路射门打偏
55'费尔南迪尼奥让球转身，分左路                   52'重庆必须猛攻，第52分钟费尔南迪尼奥从左路内切到中路射门打偏
55'刘乐插上，被艾迪铲截破坏                   52'重庆必须猛攻，第52分钟费尔南迪尼奥从左路内切到中路射门打偏
55'球弹在刘乐自己腿上出底线，球门球                   52'重庆必须猛攻，第52分钟费尔南迪尼奥从左路内切到中路射门打偏
55'艾迪右路趟球过人被刘乐绊倒，任意球                   52'重庆必须猛攻，第52分钟费尔南迪尼奥从左路内切到中路射门打偏
61'曹赟定右路起球被顶出                   61'第61分钟艾迪从侧撞翻费尔南迪尼奥吃到黄牌
61'莫雷诺护球，被断                   61'第61分钟艾迪从侧撞翻费尔南迪尼奥吃到黄牌
61'费尔南迪尼奥推进反击，分右路大了                   61'第61分钟艾迪从侧撞翻费尔南迪尼奥吃到黄牌
62'艾迪中场上抢放倒费尔南迪尼奥                   61'第61分钟艾迪从侧撞翻费尔南迪尼奥吃到黄牌
62'马宁黄牌警告艾迪                   61'第61分钟艾迪从侧撞翻费尔南迪尼奥吃到黄牌
62'重庆快开任意球，被马宁吹停，重开                   61'第61分钟艾迪从侧撞翻费尔南迪尼奥吃到黄牌
63'刘乐左路下底传中被刘若钒封堵，角球                   61'第61分钟艾迪从侧撞翻费尔南迪尼奥吃到黄牌
64'角球到后点被曹赟定顶出                   61'第61分钟艾迪从侧撞翻费尔南迪尼奥吃到黄牌
64'外围莫雷诺推人，任意球                   61'第61分钟艾迪从侧撞翻费尔南迪尼奥吃到黄牌
64'费尔南多任意球被瓜林顶出                   61'第61分钟艾迪从侧撞翻费尔南迪尼奥吃到黄牌
66'角球开门前，刘若钒没顶上                   66'第66分钟费尔南迪尼奥开出左路角球 ，唐佳庶头球顶高
66'瓜林右路下底，传中到前点被顶出                   66'第66分钟费尔南迪尼奥开出左路角球 ，唐佳庶头球顶高
67'费尔南多分左路，费尔南迪尼奥传中                   66'第66分钟费尔南迪尼奥开出左路角球 ，唐佳庶头球顶高
67'被艾迪挡出，角球                   66'第66分钟费尔南迪尼奥开出左路角球 ，唐佳庶头球顶高
67'角球开前点，唐家庶顶高了                   66'第66分钟费尔南迪尼奥开出左路角球 ，唐佳庶头球顶高
68'刘若钒中场把球拿下，分孙世林                   66'第66分钟费尔南迪尼奥开出左路角球 ，唐佳庶头球顶高
68'曹赟定左路传中，后卫先一垫                   66'第66分钟费尔南迪尼奥开出左路角球 ，唐佳庶头球顶高
68'邓小飞跃起把球拿下                   66'第66分钟费尔南迪尼奥开出左路角球 ，唐佳庶头球顶高
69'瓜林送左路身后，稍大                   66'第66分钟费尔南迪尼奥开出左路角球 ，唐佳庶头球顶高
69'申花换人，朱建荣被高迪换下                   66'第66分钟费尔南迪尼奥开出左路角球 ，唐佳庶头球顶高
69'瓜林送左路身后，稍大                   69'第69分钟费尔南多左路传中又找到卡尔德克，但卡尔德克顶偏出界
69'申花换人，朱建荣被高迪换下                   69'第69分钟费尔南多左路传中又找到卡尔德克，但卡尔德克顶偏出界
