1'上半场比赛开始！！                   1'比赛在大雨中进行，曼联第1分钟控制比赛，但伯恩茅斯随后逐渐进入比赛节奏
1'首先开球的是伯恩茅斯                   1'比赛在大雨中进行，曼联第1分钟控制比赛，但伯恩茅斯随后逐渐进入比赛节奏
1'曼联中场长传打身后                   1'比赛在大雨中进行，曼联第1分钟控制比赛，但伯恩茅斯随后逐渐进入比赛节奏
1'队友接球给到中路                   1'比赛在大雨中进行，曼联第1分钟控制比赛，但伯恩茅斯随后逐渐进入比赛节奏
1'落点不是太好                   1'比赛在大雨中进行，曼联第1分钟控制比赛，但伯恩茅斯随后逐渐进入比赛节奏
2'林加德这边上抢犯规了                   1'比赛在大雨中进行，曼联第1分钟控制比赛，但伯恩茅斯随后逐渐进入比赛节奏
2'林加德这边上抢犯规了                   2'2分钟后，斯坦尼斯拉斯头球摆渡，戈斯林禁区右侧的小角度射门被德赫亚挡出近角
5'麦克托米奈前场接球转身                   2'2分钟后，斯坦尼斯拉斯头球摆渡，戈斯林禁区右侧的小角度射门被德赫亚挡出近角
5'伯恩茅斯这边先犯规了                   2'2分钟后，斯坦尼斯拉斯头球摆渡，戈斯林禁区右侧的小角度射门被德赫亚挡出近角
5'曼联这边任意球开出                   2'2分钟后，斯坦尼斯拉斯头球摆渡，戈斯林禁区右侧的小角度射门被德赫亚挡出近角
5'效果不好                   2'2分钟后，斯坦尼斯拉斯头球摆渡，戈斯林禁区右侧的小角度射门被德赫亚挡出近角
5'伯恩茅斯这边反击                   2'2分钟后，斯坦尼斯拉斯头球摆渡，戈斯林禁区右侧的小角度射门被德赫亚挡出近角
5'右路推进到底线                   2'2分钟后，斯坦尼斯拉斯头球摆渡，戈斯林禁区右侧的小角度射门被德赫亚挡出近角
5'第一下没传进来                   2'2分钟后，斯坦尼斯拉斯头球摆渡，戈斯林禁区右侧的小角度射门被德赫亚挡出近角
60'瓦伦西亚右路起球送禁区                   60'曼联第60分钟错过机会，马夏尔头球摆渡，反越位成功的卢卡库小禁区左上角外小角度射门被贝戈维奇出击封挡后偏转，但马夏尔却在小禁区边缘射空门打飞
60'伯恩茅斯这边解围失误了                   60'曼联第60分钟错过机会，马夏尔头球摆渡，反越位成功的卢卡库小禁区左上角外小角度射门被贝戈维奇出击封挡后偏转，但马夏尔却在小禁区边缘射空门打飞
60'卢卡库禁区内面对门将                   60'曼联第60分钟错过机会，马夏尔头球摆渡，反越位成功的卢卡库小禁区左上角外小角度射门被贝戈维奇出击封挡后偏转，但马夏尔却在小禁区边缘射空门打飞
60'横敲给到小禁区                   60'曼联第60分钟错过机会，马夏尔头球摆渡，反越位成功的卢卡库小禁区左上角外小角度射门被贝戈维奇出击封挡后偏转，但马夏尔却在小禁区边缘射空门打飞
60'马夏尔这边空门了                   60'曼联第60分钟错过机会，马夏尔头球摆渡，反越位成功的卢卡库小禁区左上角外小角度射门被贝戈维奇出击封挡后偏转，但马夏尔却在小禁区边缘射空门打飞
60'推射将球打高了                   60'曼联第60分钟错过机会，马夏尔头球摆渡，反越位成功的卢卡库小禁区左上角外小角度射门被贝戈维奇出击封挡后偏转，但马夏尔却在小禁区边缘射空门打飞
60'马夏尔这球也是被对方干扰                   60'曼联第60分钟错过机会，马夏尔头球摆渡，反越位成功的卢卡库小禁区左上角外小角度射门被贝戈维奇出击封挡后偏转，但马夏尔却在小禁区边缘射空门打飞
60'曼联这边要准备进行人员调整                   60'曼联第60分钟错过机会，马夏尔头球摆渡，反越位成功的卢卡库小禁区左上角外小角度射门被贝戈维奇出击封挡后偏转，但马夏尔却在小禁区边缘射空门打飞
61'瓦伦西亚边路起球被挡                   60'曼联第60分钟错过机会，马夏尔头球摆渡，反越位成功的卢卡库小禁区左上角外小角度射门被贝戈维奇出击封挡后偏转，但马夏尔却在小禁区边缘射空门打飞
61'伯恩茅斯这边的反击                   60'曼联第60分钟错过机会，马夏尔头球摆渡，反越位成功的卢卡库小禁区左上角外小角度射门被贝戈维奇出击封挡后偏转，但马夏尔却在小禁区边缘射空门打飞
62'麦克托米奈回追的时候先犯规                   60'曼联第60分钟错过机会，马夏尔头球摆渡，反越位成功的卢卡库小禁区左上角外小角度射门被贝戈维奇出击封挡后偏转，但马夏尔却在小禁区边缘射空门打飞
62'伯恩茅斯前场拿球                   60'曼联第60分钟错过机会，马夏尔头球摆渡，反越位成功的卢卡库小禁区左上角外小角度射门被贝戈维奇出击封挡后偏转，但马夏尔却在小禁区边缘射空门打飞
62'横向的转移被断了                   60'曼联第60分钟错过机会，马夏尔头球摆渡，反越位成功的卢卡库小禁区左上角外小角度射门被贝戈维奇出击封挡后偏转，但马夏尔却在小禁区边缘射空门打飞
62'曼联这边反击的机会                   60'曼联第60分钟错过机会，马夏尔头球摆渡，反越位成功的卢卡库小禁区左上角外小角度射门被贝戈维奇出击封挡后偏转，但马夏尔却在小禁区边缘射空门打飞
62'马夏尔禁区弧顶塞球                   60'曼联第60分钟错过机会，马夏尔头球摆渡，反越位成功的卢卡库小禁区左上角外小角度射门被贝戈维奇出击封挡后偏转，但马夏尔却在小禁区边缘射空门打飞
62'没有给过去                   60'曼联第60分钟错过机会，马夏尔头球摆渡，反越位成功的卢卡库小禁区左上角外小角度射门被贝戈维奇出击封挡后偏转，但马夏尔却在小禁区边缘射空门打飞
63'卢克-肖拿球过中场                   60'曼联第60分钟错过机会，马夏尔头球摆渡，反越位成功的卢卡库小禁区左上角外小角度射门被贝戈维奇出击封挡后偏转，但马夏尔却在小禁区边缘射空门打飞
63'边路起球送禁区后点                   60'曼联第60分钟错过机会，马夏尔头球摆渡，反越位成功的卢卡库小禁区左上角外小角度射门被贝戈维奇出击封挡后偏转，但马夏尔却在小禁区边缘射空门打飞
63'卢卡库这边没有跟上                   60'曼联第60分钟错过机会，马夏尔头球摆渡，反越位成功的卢卡库小禁区左上角外小角度射门被贝戈维奇出击封挡后偏转，但马夏尔却在小禁区边缘射空门打飞
63'曼联右路再传                   60'曼联第60分钟错过机会，马夏尔头球摆渡，反越位成功的卢卡库小禁区左上角外小角度射门被贝戈维奇出击封挡后偏转，但马夏尔却在小禁区边缘射空门打飞
63'没有给进去                   60'曼联第60分钟错过机会，马夏尔头球摆渡，反越位成功的卢卡库小禁区左上角外小角度射门被贝戈维奇出击封挡后偏转，但马夏尔却在小禁区边缘射空门打飞
