7' 库扎耶夫把球得到！回传身后伊格纳舍维奇传中！                   7'第7分钟，拉姆塞直传，越位的厄齐尔低传拉姆塞进球被判无效
7'禁区左侧的什切尼科夫左脚打门！打飞出了底线！                   7'第7分钟，拉姆塞直传，越位的厄齐尔低传拉姆塞进球被判无效
8'切赫大脚给到中场右侧！                   7'第7分钟，拉姆塞直传，越位的厄齐尔低传拉姆塞进球被判无效
8'拉姆塞得球向前给一脚直塞！                   7'第7分钟，拉姆塞直传，越位的厄齐尔低传拉姆塞进球被判无效
8'前场右路厄齐尔把球得到！                   7'第7分钟，拉姆塞直传，越位的厄齐尔低传拉姆塞进球被判无效
8'横传给禁区中路拉姆塞！                   7'第7分钟，拉姆塞直传，越位的厄齐尔低传拉姆塞进球被判无效
8'拉姆塞推射打门！球进了！                   7'第7分钟，拉姆塞直传，越位的厄齐尔低传拉姆塞进球被判无效
9'边裁举旗！厄齐尔得球时候已经越位！进球无效！                   7'第7分钟，拉姆塞直传，越位的厄齐尔低传拉姆塞进球被判无效
9'姆希塔良给到中路的威尔希尔！                   7'第7分钟，拉姆塞直传，越位的厄齐尔低传拉姆塞进球被判无效
10'威尔希尔分球给右路贝莱林！                   7'第7分钟，拉姆塞直传，越位的厄齐尔低传拉姆塞进球被判无效
10'贝莱林低平球传中给到禁区左侧拉姆塞！                   7'第7分钟，拉姆塞直传，越位的厄齐尔低传拉姆塞进球被判无效
10'拉姆塞在打一脚推射！！                   7'第7分钟，拉姆塞直传，越位的厄齐尔低传拉姆塞进球被判无效
10'GOOOOOOAL！球进了！！！                   7'第7分钟，拉姆塞直传，越位的厄齐尔低传拉姆塞进球被判无效
15'皮球被切赫直接没收！                   15'莫斯科中央陆军第15分钟扳平，科斯切尔尼禁区前犯规，戈洛文亲自主罚25码处任意球直接射门，皮球绕过人墙入右上角，1-1
