13'进球啦！！！利沃诺球员保利尼奥右脚射门,球从左上角飞进球门,球进了! 乌迪内斯 0-1 利沃诺.                   13'第13分钟，保利尼奥左侧任意球越过人墙入近角，1比0
15'利沃诺球员格雷科拼抢犯规,对手获得控球权.                   13'第13分钟，保利尼奥左侧任意球越过人墙入近角，1比0
15'加-希尔瓦为乌迪内斯赢得一个任意球.                   13'第13分钟，保利尼奥左侧任意球越过人墙入近角，1比0
15'彼茨尼将球处理出底线,乌迪内斯获得角球.                   13'第13分钟，保利尼奥左侧任意球越过人墙入近角，1比0
16'射门!!!乌迪内斯球员B-费尔南德斯大禁区外右脚射门,被对方守门员横身扑出.给他传球的是佩雷拉.                   13'第13分钟，保利尼奥左侧任意球越过人墙入近角，1比0
21'进球啦！！！乌迪内斯球员巴度大禁区中央右脚射门,球从中路飞进球门,球进了!助攻的是B-费尔南德斯. 乌迪内斯 2-1 利沃诺.                   21'第21分钟，迪纳塔莱反击横传，布鲁诺-费尔南德斯停球失误，但巴杜将球打进，2比1
23'利沃诺球员梅斯巴大禁区外左脚射门,被防守球员封堵.给他传球的是格雷科.                   21'第21分钟，迪纳塔莱反击横传，布鲁诺-费尔南德斯停球失误，但巴杜将球打进，2比1
33'进球啦！！！乌迪内斯球员佩雷拉大禁区中央左脚射门,球从右下角飞进球门,球进了!助攻的是加-希尔瓦. 乌迪内斯 3-2 利沃诺.                   33'第33分钟，迪纳塔莱和加布里埃尔-席尔瓦打出配合，佩雷拉射进球门顶端，3比2
34'贝纳希为利沃诺在右路,赢得一个任意球.                   33'第33分钟，迪纳塔莱和加布里埃尔-席尔瓦打出配合，佩雷拉射进球门顶端，3比2
34'乌迪内斯球员加-希尔瓦拼抢犯规,对手获得控球权.                   33'第33分钟，迪纳塔莱和加布里埃尔-席尔瓦打出配合，佩雷拉射进球门顶端，3比2
35'利沃诺球员科达拼抢犯规,对手获得控球权.                   33'第33分钟，迪纳塔莱和加布里埃尔-席尔瓦打出配合，佩雷拉射进球门顶端，3比2
35'迪纳塔莱为乌迪内斯在左路,赢得一个任意球.                   33'第33分钟，迪纳塔莱和加布里埃尔-席尔瓦打出配合，佩雷拉射进球门顶端，3比2
47'埃莫森为利沃诺赢得一个任意球.                   46'1分钟后，平齐传球，迪纳塔莱反越位外脚背破门，5比2，他以189球超越皮耶罗和西格诺里，升至意甲总射手榜第8位
47'乌迪内斯球员巴度拼抢犯规,对手获得控球权.                   46'1分钟后，平齐传球，迪纳塔莱反越位外脚背破门，5比2，他以189球超越皮耶罗和西格诺里，升至意甲总射手榜第8位
49'乌迪内斯球员巴度大禁区外右脚射门,被防守球员封堵.                   46'1分钟后，平齐传球，迪纳塔莱反越位外脚背破门，5比2，他以189球超越皮耶罗和西格诺里，升至意甲总射手榜第8位
49'邓肯将球处理出底线,乌迪内斯获得角球.                   46'1分钟后，平齐传球，迪纳塔莱反越位外脚背破门，5比2，他以189球超越皮耶罗和西格诺里，升至意甲总射手榜第8位
49'乌迪内斯球员巴度大禁区中央右脚射门,被防守球员封堵.给他传球的是佩雷拉.                   46'1分钟后，平齐传球，迪纳塔莱反越位外脚背破门，5比2，他以189球超越皮耶罗和西格诺里，升至意甲总射手榜第8位
49'乌迪内斯球员迪纳塔莱大禁区右侧尝试右脚射门,可惜皮球稍稍偏出了右球门.                   46'1分钟后，平齐传球，迪纳塔莱反越位外脚背破门，5比2，他以189球超越皮耶罗和西格诺里，升至意甲总射手榜第8位
