8'内马尔左侧拿球，转身之际身后的马罗犯规了                   8'第8分钟，拉基蒂奇传中，内马尔头球攻门被没收
8'马萨前场的定位球机会                   8'第8分钟，拉基蒂奇传中，内马尔头球攻门被没收
9'定位球送入禁区，塞尔塔的解围不远                   8'第8分钟，拉基蒂奇传中，内马尔头球攻门被没收
9'拉基蒂奇左侧把球在送入禁区内，内马尔中路埋伏一记头球攻门，太正了！！！                   8'第8分钟，拉基蒂奇传中，内马尔头球攻门被没收
10'塞尔塔沿着左路的进攻，禁区内阿尔巴积极的拦截，把球拿下来                   8'第8分钟，拉基蒂奇传中，内马尔头球攻门被没收
11'今天巴萨对后防的保护不错，几乎没给塞尔塔留下任何的进攻机会                   8'第8分钟，拉基蒂奇传中，内马尔头球攻门被没收
17'这个任意球的位置极佳，塞尔塔的机会来了，弧顶的任意球                   17'第17分钟，诺里托突破赢得20码处任意球机会，但前巴萨边锋亲自主罚高出
18'诺利托亲自操刀，任意球直接轰门，高出了一些                   17'第17分钟，诺里托突破赢得20码处任意球机会，但前巴萨边锋亲自主罚高出
18'阿尔维斯右路拿球，斜传禁区，没有形成威胁                   17'第17分钟，诺里托突破赢得20码处任意球机会，但前巴萨边锋亲自主罚高出
19'巴萨前场很好的机会，阿尔维斯带球有些多，没有及时出球，丧失了良机                   17'第17分钟，诺里托突破赢得20码处任意球机会，但前巴萨边锋亲自主罚高出
20'梅西生吃对手，造成一记角球                   17'第17分钟，诺里托突破赢得20码处任意球机会，但前巴萨边锋亲自主罚高出
20'左路梅西开出战术角球，布拉尔对拉基蒂奇犯规                   17'第17分钟，诺里托突破赢得20码处任意球机会，但前巴萨边锋亲自主罚高出
28'诺利托左路本想打门，结果被挡了一下，变成传中                   28'第28分钟，奥雷拉纳开出角球，巴勃罗-埃尔南德斯小禁区前头球攻门被布拉沃没收
29'拉里维禁区内得球，转身打门，被挡出底线                   28'第28分钟，奥雷拉纳开出角球，巴勃罗-埃尔南德斯小禁区前头球攻门被布拉沃没收
29'右路开出角球，费尔南德斯禁区内高高跳起，头球攻门，被布拉沃倒地得到                   28'第28分钟，奥雷拉纳开出角球，巴勃罗-埃尔南德斯小禁区前头球攻门被布拉沃没收
30'梅西接到苏神的传球，梅西左边路拿球，在直塞给向前插的苏神                   28'第28分钟，奥雷拉纳开出角球，巴勃罗-埃尔南德斯小禁区前头球攻门被布拉沃没收
