4'刘小龙主罚角球，到前点，韩德明抢点甩头攻门，球稍稍高出横梁！                   4'第4分钟，韩德明接刘小龙开出的角球头球攻门，球稍稍高出横梁
4'中场又是毅腾的断球，许东带球过半场，孙捷中场将球拦截出边线                   4'第4分钟，韩德明接刘小龙开出的角球头球攻门，球稍稍高出横梁
5'韩德明禁区左边缘停下球来，刘小龙插上下底传中，收获 一个角球                   4'第4分钟，韩德明接刘小龙开出的角球头球攻门，球稍稍高出横梁
5'刘小龙角球发到禁区内，伊斯梅洛夫头球解围                   4'第4分钟，韩德明接刘小龙开出的角球头球攻门，球稍稍高出横梁
5'亚泰的反击，张笑飞左路套上传中，没有传好                   4'第4分钟，韩德明接刘小龙开出的角球头球攻门，球稍稍高出横梁
6'毅腾反过来三打四，李家赫的传中球被王万鹏头球解围                   4'第4分钟，韩德明接刘小龙开出的角球头球攻门，球稍稍高出横梁
6'中场还是毅腾的控球，刘小龙斜传球比较低                   4'第4分钟，韩德明接刘小龙开出的角球头球攻门，球稍稍高出横梁
6'王万鹏解围不远，亚当休斯禁区外大力轰门，打偏了                   4'第4分钟，韩德明接刘小龙开出的角球头球攻门，球稍稍高出横梁
7'孙捷长传转移给曹添堡，亚泰没有将速度打起来                   4'第4分钟，韩德明接刘小龙开出的角球头球攻门，球稍稍高出横梁
7'曹添堡再拿球往前直传，张笑飞后排插上被李家赫绊倒                   4'第4分钟，韩德明接刘小龙开出的角球头球攻门，球稍稍高出横梁
7'亚泰在前场左路边线附近拿到一个任意球机会                   4'第4分钟，韩德明接刘小龙开出的角球头球攻门，球稍稍高出横梁
47'埃尼尼奥中场断球，中路狂奔，拉都拉不住                   47'2分钟后，亚当-休斯利用王万鹏解围不远尝试禁区外远射，球偏出球门
47'埃尼尼奥弧顶处的打门，可惜稍稍打高                   47'2分钟后，亚当-休斯利用王万鹏解围不远尝试禁区外远射，球偏出球门
47'上半场结束了！                   47'2分钟后，亚当-休斯利用王万鹏解围不远尝试禁区外远射，球偏出球门
47'上半场比赛毅腾的进球让我们想起了2000年亚洲杯小组赛，中国队与韩国队陈刚助攻宿茂臻头球破网一球，线路与进球方式都如出一辙！                   47'2分钟后，亚当-休斯利用王万鹏解围不远尝试禁区外远射，球偏出球门
48'亚泰后场控制，毅腾前场逼抢还是很积极                   47'2分钟后，亚当-休斯利用王万鹏解围不远尝试禁区外远射，球偏出球门
48'又是埃尼尼奥中路的突破被绊倒                   47'2分钟后，亚当-休斯利用王万鹏解围不远尝试禁区外远射，球偏出球门
