18'巴德尔吉为佛罗伦萨赢得一个任意球.                   18'开场18分钟，劳里尼右路传中，韦勒图抢在卡拉布里亚前面头球高出
18'AC米兰球员凯西拼抢犯规,对手获得控球权.                   18'开场18分钟，劳里尼右路传中，韦勒图抢在卡拉布里亚前面头球高出
19'佛罗伦萨球员维勒图特球门线跟前尝试,可惜皮球高出球门.给他传球的是Vincent Laurini.                   18'开场18分钟，劳里尼右路传中，韦勒图抢在卡拉布里亚前面头球高出
19'佛罗伦萨球员巴德尔吉拼抢犯规,对手获得控球权.                   18'开场18分钟，劳里尼右路传中，韦勒图抢在卡拉布里亚前面头球高出
19'凯西为AC米兰在对方半场,赢得一个任意球.                   18'开场18分钟，劳里尼右路传中，韦勒图抢在卡拉布里亚前面头球高出
20'AC米兰球员卡拉手球犯规,对手获得球权.                   18'开场18分钟，劳里尼右路传中，韦勒图抢在卡拉布里亚前面头球高出
51'射门!!!AC米兰球员苏索大禁区外左脚射门,被对方守门员横身扑出.给他传球的是博努奇.                   51'AC米兰第51分钟首次射正，博努奇右路直传，苏索拿球内切，在门前18米处左脚弧线球被斯波尔蒂耶洛单手托出横梁
51'斯波蒂耶洛将球处理出底线,AC米兰获得角球.                   51'AC米兰第51分钟首次射正，博努奇右路直传，苏索拿球内切，在门前18米处左脚弧线球被斯波尔蒂耶洛单手托出横梁
52'乔瓦尼-西蒙尼将球处理出底线,AC米兰获得角球.                   51'AC米兰第51分钟首次射正，博努奇右路直传，苏索拿球内切，在门前18米处左脚弧线球被斯波尔蒂耶洛单手托出横梁
53'AC米兰换人,恰尔汉奥卢换下博里尼                   51'AC米兰第51分钟首次射正，博努奇右路直传，苏索拿球内切，在门前18米处左脚弧线球被斯波尔蒂耶洛单手托出横梁
54'佛罗伦萨换人,基耶萨换下迪亚斯                   51'AC米兰第51分钟首次射正，博努奇右路直传，苏索拿球内切，在门前18米处左脚弧线球被斯波尔蒂耶洛单手托出横梁
54'佛罗伦萨球员基耶萨大禁区外尝试右脚射门,可惜皮球高出右上角球门.给他传球的是巴德尔吉.                   51'AC米兰第51分钟首次射正，博努奇右路直传，苏索拿球内切，在门前18米处左脚弧线球被斯波尔蒂耶洛单手托出横梁
71'进球啦！！！佛罗伦萨球员乔瓦尼-西蒙尼球门线跟前头球,球从左下角飞进球门,球进了!助攻的是比拉吉. 佛罗伦萨 1-0 AC米兰.                   71'紫百合第71分钟打破僵局
72'AC米兰换人,安德烈-席尔瓦换下博纳文图拉                   71'紫百合第71分钟打破僵局
73'佛罗伦萨换人,雨果上,Germán Pezzella因伤下场.                   71'紫百合第71分钟打破僵局
73'AC米兰球员库特罗内大禁区中央左脚射门,被防守球员封堵.给他传球的是罗德里格斯.                   71'紫百合第71分钟打破僵局
74'射门!!!AC米兰球员苏索大禁区右侧左脚射门,被对方守门员横身扑出.给他传球的是恰尔汉奥卢.                   71'紫百合第71分钟打破僵局
74'进球啦！！！AC米兰球员恰尔汉奥卢球门线跟前右脚射门,球从中路偏上飞进球门,球进了! 佛罗伦萨 1-1 AC米兰.                   71'紫百合第71分钟打破僵局
74'射门!!!AC米兰球员苏索大禁区右侧左脚射门,被对方守门员横身扑出.给他传球的是恰尔汉奥卢.                   74'第74分钟，恰尔汉奥卢中路分球，苏索右路拿球内切，在门前13米处左脚小角度抽射被斯波尔蒂耶洛偏出，恰尔汉奥卢左侧补射得手，1比1
74'进球啦！！！AC米兰球员恰尔汉奥卢球门线跟前右脚射门,球从中路偏上飞进球门,球进了! 佛罗伦萨 1-1 AC米兰.                   74'第74分钟，恰尔汉奥卢中路分球，苏索右路拿球内切，在门前13米处左脚小角度抽射被斯波尔蒂耶洛偏出，恰尔汉奥卢左侧补射得手，1比1
76'佛罗伦萨球员巴德尔吉大禁区外尝试右脚射门,可惜皮球高出球门.给他传球的是基耶萨.                   74'第74分钟，恰尔汉奥卢中路分球，苏索右路拿球内切，在门前13米处左脚小角度抽射被斯波尔蒂耶洛偏出，恰尔汉奥卢左侧补射得手，1比1
