2'开场江苏舜天上压很大，阿尔滨后场防守。                   2'第2分钟，罗申巴克的后场长传球落到了凯塔身前，但边裁示意凯塔越位在先
2'今天阿尔滨中场阵容有变化，孙铂，罗申巴克首发出场。                   2'第2分钟，罗申巴克的后场长传球落到了凯塔身前，但边裁示意凯塔越位在先
2'吕鹏中路传球瓦罗，瓦罗越位在先，江苏后场任意球。                   2'第2分钟，罗申巴克的后场长传球落到了凯塔身前，但边裁示意凯塔越位在先
3'今天大连气温比较高，有32度了，湿度也特别大。                   2'第2分钟，罗申巴克的后场长传球落到了凯塔身前，但边裁示意凯塔越位在先
4'阿尔滨后场大脚传球前场瓦罗，瓦罗头球做球给凯塔，凯塔前场控球组织进攻。                   2'第2分钟，罗申巴克的后场长传球落到了凯塔身前，但边裁示意凯塔越位在先
4'今天场上主裁判是艾锟。                   2'第2分钟，罗申巴克的后场长传球落到了凯塔身前，但边裁示意凯塔越位在先
4'赵和靖后场倒地解围，球中江苏队员身上弹出底线，阿尔滨门球。                   2'第2分钟，罗申巴克的后场长传球落到了凯塔身前，但边裁示意凯塔越位在先
5'李学鹏后场控球，传球晋鹏翔。                   2'第2分钟，罗申巴克的后场长传球落到了凯塔身前，但边裁示意凯塔越位在先
5'江苏后场控球，大脚前传找耶夫蒂奇，晋鹏翔紧逼耶夫蒂奇。                   2'第2分钟，罗申巴克的后场长传球落到了凯塔身前，但边裁示意凯塔越位在先
5'阿尔滨后场控球，于大宝得球。                   2'第2分钟，罗申巴克的后场长传球落到了凯塔身前，但边裁示意凯塔越位在先
9'吕鹏传球同样失误，舜天反击。                   9'第9分钟，吉翔左路尝试远射，球未能命中门框范围内
9'舜天左路得球，远射，球稍高。                   9'第9分钟，吉翔左路尝试远射，球未能命中门框范围内
9'来自吉翔的一脚远射。                   9'第9分钟，吉翔左路尝试远射，球未能命中门框范围内
10'李学鹏后场起球，瓦罗头球控球，球出边线，江苏发后场边线球。                   9'第9分钟，吉翔左路尝试远射，球未能命中门框范围内
10'于大宝右路控球，分球罗申巴克，阿尔滨进攻。                   9'第9分钟，吉翔左路尝试远射，球未能命中门框范围内
11'孙铂传球瓦罗，瓦罗传球左路陈雷，陈雷再传禁区，瓦罗速度慢了，舜天后卫将球控制。                   9'第9分钟，吉翔左路尝试远射，球未能命中门框范围内
11'阿尔滨左路起球，于大宝头球，跟进的凯塔头球射门，进攻被干扰，球稍偏。                   9'第9分钟，吉翔左路尝试远射，球未能命中门框范围内
11'孙铂头球做球瓦罗，瓦罗控球失误。                   9'第9分钟，吉翔左路尝试远射，球未能命中门框范围内
12'瓦罗上场对阵广州恒大错失单刀，大连球迷不是很满意，不过瓦罗前场还是威胁很大。                   9'第9分钟，吉翔左路尝试远射，球未能命中门框范围内
12'江苏左路进攻。                   9'第9分钟，吉翔左路尝试远射，球未能命中门框范围内
14'吕鹏传球孙铂，孙铂传球罗申巴克，罗申巴克远射，没有打正力量。                   14'第14分钟，李学鹏在阻止舜天快速反击时一个类似抱摔的动作为自己申请了一张黄牌
14'李学鹏防守耶夫蒂奇犯规，被裁判出示黄牌。                   14'第14分钟，李学鹏在阻止舜天快速反击时一个类似抱摔的动作为自己申请了一张黄牌
