15'后场热刺的门球！                   15'开场15分钟，阿贾克斯首次禁区内射门就取得领先
16'内切一下！  内雷斯得球！ 再次给左侧底线附近！ 分到舍内这里！中圈弧附近的争抢！ 左侧的界外球掷出来！                   15'开场15分钟，阿贾克斯首次禁区内射门就取得领先
16'内雷斯左侧分到中路的舍内，舍内向前给了一脚直塞球！！找到禁区内的范德贝克！范德贝克低射进球！！                   15'开场15分钟，阿贾克斯首次禁区内射门就取得领先
17'进球有效！裁判认定没有越位！                   15'开场15分钟，阿贾克斯首次禁区内射门就取得领先
17' 禁区附近维尔特曼传到中路来！被桑切斯解围出去！                   15'开场15分钟，阿贾克斯首次禁区内射门就取得领先
18'右路底线德里赫特自己带上去！分到内雷斯！                   15'开场15分钟，阿贾克斯首次禁区内射门就取得领先
18' 裁判鸣响了哨声！好像是吹了罗斯的犯规！                   15'开场15分钟，阿贾克斯首次禁区内射门就取得领先
18' 阿贾克斯右路底线附近任意球机会！                   15'开场15分钟，阿贾克斯首次禁区内射门就取得领先
26' 桑切斯控制！                   26'热刺第26分钟首次制造威胁，特里皮尔右侧任意球斜传，略伦特在门前11米处头球偏出右门柱
26' 分到中圈弧附近！                   26'热刺第26分钟首次制造威胁，特里皮尔右侧任意球斜传，略伦特在门前11米处头球偏出右门柱
26'回来维尔通亨！                   26'热刺第26分钟首次制造威胁，特里皮尔右侧任意球斜传，略伦特在门前11米处头球偏出右门柱
26' 桑切斯得球！                   26'热刺第26分钟首次制造威胁，特里皮尔右侧任意球斜传，略伦特在门前11米处头球偏出右门柱
28' 奥纳纳得球手抛球开出去！                   26'热刺第26分钟首次制造威胁，特里皮尔右侧任意球斜传，略伦特在门前11米处头球偏出右门柱
28'中圈弧附近的争抢！                   26'热刺第26分钟首次制造威胁，特里皮尔右侧任意球斜传，略伦特在门前11米处头球偏出右门柱
29' 裁判鸣响了哨声！吹了特里皮尔手球了                   26'热刺第26分钟首次制造威胁，特里皮尔右侧任意球斜传，略伦特在门前11米处头球偏出右门柱
29' 阿贾克斯的球权！中圈弧附近回来！                   26'热刺第26分钟首次制造威胁，特里皮尔右侧任意球斜传，略伦特在门前11米处头球偏出右门柱
29' 塔迪奇被抢断了！                   26'热刺第26分钟首次制造威胁，特里皮尔右侧任意球斜传，略伦特在门前11米处头球偏出右门柱
29' 球到了小卢卡斯这里！                   26'热刺第26分钟首次制造威胁，特里皮尔右侧任意球斜传，略伦特在门前11米处头球偏出右门柱
29'被塔利亚菲科放倒了！                   26'热刺第26分钟首次制造威胁，特里皮尔右侧任意球斜传，略伦特在门前11米处头球偏出右门柱
78' 后点头球！！                   78'阿贾克斯第78分钟几乎扩大比分
78' 偏了！！                   78'阿贾克斯第78分钟几乎扩大比分
78'中圈弧附近西索科被放倒了！                   78'阿贾克斯第78分钟几乎扩大比分
78'裁判鸣响了哨声！                   78'阿贾克斯第78分钟几乎扩大比分
78'给了热刺的球权！                   78'阿贾克斯第78分钟几乎扩大比分
78'目前中圈弧附近西索科得球！自己推进！                   78'阿贾克斯第78分钟几乎扩大比分
79'球被解围了！                   78'阿贾克斯第78分钟几乎扩大比分
79'外围还是热刺的控制！                   78'阿贾克斯第78分钟几乎扩大比分
79'福伊斯得起！                   78'阿贾克斯第78分钟几乎扩大比分
79'杀入禁区！                   78'阿贾克斯第78分钟几乎扩大比分
79' 被奥纳纳抱住！                   78'阿贾克斯第78分钟几乎扩大比分
79' 热刺后场的争抢！                   78'阿贾克斯第78分钟几乎扩大比分
79'左侧回来塔利亚菲科！                   78'阿贾克斯第78分钟几乎扩大比分
80'被桑切斯顶出去！随后被西索科解围！                   78'阿贾克斯第78分钟几乎扩大比分
80' 但是没有解围远！ 还是热刺后场！ 球到了福伊斯这里！                   78'阿贾克斯第78分钟几乎扩大比分
80' 埃里克森低平球向前给！击中阿贾克斯球员身上！阿贾克斯分球到右路！                   78'阿贾克斯第78分钟几乎扩大比分
81'德里赫特接球！ 大脚给上去！ 裁判鸣响了哨声！                    78'阿贾克斯第78分钟几乎扩大比分
81' 吹了准备接球球员的越位！                   78'阿贾克斯第78分钟几乎扩大比分
81' 这边阿贾克斯换人了！                   78'阿贾克斯第78分钟几乎扩大比分
81'亨特拉尔准备上了！                   78'阿贾克斯第78分钟几乎扩大比分
81'换下已经没有体能的齐耶赫！                   78'阿贾克斯第78分钟几乎扩大比分
81'这是要塔迪奇拉边了！                   78'阿贾克斯第78分钟几乎扩大比分
81' 比赛时间也剩下最后几分钟了！                   78'阿贾克斯第78分钟几乎扩大比分
