1'上半场比赛开始！                   1'双方第1分钟打出快节奏，但攻防中失误颇多，两边都未能创造得分机会
1'首先开球的是水晶宫                   1'双方第1分钟打出快节奏，但攻防中失误颇多，两边都未能创造得分机会
1'利物浦后场控球给到边路                   1'双方第1分钟打出快节奏，但攻防中失误颇多，两边都未能创造得分机会
1'队友接球后没有往前走                   1'双方第1分钟打出快节奏，但攻防中失误颇多，两边都未能创造得分机会
2'斯科特尔拿球给到边路                   1'双方第1分钟打出快节奏，但攻防中失误颇多，两边都未能创造得分机会
3'艾比右路拿球选择了回敲                   1'双方第1分钟打出快节奏，但攻防中失误颇多，两边都未能创造得分机会
3'边路的传球送禁区内                   1'双方第1分钟打出快节奏，但攻防中失误颇多，两边都未能创造得分机会
3'传球的落点并不理想                   1'双方第1分钟打出快节奏，但攻防中失误颇多，两边都未能创造得分机会
4'水晶宫后场长传打到前场                   1'双方第1分钟打出快节奏，但攻防中失误颇多，两边都未能创造得分机会
4'埃姆雷-詹这边先将球拦截了一下                   1'双方第1分钟打出快节奏，但攻防中失误颇多，两边都未能创造得分机会
4'水晶宫拿球分到右路                   1'双方第1分钟打出快节奏，但攻防中失误颇多，两边都未能创造得分机会
4'亨德森拿球往前推进                   1'双方第1分钟打出快节奏，但攻防中失误颇多，两边都未能创造得分机会
26'边路庞彻恩这边将球传出了界                   26'利物浦第26分钟取得领先，前利物浦后卫凯利回传失误，拉拉纳速度摆脱丹恩后12码处劲射破门
26'1-0！！                   26'利物浦第26分钟取得领先，前利物浦后卫凯利回传失误，拉拉纳速度摆脱丹恩后12码处劲射破门
26'水晶宫后防的自己失误                   26'利物浦第26分钟取得领先，前利物浦后卫凯利回传失误，拉拉纳速度摆脱丹恩后12码处劲射破门
27'拉拉纳                   26'利物浦第26分钟取得领先，前利物浦后卫凯利回传失误，拉拉纳速度摆脱丹恩后12码处劲射破门
29'水晶宫中场附近横敲出现失误，拉拉纳断球后直接到了禁区里面，面对出击的门将很冷静的推射破门得分！                   26'利物浦第26分钟取得领先，前利物浦后卫凯利回传失误，拉拉纳速度摆脱丹恩后12码处劲射破门
43'1-1！！                   43'水晶宫第43分钟扳平，埃姆雷-詹禁区边缘外犯规被罚黄牌，庞彻恩任意球直接破门，米尼奥莱毫无反应
43'庞彻恩！！                   43'水晶宫第43分钟扳平，埃姆雷-詹禁区边缘外犯规被罚黄牌，庞彻恩任意球直接破门，米尼奥莱毫无反应
43'庞彻恩任意球直接破门，米尼奥莱这边没有任何的反应啊！                   43'水晶宫第43分钟扳平，埃姆雷-詹禁区边缘外犯规被罚黄牌，庞彻恩任意球直接破门，米尼奥莱毫无反应
44'此时此刻值得来杯嘉士伯                   43'水晶宫第43分钟扳平，埃姆雷-詹禁区边缘外犯规被罚黄牌，庞彻恩任意球直接破门，米尼奥莱毫无反应
44'米尼奥莱这边判断上有失误啊                   43'水晶宫第43分钟扳平，埃姆雷-詹禁区边缘外犯规被罚黄牌，庞彻恩任意球直接破门，米尼奥莱毫无反应
44'上半场比赛的最后时刻，水晶宫将比分扳平                   43'水晶宫第43分钟扳平，埃姆雷-詹禁区边缘外犯规被罚黄牌，庞彻恩任意球直接破门，米尼奥莱毫无反应
44'水晶宫右路想人球分过                   43'水晶宫第43分钟扳平，埃姆雷-詹禁区边缘外犯规被罚黄牌，庞彻恩任意球直接破门，米尼奥莱毫无反应
44'这球没有过去                   43'水晶宫第43分钟扳平，埃姆雷-詹禁区边缘外犯规被罚黄牌，庞彻恩任意球直接破门，米尼奥莱毫无反应
46'下半场比赛开始！                   43'水晶宫第43分钟扳平，埃姆雷-詹禁区边缘外犯规被罚黄牌，庞彻恩任意球直接破门，米尼奥莱毫无反应
46'水晶宫左路进攻到底线                   43'水晶宫第43分钟扳平，埃姆雷-詹禁区边缘外犯规被罚黄牌，庞彻恩任意球直接破门，米尼奥莱毫无反应
46'左路低平球送禁区内                   43'水晶宫第43分钟扳平，埃姆雷-詹禁区边缘外犯规被罚黄牌，庞彻恩任意球直接破门，米尼奥莱毫无反应
46'队友接球后停球停大了                   43'水晶宫第43分钟扳平，埃姆雷-詹禁区边缘外犯规被罚黄牌，庞彻恩任意球直接破门，米尼奥莱毫无反应
46'下半场比赛一上来，水晶宫就给利物浦的后防提了一个醒啊                   43'水晶宫第43分钟扳平，埃姆雷-詹禁区边缘外犯规被罚黄牌，庞彻恩任意球直接破门，米尼奥莱毫无反应
60'李青龙下，扎哈上！                   60'水晶宫第60分钟反超比分，博拉西耶禁区右侧传中，刚刚替补出场的扎哈轻松推射破门，2-1
60'水晶宫进球了！！                   60'水晶宫第60分钟反超比分，博拉西耶禁区右侧传中，刚刚替补出场的扎哈轻松推射破门，2-1
60'扎哈！！                   60'水晶宫第60分钟反超比分，博拉西耶禁区右侧传中，刚刚替补出场的扎哈轻松推射破门，2-1
60'第一脚拿球啊                   60'水晶宫第60分钟反超比分，博拉西耶禁区右侧传中，刚刚替补出场的扎哈轻松推射破门，2-1
