2'马塞洛的起球，打在了防守球员身上出界                   2'2分钟后，拉莫斯传球，C罗禁区前劲射又被安德列斯扑出
2'索里亚诺后场抢断，回传博内拉                   2'2分钟后，拉莫斯传球，C罗禁区前劲射又被安德列斯扑出
3'失误啦，贝尔的抢断回传                   2'2分钟后，拉莫斯传球，C罗禁区前劲射又被安德列斯扑出
3'贝尔刚刚争顶，和对方的冈萨雷斯相撞                   2'2分钟后，拉莫斯传球，C罗禁区前劲射又被安德列斯扑出
3'冈萨雷斯受伤倒地！！                   2'2分钟后，拉莫斯传球，C罗禁区前劲射又被安德列斯扑出
4'潜水艇中场抢断，右路的斜塞打身后                   2'2分钟后，拉莫斯传球，C罗禁区前劲射又被安德列斯扑出
4'乌纳尔前插接应，面对回防的拉莫斯                   2'2分钟后，拉莫斯传球，C罗禁区前劲射又被安德列斯扑出
4'禁区右侧起脚低射打远角，打偏！！                   2'2分钟后，拉莫斯传球，C罗禁区前劲射又被安德列斯扑出
5'齐达内本场未将纳瓦斯排入首发，这是考验皇马在没有纳瓦斯的情况下，表现如何吧                   2'2分钟后，拉莫斯传球，C罗禁区前劲射又被安德列斯扑出
5'下周皇马将和利物浦进行欧冠决赛，此役也是为那场比赛热身                   2'2分钟后，拉莫斯传球，C罗禁区前劲射又被安德列斯扑出
5'皇马前场的进攻，赢得角球                   2'2分钟后，拉莫斯传球，C罗禁区前劲射又被安德列斯扑出
32'2-0！！！                   32'皇马第32分钟扩大比分，伊斯科斜传，马塞洛禁区左侧边缘外脚背传中，C罗小禁区边缘头球破门，2-0
32'C罗的进球！！                   32'皇马第32分钟扩大比分，伊斯科斜传，马塞洛禁区左侧边缘外脚背传中，C罗小禁区边缘头球破门，2-0
33'伊斯科前场中路拿球，摆脱防守斜传左侧给马塞洛，马塞洛内切，禁区线上左脚外脚背传中到门前，C罗的头球顶进！！                   32'皇马第32分钟扩大比分，伊斯科斜传，马塞洛禁区左侧边缘外脚背传中，C罗小禁区边缘头球破门，2-0
33'马塞洛的这脚外脚背传中，让潜水艇球员有些意外！！                   32'皇马第32分钟扩大比分，伊斯科斜传，马塞洛禁区左侧边缘外脚背传中，C罗小禁区边缘头球破门，2-0
34'C罗和马塞洛一起庆祝，刚开始两人的动作没想到一块啊                   32'皇马第32分钟扩大比分，伊斯科斜传，马塞洛禁区左侧边缘外脚背传中，C罗小禁区边缘头球破门，2-0
67'索里亚诺前场中路拿球，分球左侧给到冈萨雷斯                   67'比利亚雷亚尔第67分钟险些破门，桑索内禁区左侧拉球过人后挑传，于纳尔小禁区前头球顶空门被拉莫斯在门线前顶出
67'再给禁区内的桑索内，拉球转身摆脱上抢的瓦拉内                   67'比利亚雷亚尔第67分钟险些破门，桑索内禁区左侧拉球过人后挑传，于纳尔小禁区前头球顶空门被拉莫斯在门线前顶出
68'面对出击的卢卡-齐达内，挑传到门前                   67'比利亚雷亚尔第67分钟险些破门，桑索内禁区左侧拉球过人后挑传，于纳尔小禁区前头球顶空门被拉莫斯在门线前顶出
68'乌纳尔的头球轰门，被拉莫斯在门线上头球解围出来                   67'比利亚雷亚尔第67分钟险些破门，桑索内禁区左侧拉球过人后挑传，于纳尔小禁区前头球顶空门被拉莫斯在门线前顶出
68'这球拉莫斯的补防很关键啊！！                   67'比利亚雷亚尔第67分钟险些破门，桑索内禁区左侧拉球过人后挑传，于纳尔小禁区前头球顶空门被拉莫斯在门线前顶出
69'潜水艇再次换人：15号乌纳尔被换下，换上了24号马丁内斯                   67'比利亚雷亚尔第67分钟险些破门，桑索内禁区左侧拉球过人后挑传，于纳尔小禁区前头球顶空门被拉莫斯在门线前顶出
69'皇马的中场失误，潜水艇反击                   67'比利亚雷亚尔第67分钟险些破门，桑索内禁区左侧拉球过人后挑传，于纳尔小禁区前头球顶空门被拉莫斯在门线前顶出
69'萨利姆左路拿球，强突横传找弗纳尔斯                   67'比利亚雷亚尔第67分钟险些破门，桑索内禁区左侧拉球过人后挑传，于纳尔小禁区前头球顶空门被拉莫斯在门线前顶出
69'马塞洛回防和弗纳尔斯相撞                   67'比利亚雷亚尔第67分钟险些破门，桑索内禁区左侧拉球过人后挑传，于纳尔小禁区前头球顶空门被拉莫斯在门线前顶出
69'后者倒地，裁判没理会                   67'比利亚雷亚尔第67分钟险些破门，桑索内禁区左侧拉球过人后挑传，于纳尔小禁区前头球顶空门被拉莫斯在门线前顶出
69'球被瓦拉内出脚解围                   67'比利亚雷亚尔第67分钟险些破门，桑索内禁区左侧拉球过人后挑传，于纳尔小禁区前头球顶空门被拉莫斯在门线前顶出
70'索里亚诺前场右路拿球，转身强突被马塞洛绊倒在地                   67'比利亚雷亚尔第67分钟险些破门，桑索内禁区左侧拉球过人后挑传，于纳尔小禁区前头球顶空门被拉莫斯在门线前顶出
85'卡塞米罗被主裁判出示了黄牌警告，同时还被口头警告，下次注意哦！                   85'比利亚雷亚尔第85分钟扳平比分，罗德里长传，反越位成功的卡斯蒂列霍趟过卢卡后禁区左侧小角度射入空门，2-2
85'2-2！！！！                   85'比利亚雷亚尔第85分钟扳平比分，罗德里长传，反越位成功的卡斯蒂列霍趟过卢卡后禁区左侧小角度射入空门，2-2
85'卡斯蒂列霍！！！                   85'比利亚雷亚尔第85分钟扳平比分，罗德里长传，反越位成功的卡斯蒂列霍趟过卢卡后禁区左侧小角度射入空门，2-2
87'罗德里戈中场拿球，皇马防线前压，罗德里戈过顶打身后，卡斯蒂列霍前插接应，单刀赴会，挑过出击的卢卡-齐达内，推射打空门得手！                   85'比利亚雷亚尔第85分钟扳平比分，罗德里长传，反越位成功的卡斯蒂列霍趟过卢卡后禁区左侧小角度射入空门，2-2
87'卢卡-齐达内还有些受伤，队医进场简单处理！！                   85'比利亚雷亚尔第85分钟扳平比分，罗德里长传，反越位成功的卡斯蒂列霍趟过卢卡后禁区左侧小角度射入空门，2-2
88'镜头给到场边的齐达内，坐在板凳席，拖着下巴思考着什么                   85'比利亚雷亚尔第85分钟扳平比分，罗德里长传，反越位成功的卡斯蒂列霍趟过卢卡后禁区左侧小角度射入空门，2-2
88'瓦拉内后场拿球，马丁内斯的上抢犯规！                   85'比利亚雷亚尔第85分钟扳平比分，罗德里长传，反越位成功的卡斯蒂列霍趟过卢卡后禁区左侧小角度射入空门，2-2
