1'吉拉西为科隆赢得一个任意球.                   1'第1分钟，许尔勒左路内切距门25米处抽射高出
1'多特蒙德球员帕帕斯塔索普洛斯拼抢犯规,对手获得控球权.                   1'第1分钟，许尔勒左路内切距门25米处抽射高出
1'科隆球员海因茨一脚直塞球给吉拉西,但是边裁举旗显示后者已经越位.                   1'第1分钟，许尔勒左路内切距门25米处抽射高出
2'多特蒙德球员Michy Batshuayi大禁区中央尝试右脚射门,可惜皮球稍稍偏出了左球门.给他传球的是许尔勒.                   1'第1分钟，许尔勒左路内切距门25米处抽射高出
4'科隆球员S.奥兹坎拼抢犯规,对手获得控球权.                   1'第1分钟，许尔勒左路内切距门25米处抽射高出
4'魏格尔为多特蒙德赢得一个任意球.                   1'第1分钟，许尔勒左路内切距门25米处抽射高出
14'多特蒙德球员香川真司大禁区中央右脚射门,被防守球员封堵.给他传球的是皮什切克.                   14'多特第14分钟打中门楣，许尔勒左路切入禁区倒地，达胡德得球突破也被放倒，但主裁判还是没吹，香川真司中路距门12米处左脚扫射击中横梁
15'多特蒙德球员香川真司大禁区中央左脚射门,命中门柱横梁.给他传球的是默罕默德-达胡德.                   14'多特第14分钟打中门楣，许尔勒左路切入禁区倒地，达胡德得球突破也被放倒，但主裁判还是没吹，香川真司中路距门12米处左脚扫射击中横梁
15'特罗德为科隆在对方半场,赢得一个任意球.                   14'多特第14分钟打中门楣，许尔勒左路切入禁区倒地，达胡德得球突破也被放倒，但主裁判还是没吹，香川真司中路距门12米处左脚扫射击中横梁
15'多特蒙德球员托普拉克拼抢犯规,对手获得控球权.                   14'多特第14分钟打中门楣，许尔勒左路切入禁区倒地，达胡德得球突破也被放倒，但主裁判还是没吹，香川真司中路距门12米处左脚扫射击中横梁
16'约基奇为科隆在左路,赢得一个任意球.                   14'多特第14分钟打中门楣，许尔勒左路切入禁区倒地，达胡德得球突破也被放倒，但主裁判还是没吹，香川真司中路距门12米处左脚扫射击中横梁
16'多特蒙德球员皮什切克拼抢犯规,对手获得控球权.                   14'多特第14分钟打中门楣，许尔勒左路切入禁区倒地，达胡德得球突破也被放倒，但主裁判还是没吹，香川真司中路距门12米处左脚扫射击中横梁
17'科隆球员S.奥兹坎大禁区中央左脚射门,被防守球员封堵.                   14'多特第14分钟打中门楣，许尔勒左路切入禁区倒地，达胡德得球突破也被放倒，但主裁判还是没吹，香川真司中路距门12米处左脚扫射击中横梁
17'科隆球员索伦森拼抢犯规,对手获得控球权.                   14'多特第14分钟打中门楣，许尔勒左路切入禁区倒地，达胡德得球突破也被放倒，但主裁判还是没吹，香川真司中路距门12米处左脚扫射击中横梁
17'博尔基为多特蒙德赢得一个任意球.                   14'多特第14分钟打中门楣，许尔勒左路切入禁区倒地，达胡德得球突破也被放倒，但主裁判还是没吹，香川真司中路距门12米处左脚扫射击中横梁
35'进球啦！！！多特蒙德球员Michy Batshuayi大禁区中央左脚射门,球从左下角飞进球门,球进了!助攻的是托利安. 科隆 0-1 多特蒙德.                   35'多特第35分钟取得领先
36'约基奇为科隆在左路,赢得一个任意球.                   35'多特第35分钟取得领先
36'多特蒙德球员魏格尔拼抢犯规,对手获得控球权.                   35'多特第35分钟取得领先
38'科隆球员赫格尔拼抢犯规,对手获得控球权.                   35'多特第35分钟取得领先
38'香川真司为多特蒙德在左路,赢得一个任意球.                   35'多特第35分钟取得领先
38'托利安将球处理出底线,科隆获得角球.                   35'多特第35分钟取得领先
60'射门!!!科隆球员海因茨大禁区外左脚射门,被对方守门员横身扑出.给他传球的是特罗德.                   60'科隆第60分钟追平比分
60'进球啦！！！科隆球员Simon Zoller球门线跟前头球,球从中路飞进球门,球进了! 科隆 1-1 多特蒙德.                   60'科隆第60分钟追平比分
61'科隆球员特罗德拼抢犯规,对手获得控球权.                   60'科隆第60分钟追平比分
61'帕帕斯塔索普洛斯为多特蒙德在右路,赢得一个任意球.                   60'科隆第60分钟追平比分
62'进球啦！！！多特蒙德球员Michy Batshuayi大禁区右侧右脚射门,球从中路飞进球门,球进了!助攻的是普利西奇. 科隆 1-2 多特蒙德.                   60'科隆第60分钟追平比分
63'科隆换人,Jhon Córdoba换下吉拉西                   60'科隆第60分钟追平比分
63'多特蒙德换人,圭雷罗换下默罕默德-达胡德                   60'科隆第60分钟追平比分
48'科隆球员约基奇大禁区中央左脚射门,被防守球员封堵.给他传球的是特罗德.                   47'仅过2分钟，多特再度超出
49'科隆球员Simon Zoller拼抢犯规,对手获得控球权.                   47'仅过2分钟，多特再度超出
49'魏格尔为多特蒙德在左路,赢得一个任意球.                   47'仅过2分钟，多特再度超出
69'科隆球员Jhon Córdoba大禁区外右脚射门,被防守球员封堵.                   69'科隆第69分钟再次追平
69'帕帕斯塔索普洛斯将球处理出底线,科隆获得角球.                   69'科隆第69分钟再次追平
69'进球啦！！！科隆球员梅莱大禁区中央头球,球从左下角飞进球门,球进了!助攻的是希克托. 科隆 2-2 多特蒙德.                   69'科隆第69分钟再次追平
72'多特蒙德换人,桑乔换下普利西奇                   69'科隆第69分钟再次追平
84'进球啦！！！多特蒙德球员许尔勒大禁区右侧右脚射门,球从左上角飞进球门,球进了!助攻的是Michy Batshuayi. 科隆 2-3 多特蒙德.                   84'多特第84分钟打出反击，香川真司后场过人传球，巴舒亚伊敲到右路，许尔勒突入禁区距门13米处大力斜射入远角，3比2
86'科隆球员约基奇大禁区中央左脚射门,被防守球员封堵.                   84'多特第84分钟打出反击，香川真司后场过人传球，巴舒亚伊敲到右路，许尔勒突入禁区距门13米处大力斜射入远角，3比2
86'科隆球员赫格尔大禁区外右脚射门,被防守球员封堵.                   84'多特第84分钟打出反击，香川真司后场过人传球，巴舒亚伊敲到右路，许尔勒突入禁区距门13米处大力斜射入远角，3比2
86'帕帕斯塔索普洛斯将球处理出底线,科隆获得角球.                   84'多特第84分钟打出反击，香川真司后场过人传球，巴舒亚伊敲到右路，许尔勒突入禁区距门13米处大力斜射入远角，3比2
87'科隆换人,皮萨罗换下赫格尔                   84'多特第84分钟打出反击，香川真司后场过人传球，巴舒亚伊敲到右路，许尔勒突入禁区距门13米处大力斜射入远角，3比2
