5'天使的避风港：央视为什么不直播呢？？？[回复]放鸽子了，在回顾丁俊晖的比赛过程！                   5'第5分钟卡希尔拉到左路传中，恩里克头球却顶在自己肩膀上弹出
5'后场上海申花队为球，吕征右路带球到中场，横传中路                   5'第5分钟卡希尔拉到左路传中，恩里克头球却顶在自己肩膀上弹出
5'阿甘中路带球强突，可惜没能过去                   5'第5分钟卡希尔拉到左路传中，恩里克头球却顶在自己肩膀上弹出
5'莫雷诺中路拿球，突破分球到右路                   5'第5分钟卡希尔拉到左路传中，恩里克头球却顶在自己肩膀上弹出
6'上海申花队左路到中场，回传球险结失误                   5'第5分钟卡希尔拉到左路传中，恩里克头球却顶在自己肩膀上弹出
7'莫雷诺左路吊球到禁区内，保罗·恩里克头球顶门，偏出！                   5'第5分钟卡希尔拉到左路传中，恩里克头球却顶在自己肩膀上弹出
15'上海申花队把球传到禁区内，对方抢点破坏出来                   15'第15分钟柏佳骏左路传中，但恩里克凌空起脚射门却踢空了
16'上海申花队前场左路三角配合，柏佳骏左路一脚斜射，后点的保罗·恩里克抢点垫射，没能踢到球！                   15'第15分钟柏佳骏左路传中，但恩里克凌空起脚射门却踢空了
16'柏佳骏的打门象是传球啦，很精准                   15'第15分钟柏佳骏左路传中，但恩里克凌空起脚射门却踢空了
16'李林胜03066：看好申花队，比前几年都强[回复]实力不弱，主场作战，占到优势                   15'第15分钟柏佳骏左路传中，但恩里克凌空起脚射门却踢空了
17'中场杭州绿城队断球直传，阿甘带球突破啦，直面门将一脚打门，被耿晓峰没收！                   15'第15分钟柏佳骏左路传中，但恩里克凌空起脚射门却踢空了
18'罗竞的这脚直传球非常到位，阿甘险些建功                   15'第15分钟柏佳骏左路传中，但恩里克凌空起脚射门却踢空了
18'吕征右路下底横传，对方把球破坏                   15'第15分钟柏佳骏左路传中，但恩里克凌空起脚射门却踢空了
27'上海申花队卷土重来，吕征带球右路突破，莫雷诺斜传禁区，高迪跟上打门，高了                   27'第27分钟吕征靠个人速度，终于实现一次成功的沉底传中，但门前埋伏的卡希尔射门路线被对对方后卫死死卡住
27'杭州绿城队从右路组织进攻，斜传禁区，后卫大脚开出                   27'第27分钟吕征靠个人速度，终于实现一次成功的沉底传中，但门前埋伏的卡希尔射门路线被对对方后卫死死卡住
28'莫雷诺分到右侧，吕征突破横传门前，第一点被破坏出来                   27'第27分钟吕征靠个人速度，终于实现一次成功的沉底传中，但门前埋伏的卡希尔射门路线被对对方后卫死死卡住
28'皮球还在上海申花队脚下控制                   27'第27分钟吕征靠个人速度，终于实现一次成功的沉底传中，但门前埋伏的卡希尔射门路线被对对方后卫死死卡住
28'熊飞带球从右路突破，对方飞铲犯规，任意球                   27'第27分钟吕征靠个人速度，终于实现一次成功的沉底传中，但门前埋伏的卡希尔射门路线被对对方后卫死死卡住
29'王赟主罚任意球开到禁区内，第一点被顶出来                   27'第27分钟吕征靠个人速度，终于实现一次成功的沉底传中，但门前埋伏的卡希尔射门路线被对对方后卫死死卡住
30'杭州绿城队后场长传，阿甘突破遭拦截                   27'第27分钟吕征靠个人速度，终于实现一次成功的沉底传中，但门前埋伏的卡希尔射门路线被对对方后卫死死卡住
39'阿甘右路一对一突破回传，队友挑传禁区，阿甘及时杀到一脚打门，耿晓峰把球打出！！！                   38'第38分钟陈柏良和阿甘做出二过二配合，阿甘斜刺里带球到禁区腹地怒射，被耿晓峰把球拍了出去
39'阿甘传球突破精彩，耿晓峰挡得漂亮！                   38'第38分钟陈柏良和阿甘做出二过二配合，阿甘斜刺里带球到禁区腹地怒射，被耿晓峰把球拍了出去
39'杭州绿城队得到角球机会                   38'第38分钟陈柏良和阿甘做出二过二配合，阿甘斜刺里带球到禁区腹地怒射，被耿晓峰把球拍了出去
39'角球发到禁区内，吴伟没有准备好，还好后卫及时把球破坏                   38'第38分钟陈柏良和阿甘做出二过二配合，阿甘斜刺里带球到禁区腹地怒射，被耿晓峰把球拍了出去
40'保罗·恩里克中场接球，王林动作有些大啊，应该是黄牌的动作，主裁判手下留情啦！                   38'第38分钟陈柏良和阿甘做出二过二配合，阿甘斜刺里带球到禁区腹地怒射，被耿晓峰把球拍了出去
41'阿甘中场得球，分到右路，罗竞转身突破被王赟犯规                   38'第38分钟陈柏良和阿甘做出二过二配合，阿甘斜刺里带球到禁区腹地怒射，被耿晓峰把球拍了出去
41'王赟踩到了罗竞的脚上，这是个动作较大的犯规，送给杭州绿城队任意球机会                   38'第38分钟陈柏良和阿甘做出二过二配合，阿甘斜刺里带球到禁区腹地怒射，被耿晓峰把球拍了出去
41'柏佳骏站到人墙里，被推出去！                   38'第38分钟陈柏良和阿甘做出二过二配合，阿甘斜刺里带球到禁区腹地怒射，被耿晓峰把球拍了出去
41'阿甘左路突破传球，跟上队员打门，被扑出来                   38'第38分钟陈柏良和阿甘做出二过二配合，阿甘斜刺里带球到禁区腹地怒射，被耿晓峰把球拍了出去
45'角球发到禁区内，后点莫雷诺倒挂金钟！！皮球应声入网！                   45'第45分钟柏佳骏成功下底传中，高迪铲射没打上，但无人看守的吕征中路射门高出
45'这个倒勾打门真是太漂亮啦！                   45'第45分钟柏佳骏成功下底传中，高迪铲射没打上，但无人看守的吕征中路射门高出
45'比赛进入补时阶段！                   45'第45分钟柏佳骏成功下底传中，高迪铲射没打上，但无人看守的吕征中路射门高出
46'上半场要补时 2 分钟的机会                   45'第45分钟柏佳骏成功下底传中，高迪铲射没打上，但无人看守的吕征中路射门高出
46'柏佳骏左路突破横传，吴伟传球                   45'第45分钟柏佳骏成功下底传中，高迪铲射没打上，但无人看守的吕征中路射门高出
46'传球力量大了些！                   45'第45分钟柏佳骏成功下底传中，高迪铲射没打上，但无人看守的吕征中路射门高出
47'杭州绿城队右路攻到前场，对方把球破坏出边线                   45'第45分钟柏佳骏成功下底传中，高迪铲射没打上，但无人看守的吕征中路射门高出
47'阿甘前场得球，横传一脚，对方大脚破坏                   45'第45分钟柏佳骏成功下底传中，高迪铲射没打上，但无人看守的吕征中路射门高出
48'上半场比赛结束，上海申花队凭借莫雷诺的进球，1-0领先杭州绿城队！                   45'第45分钟柏佳骏成功下底传中，高迪铲射没打上，但无人看守的吕征中路射门高出
46'下半场比赛开始                   45'第45分钟柏佳骏成功下底传中，高迪铲射没打上，但无人看守的吕征中路射门高出
46'杭州绿城队右路直传，柏佳俊将球破坏出边线                   45'第45分钟柏佳骏成功下底传中，高迪铲射没打上，但无人看守的吕征中路射门高出
47'上海申花队前场抢断，左路突破，王林破坏出边线                   45'第45分钟柏佳骏成功下底传中，高迪铲射没打上，但无人看守的吕征中路射门高出
