4'暂时维戈塞尔塔需要10人应战                   4'塞尔塔开场仅4分钟就遭遇打击，后卫塞尔吉-戈麦斯受伤被卡布拉尔换下
4'维戈塞尔塔控球，丰塔斯直传                   4'塞尔塔开场仅4分钟就遭遇打击，后卫塞尔吉-戈麦斯受伤被卡布拉尔换下
4'西斯托突进，直传，乌姆蒂蒂拦截                   4'塞尔塔开场仅4分钟就遭遇打击，后卫塞尔吉-戈麦斯受伤被卡布拉尔换下
4'交给布斯克茨                   4'塞尔塔开场仅4分钟就遭遇打击，后卫塞尔吉-戈麦斯受伤被卡布拉尔换下
4'再交给梅西，护好球，回传给保利尼奥                   4'塞尔塔开场仅4分钟就遭遇打击，后卫塞尔吉-戈麦斯受伤被卡布拉尔换下
4'分给拉基蒂奇                   4'塞尔塔开场仅4分钟就遭遇打击，后卫塞尔吉-戈麦斯受伤被卡布拉尔换下
4'长传上来                   4'塞尔塔开场仅4分钟就遭遇打击，后卫塞尔吉-戈麦斯受伤被卡布拉尔换下
6'维戈塞尔塔换人了，22号上场替下20号S戈麦斯                   4'塞尔塔开场仅4分钟就遭遇打击，后卫塞尔吉-戈麦斯受伤被卡布拉尔换下
6'维戈塞尔塔获得一个前场右路的任意球机会                   4'塞尔塔开场仅4分钟就遭遇打击，后卫塞尔吉-戈麦斯受伤被卡布拉尔换下
6'斜传禁区，乌姆蒂蒂头球解围                   4'塞尔塔开场仅4分钟就遭遇打击，后卫塞尔吉-戈麦斯受伤被卡布拉尔换下
6'巴塞罗那反击                   4'塞尔塔开场仅4分钟就遭遇打击，后卫塞尔吉-戈麦斯受伤被卡布拉尔换下
7'梅西带球，长驱直入，左右摆动后，没有传球，自己打了，被后卫碰出底线                   4'塞尔塔开场仅4分钟就遭遇打击，后卫塞尔吉-戈麦斯受伤被卡布拉尔换下
7'战术角球，传中太低了                   4'塞尔塔开场仅4分钟就遭遇打击，后卫塞尔吉-戈麦斯受伤被卡布拉尔换下
7'瓦斯回传给门将布兰科                   4'塞尔塔开场仅4分钟就遭遇打击，后卫塞尔吉-戈麦斯受伤被卡布拉尔换下
7'长传上来，阿尔巴回传给特尔施特根                   4'塞尔塔开场仅4分钟就遭遇打击，后卫塞尔吉-戈麦斯受伤被卡布拉尔换下
7'巴塞罗那后场控球                   4'塞尔塔开场仅4分钟就遭遇打击，后卫塞尔吉-戈麦斯受伤被卡布拉尔换下
