4'罗皓分球给唐家庶                   4'第4分钟重庆队刘乐左路传中，卡尔德克高高跃起，压住石柯头球冲顶稍高
5'转移到左路                   4'第4分钟重庆队刘乐左路传中，卡尔德克高高跃起，压住石柯头球冲顶稍高
5'刘欢的传中，卡尔德克头球攻门，高出了横梁                   4'第4分钟重庆队刘乐左路传中，卡尔德克高高跃起，压住石柯头球冲顶稍高
5'贺惯控球分给蔡慧康                   4'第4分钟重庆队刘乐左路传中，卡尔德克高高跃起，压住石柯头球冲顶稍高
5'传给了胡尔克                   4'第4分钟重庆队刘乐左路传中，卡尔德克高高跃起，压住石柯头球冲顶稍高
5'分边右路                   4'第4分钟重庆队刘乐左路传中，卡尔德克高高跃起，压住石柯头球冲顶稍高
6'胡尔克得球，交给了中路的武磊                   4'第4分钟重庆队刘乐左路传中，卡尔德克高高跃起，压住石柯头球冲顶稍高
6'回做一下，球被破坏                   4'第4分钟重庆队刘乐左路传中，卡尔德克高高跃起，压住石柯头球冲顶稍高
7'中场奥斯卡接应被彭欣力绊倒                   4'第4分钟重庆队刘乐左路传中，卡尔德克高高跃起，压住石柯头球冲顶稍高
7'奥斯卡带球                   4'第4分钟重庆队刘乐左路传中，卡尔德克高高跃起，压住石柯头球冲顶稍高
7'放长传到禁区，武磊插上没有越位                   4'第4分钟重庆队刘乐左路传中，卡尔德克高高跃起，压住石柯头球冲顶稍高
7'胸部停球下来，转身打门，打偏了不少                   4'第4分钟重庆队刘乐左路传中，卡尔德克高高跃起，压住石柯头球冲顶稍高
8'重庆后边长传                   8'第8分钟费尔南迪尼奥左路下底传中，彭欣力拿球正要射门，被回防的武磊撞倒在地，重庆获得位置不错的任意球机会，但费尔南多左脚弧线球稍稍高出
9'贺惯将球顶出边线                   8'第8分钟费尔南迪尼奥左路下底传中，彭欣力拿球正要射门，被回防的武磊撞倒在地，重庆获得位置不错的任意球机会，但费尔南多左脚弧线球稍稍高出
10'倒三角传到弧顶                   8'第8分钟费尔南迪尼奥左路下底传中，彭欣力拿球正要射门，被回防的武磊撞倒在地，重庆获得位置不错的任意球机会，但费尔南多左脚弧线球稍稍高出
10'彭欣力接应被武磊绊倒                   8'第8分钟费尔南迪尼奥左路下底传中，彭欣力拿球正要射门，被回防的武磊撞倒在地，重庆获得位置不错的任意球机会，但费尔南多左脚弧线球稍稍高出
10'重庆斯威获得一个位置极佳的任意球机会                   8'第8分钟费尔南迪尼奥左路下底传中，彭欣力拿球正要射门，被回防的武磊撞倒在地，重庆获得位置不错的任意球机会，但费尔南多左脚弧线球稍稍高出
10'费尔南多左脚打弧线球，稍稍高出横梁                   8'第8分钟费尔南迪尼奥左路下底传中，彭欣力拿球正要射门，被回防的武磊撞倒在地，重庆获得位置不错的任意球机会，但费尔南多左脚弧线球稍稍高出
11' 彭欣力带球，艾哈迈多夫回追，犯规了                   8'第8分钟费尔南迪尼奥左路下底传中，彭欣力拿球正要射门，被回防的武磊撞倒在地，重庆获得位置不错的任意球机会，但费尔南多左脚弧线球稍稍高出
11'胡尔克接应，没有转身机会，回传给石柯                   8'第8分钟费尔南迪尼奥左路下底传中，彭欣力拿球正要射门，被回防的武磊撞倒在地，重庆获得位置不错的任意球机会，但费尔南多左脚弧线球稍稍高出
