2'热苏斯边路拿球                   2'开场仅2分钟，奥塔门迪远射被皮克福德轻松得到
2'没有机会将球回敲                   2'开场仅2分钟，奥塔门迪远射被皮克福德轻松得到
2'奥塔门迪禁区外围尝试远射                   2'开场仅2分钟，奥塔门迪远射被皮克福德轻松得到
2'力量很足                   2'开场仅2分钟，奥塔门迪远射被皮克福德轻松得到
2'打得太正被皮克福德得到                   2'开场仅2分钟，奥塔门迪远射被皮克福德轻松得到
5'席尔瓦带球被盖耶侵犯                   2'开场仅2分钟，奥塔门迪远射被皮克福德轻松得到
34'曼城这边打门击中立柱！！！                   34'曼城第34分钟险些破门，阿圭罗传球，席尔瓦小禁区左上角外的劲射憾中近角立柱弹回
34'0-1！！！！                   34'曼城第34分钟险些破门，阿圭罗传球，席尔瓦小禁区左上角外的劲射憾中近角立柱弹回
34'鲁尼！！！！！！                   34'曼城第34分钟险些破门，阿圭罗传球，席尔瓦小禁区左上角外的劲射憾中近角立柱弹回
35'埃弗顿取得领先！！！！                   34'曼城第34分钟险些破门，阿圭罗传球，席尔瓦小禁区左上角外的劲射憾中近角立柱弹回
36'埃弗顿前场右路断球，卡尔弗特-卢因禁区内一扣晃开防守横敲中路，鲁尼跟进推射被门将碰了一下后击中左侧立柱内侧弹入球网！！！                   34'曼城第34分钟险些破门，阿圭罗传球，席尔瓦小禁区左上角外的劲射憾中近角立柱弹回
36'曼城这边刚刚一个立柱，埃弗顿这边马上破门！！                   34'曼城第34分钟险些破门，阿圭罗传球，席尔瓦小禁区左上角外的劲射憾中近角立柱弹回
36'这就是命运啊                   34'曼城第34分钟险些破门，阿圭罗传球，席尔瓦小禁区左上角外的劲射憾中近角立柱弹回
36'看看曼城接下来如何调整吧                   34'曼城第34分钟险些破门，阿圭罗传球，席尔瓦小禁区左上角外的劲射憾中近角立柱弹回
36'德布劳内中路挑传                   34'曼城第34分钟险些破门，阿圭罗传球，席尔瓦小禁区左上角外的劲射憾中近角立柱弹回
36'没有过去                   34'曼城第34分钟险些破门，阿圭罗传球，席尔瓦小禁区左上角外的劲射憾中近角立柱弹回
44'沃克尔这边连吃了两张黄牌！！！                   44'第44分钟，英超中第200次出场的沃克尔争顶时肘击卡尔弗特-卢因，他3分钟内连得2张黄牌，职业生涯首次被罚下
44'5分钟内啊                   44'第44分钟，英超中第200次出场的沃克尔争顶时肘击卡尔弗特-卢因，他3分钟内连得2张黄牌，职业生涯首次被罚下
44'卡尔弗特-卢因和沃克尔争抢头球有身体接触                   44'第44分钟，英超中第200次出场的沃克尔争顶时肘击卡尔弗特-卢因，他3分钟内连得2张黄牌，职业生涯首次被罚下
45'沃克尔这边似乎是中计了啊                   44'第44分钟，英超中第200次出场的沃克尔争顶时肘击卡尔弗特-卢因，他3分钟内连得2张黄牌，职业生涯首次被罚下
45'埃弗顿前场左路的任意球                   44'第44分钟，英超中第200次出场的沃克尔争顶时肘击卡尔弗特-卢因，他3分钟内连得2张黄牌，职业生涯首次被罚下
45'鲁尼任意球给到禁区                   44'第44分钟，英超中第200次出场的沃克尔争顶时肘击卡尔弗特-卢因，他3分钟内连得2张黄牌，职业生涯首次被罚下
45'没有什么威胁                   44'第44分钟，英超中第200次出场的沃克尔争顶时肘击卡尔弗特-卢因，他3分钟内连得2张黄牌，职业生涯首次被罚下
45'上半场补时2分钟！！                   44'第44分钟，英超中第200次出场的沃克尔争顶时肘击卡尔弗特-卢因，他3分钟内连得2张黄牌，职业生涯首次被罚下
45'费尔南迪尼奥上抢撞人犯规                   44'第44分钟，英超中第200次出场的沃克尔争顶时肘击卡尔弗特-卢因，他3分钟内连得2张黄牌，职业生涯首次被罚下
45'曼城这边需要控制好自己的情绪                   44'第44分钟，英超中第200次出场的沃克尔争顶时肘击卡尔弗特-卢因，他3分钟内连得2张黄牌，职业生涯首次被罚下
46'埃弗顿长传给到右路                   44'第44分钟，英超中第200次出场的沃克尔争顶时肘击卡尔弗特-卢因，他3分钟内连得2张黄牌，职业生涯首次被罚下
47'曼城后场拿球                   44'第44分钟，英超中第200次出场的沃克尔争顶时肘击卡尔弗特-卢因，他3分钟内连得2张黄牌，职业生涯首次被罚下
